,agency_cd,site_no,datetime
63,USGS,02167705,2016-12-06
64,USGS,02167705,2016-12-07
65,USGS,02167705,2016-12-08
66,USGS,02167705,2016-12-09
67,USGS,02167705,2016-12-10
68,USGS,02167705,2016-12-11
69,USGS,02167705,2016-12-12
70,USGS,02167705,2016-12-13
71,USGS,02167705,2016-12-14
72,USGS,02167705,2016-12-15
73,USGS,02167705,2016-12-16
74,USGS,02167705,2016-12-17
75,USGS,02167705,2016-12-18
76,USGS,02167705,2016-12-19
77,USGS,02167705,2016-12-20
78,USGS,02167705,2016-12-21
79,USGS,02167705,2016-12-22
80,USGS,02167705,2016-12-23
81,USGS,02167705,2016-12-24
82,USGS,02167705,2016-12-25
83,USGS,02167705,2016-12-26
84,USGS,02167705,2016-12-27
85,USGS,02167705,2016-12-28
86,USGS,02167705,2016-12-29
87,USGS,02167705,2016-12-30
88,USGS,02167705,2016-12-31
89,USGS,02167705,2017-01-01
90,USGS,02167705,2017-01-02
91,USGS,02167705,2017-01-03
92,USGS,02167705,2017-01-04
93,USGS,02167705,2017-01-05
94,USGS,02167705,2017-01-06
95,USGS,02167705,2017-01-07
96,USGS,02167705,2017-01-08
97,USGS,02167705,2017-01-09
98,USGS,02167705,2017-01-10
99,USGS,02167705,2017-01-11
100,USGS,02167705,2017-01-12
101,USGS,02167705,2017-01-13
102,USGS,02167705,2017-01-14
103,USGS,02167705,2017-01-15
104,USGS,02167705,2017-01-16
105,USGS,02167705,2017-01-17
106,USGS,02167705,2017-01-18
107,USGS,02167705,2017-01-19
108,USGS,02167705,2017-01-20
109,USGS,02167705,2017-01-21
110,USGS,02167705,2017-01-22
111,USGS,02167705,2017-01-23
112,USGS,02167705,2017-01-24
113,USGS,02167705,2017-01-25
114,USGS,02167705,2017-01-26
115,USGS,02167705,2017-01-27
116,USGS,02167705,2017-01-28
117,USGS,02167705,2017-01-29
118,USGS,02167705,2017-01-30
119,USGS,02167705,2017-01-31
120,USGS,02167705,2017-02-01
121,USGS,02167705,2017-02-02
122,USGS,02167705,2017-02-03
123,USGS,02167705,2017-02-04
124,USGS,02167705,2017-02-05
125,USGS,02167705,2017-02-06
126,USGS,02167705,2017-02-07
127,USGS,02167705,2017-02-08
128,USGS,02167705,2017-02-09
129,USGS,02167705,2017-02-10
130,USGS,02167705,2017-02-11
131,USGS,02167705,2017-02-12
132,USGS,02167705,2017-02-13
133,USGS,02167705,2017-02-14
134,USGS,02167705,2017-02-15
135,USGS,02167705,2017-02-16
136,USGS,02167705,2017-02-17
137,USGS,02167705,2017-02-18
138,USGS,02167705,2017-02-19
139,USGS,02167705,2017-02-20
140,USGS,02167705,2017-02-21
141,USGS,02167705,2017-02-22
142,USGS,02167705,2017-02-23
143,USGS,02167705,2017-02-24
144,USGS,02167705,2017-02-25
145,USGS,02167705,2017-02-26
146,USGS,02167705,2017-02-27
147,USGS,02167705,2017-02-28
148,USGS,02167705,2017-03-01
149,USGS,02167705,2017-03-02
150,USGS,02167705,2017-03-03
151,USGS,02167705,2017-03-04
152,USGS,02167705,2017-03-05
153,USGS,02167705,2017-03-06
154,USGS,02167705,2017-03-07
155,USGS,02167705,2017-03-08
156,USGS,02167705,2017-03-09
157,USGS,02167705,2017-03-10
158,USGS,02167705,2017-03-11
159,USGS,02167705,2017-03-12
160,USGS,02167705,2017-03-13
161,USGS,02167705,2017-03-14
162,USGS,02167705,2017-03-15
163,USGS,02167705,2017-03-16
164,USGS,02167705,2017-03-17
165,USGS,02167705,2017-03-18
166,USGS,02167705,2017-03-19
167,USGS,02167705,2017-03-20
168,USGS,02167705,2017-03-21
169,USGS,02167705,2017-03-22
170,USGS,02167705,2017-03-23
171,USGS,02167705,2017-03-24
172,USGS,02167705,2017-03-25
173,USGS,02167705,2017-03-26
174,USGS,02167705,2017-03-27
175,USGS,02167705,2017-03-28
176,USGS,02167705,2017-03-29
177,USGS,02167705,2017-03-30
178,USGS,02167705,2017-03-31
179,USGS,02167705,2017-04-01
180,USGS,02167705,2017-04-02
181,USGS,02167705,2017-04-03
182,USGS,02167705,2017-04-04
183,USGS,02167705,2017-04-05
184,USGS,02167705,2017-04-06
185,USGS,02167705,2017-04-07
186,USGS,02167705,2017-04-08
187,USGS,02167705,2017-04-09
188,USGS,02167705,2017-04-10
189,USGS,02167705,2017-04-11
190,USGS,02167705,2017-04-12
191,USGS,02167705,2017-04-13
192,USGS,02167705,2017-04-14
193,USGS,02167705,2017-04-15
194,USGS,02167705,2017-04-16
195,USGS,02167705,2017-04-17
196,USGS,02167705,2017-04-18
197,USGS,02167705,2017-04-19
198,USGS,02167705,2017-04-20
199,USGS,02167705,2017-04-21
200,USGS,02167705,2017-04-22
201,USGS,02167705,2017-04-23
202,USGS,02167705,2017-04-24
203,USGS,02167705,2017-04-25
204,USGS,02167705,2017-04-26
205,USGS,02167705,2017-04-27
206,USGS,02167705,2017-04-28
207,USGS,02167705,2017-04-29
208,USGS,02167705,2017-04-30
209,USGS,02167705,2017-05-01
210,USGS,02167705,2017-05-02
211,USGS,02167705,2017-05-03
212,USGS,02167705,2017-05-04
213,USGS,02167705,2017-05-05
214,USGS,02167705,2017-05-06
215,USGS,02167705,2017-05-07
216,USGS,02167705,2017-05-08
217,USGS,02167705,2017-05-09
218,USGS,02167705,2017-05-10
219,USGS,02167705,2017-05-11
220,USGS,02167705,2017-05-12
221,USGS,02167705,2017-05-13
222,USGS,02167705,2017-05-14
223,USGS,02167705,2017-05-15
224,USGS,02167705,2017-05-16
225,USGS,02167705,2017-05-17
226,USGS,02167705,2017-05-18
227,USGS,02167705,2017-05-19
228,USGS,02167705,2017-05-20
229,USGS,02167705,2017-05-21
230,USGS,02167705,2017-05-22
231,USGS,02167705,2017-05-23
232,USGS,02167705,2017-05-24
233,USGS,02167705,2017-05-25
234,USGS,02167705,2017-05-26
235,USGS,02167705,2017-05-27
236,USGS,02167705,2017-05-28
237,USGS,02167705,2017-05-29
238,USGS,02167705,2017-05-30
239,USGS,02167705,2017-05-31
240,USGS,02167705,2017-06-01
241,USGS,02167705,2017-06-02
242,USGS,02167705,2017-06-03
243,USGS,02167705,2017-06-04
244,USGS,02167705,2017-06-05
245,USGS,02167705,2017-06-06
246,USGS,02167705,2017-06-07
247,USGS,02167705,2017-06-08
248,USGS,02167705,2017-06-09
249,USGS,02167705,2017-06-10
250,USGS,02167705,2017-06-11
251,USGS,02167705,2017-06-12
252,USGS,02167705,2017-06-13
253,USGS,02167705,2017-06-14
254,USGS,02167705,2017-06-15
255,USGS,02167705,2017-06-16
256,USGS,02167705,2017-06-17
257,USGS,02167705,2017-06-18
258,USGS,02167705,2017-06-19
259,USGS,02167705,2017-06-20
260,USGS,02167705,2017-06-21
261,USGS,02167705,2017-06-22
262,USGS,02167705,2017-06-23
263,USGS,02167705,2017-06-24
264,USGS,02167705,2017-06-25
265,USGS,02167705,2017-06-26
266,USGS,02167705,2017-06-27
267,USGS,02167705,2017-06-28
268,USGS,02167705,2017-06-29
269,USGS,02167705,2017-06-30
270,USGS,02167705,2017-07-01
271,USGS,02167705,2017-07-02
272,USGS,02167705,2017-07-03
273,USGS,02167705,2017-07-04
274,USGS,02167705,2017-07-05
275,USGS,02167705,2017-07-06
276,USGS,02167705,2017-07-07
277,USGS,02167705,2017-07-08
278,USGS,02167705,2017-07-09
279,USGS,02167705,2017-07-10
280,USGS,02167705,2017-07-11
281,USGS,02167705,2017-07-12
282,USGS,02167705,2017-07-13
283,USGS,02167705,2017-07-14
284,USGS,02167705,2017-07-15
285,USGS,02167705,2017-07-16
286,USGS,02167705,2017-07-17
287,USGS,02167705,2017-07-18
288,USGS,02167705,2017-07-19
289,USGS,02167705,2017-07-20
290,USGS,02167705,2017-07-21
291,USGS,02167705,2017-07-22
292,USGS,02167705,2017-07-23
293,USGS,02167705,2017-07-24
294,USGS,02167705,2017-07-25
295,USGS,02167705,2017-07-26
296,USGS,02167705,2017-07-27
297,USGS,02167705,2017-07-28
298,USGS,02167705,2017-07-29
299,USGS,02167705,2017-07-30
300,USGS,02167705,2017-07-31
301,USGS,02167705,2017-08-01
302,USGS,02167705,2017-08-02
303,USGS,02167705,2017-08-03
304,USGS,02167705,2017-08-04
305,USGS,02167705,2017-08-05
306,USGS,02167705,2017-08-06
307,USGS,02167705,2017-08-07
308,USGS,02167705,2017-08-08
309,USGS,02167705,2017-08-09
310,USGS,02167705,2017-08-10
311,USGS,02167705,2017-08-11
312,USGS,02167705,2017-08-12
313,USGS,02167705,2017-08-13
314,USGS,02167705,2017-08-14
315,USGS,02167705,2017-08-15
316,USGS,02167705,2017-08-16
317,USGS,02167705,2017-08-17
318,USGS,02167705,2017-08-18
319,USGS,02167705,2017-08-19
320,USGS,02167705,2017-08-20
321,USGS,02167705,2017-08-21
322,USGS,02167705,2017-08-22
323,USGS,02167705,2017-08-23
324,USGS,02167705,2017-08-24
325,USGS,02167705,2017-08-25
326,USGS,02167705,2017-08-26
327,USGS,02167705,2017-08-27
328,USGS,02167705,2017-08-28
329,USGS,02167705,2017-08-29
330,USGS,02167705,2017-08-30
331,USGS,02167705,2017-08-31
332,USGS,02167705,2017-09-01
333,USGS,02167705,2017-09-02
334,USGS,02167705,2017-09-03
335,USGS,02167705,2017-09-04
336,USGS,02167705,2017-09-05
337,USGS,02167705,2017-09-06
338,USGS,02167705,2017-09-07
339,USGS,02167705,2017-09-08
340,USGS,02167705,2017-09-09
341,USGS,02167705,2017-09-10
342,USGS,02167705,2017-09-11
343,USGS,02167705,2017-09-12
344,USGS,02167705,2017-09-13
345,USGS,02167705,2017-09-14
346,USGS,02167705,2017-09-15
347,USGS,02167705,2017-09-16
348,USGS,02167705,2017-09-17
349,USGS,02167705,2017-09-18
350,USGS,02167705,2017-09-19
351,USGS,02167705,2017-09-20
352,USGS,02167705,2017-09-21
353,USGS,02167705,2017-09-22
354,USGS,02167705,2017-09-23
355,USGS,02167705,2017-09-24
356,USGS,02167705,2017-09-25
357,USGS,02167705,2017-09-26
358,USGS,02167705,2017-09-27
359,USGS,02167705,2017-09-28
360,USGS,02167705,2017-09-29
361,USGS,02167705,2017-09-30
