,agency_cd,site_no,datetime
0,USGS,02167705,2016-10-04
1,USGS,02167705,2016-10-05
2,USGS,02167705,2016-10-06
3,USGS,02167705,2016-10-07
4,USGS,02167705,2016-10-08
5,USGS,02167705,2016-10-09
6,USGS,02167705,2016-10-10
7,USGS,02167705,2016-10-11
8,USGS,02167705,2016-10-12
9,USGS,02167705,2016-10-13
10,USGS,02167705,2016-10-14
11,USGS,02167705,2016-10-15
12,USGS,02167705,2016-10-16
13,USGS,02167705,2016-10-17
14,USGS,02167705,2016-10-18
15,USGS,02167705,2016-10-19
16,USGS,02167705,2016-10-20
17,USGS,02167705,2016-10-21
18,USGS,02167705,2016-10-22
19,USGS,02167705,2016-10-23
20,USGS,02167705,2016-10-24
21,USGS,02167705,2016-10-25
22,USGS,02167705,2016-10-26
23,USGS,02167705,2016-10-27
24,USGS,02167705,2016-10-28
25,USGS,02167705,2016-10-29
26,USGS,02167705,2016-10-30
27,USGS,02167705,2016-10-31
28,USGS,02167705,2016-11-01
29,USGS,02167705,2016-11-02
30,USGS,02167705,2016-11-03
31,USGS,02167705,2016-11-04
32,USGS,02167705,2016-11-05
33,USGS,02167705,2016-11-06
34,USGS,02167705,2016-11-07
35,USGS,02167705,2016-11-08
36,USGS,02167705,2016-11-09
37,USGS,02167705,2016-11-10
38,USGS,02167705,2016-11-11
39,USGS,02167705,2016-11-12
40,USGS,02167705,2016-11-13
41,USGS,02167705,2016-11-14
42,USGS,02167705,2016-11-15
43,USGS,02167705,2016-11-16
44,USGS,02167705,2016-11-17
45,USGS,02167705,2016-11-18
46,USGS,02167705,2016-11-19
47,USGS,02167705,2016-11-20
48,USGS,02167705,2016-11-21
49,USGS,02167705,2016-11-22
50,USGS,02167705,2016-11-23
51,USGS,02167705,2016-11-24
52,USGS,02167705,2016-11-25
53,USGS,02167705,2016-11-26
54,USGS,02167705,2016-11-27
55,USGS,02167705,2016-11-28
56,USGS,02167705,2016-11-29
57,USGS,02167705,2016-11-30
58,USGS,02167705,2016-12-01
59,USGS,02167705,2016-12-02
60,USGS,02167705,2016-12-03
61,USGS,02167705,2016-12-04
62,USGS,02167705,2016-12-05
