,agency_cd,site_no,datetime,Dissolved oxygen_Min,Gage height_Mean,Gage height_Min,Gage height_Max,Dissolved oxygen_Mean,Temperature_Mean,Dissolved oxygen_Max,Temperature_Max,Temperature_Min
269,USGS,02160105,2017-06-26,7.3,4.36,4.17,4.49,7.5,25.3,7.7,26.7,23.6
270,USGS,02160105,2017-06-27,7.3,4.21,4.09,4.37,7.5,25.4,7.7,27.0,23.8
271,USGS,02160105,2017-06-28,7.3,3.98,3.88,4.10,7.6,25.1,7.9,27.0,23.2
272,USGS,02160105,2017-06-29,7.3,3.83,3.78,3.88,7.6,25.3,7.9,27.0,23.2
273,USGS,02160105,2017-06-30,7.3,4.04,3.77,5.53,7.5,25.3,7.6,26.0,24.6
274,USGS,02160105,2017-07-01,7.0,6.20,5.53,6.48,7.1,25.1,7.3,26.0,24.1
275,USGS,02160105,2017-07-02,6.9,5.61,5.41,5.86,7.1,26.3,7.2,27.6,24.9
276,USGS,02160105,2017-07-03,6.9,5.10,4.78,5.41,7.0,26.7,7.2,28.0,25.8
277,USGS,02160105,2017-07-04,6.9,4.56,4.49,4.78,7.0,27.2,7.2,28.5,25.8
278,USGS,02160105,2017-07-05,6.8,5.90,4.63,6.51,7.0,27.0,7.1,27.8,26.1
279,USGS,02160105,2017-07-06,6.8,4.90,4.62,5.33,7.0,27.3,7.1,28.9,25.8
280,USGS,02160105,2017-07-07,6.9,4.70,4.58,4.80,7.0,27.5,7.1,28.5,26.2
281,USGS,02160105,2017-07-08,6.8,4.41,4.27,4.59,7.0,27.9,7.2,29.7,26.2
282,USGS,02160105,2017-07-09,6.9,4.15,4.08,4.27,7.1,27.4,7.3,29.0,25.7
283,USGS,02160105,2017-07-10,7.0,4.08,4.05,4.10,7.1,27.3,7.3,28.5,25.8
284,USGS,02160105,2017-07-11,6.8,4.02,3.94,4.10,7.1,27.9,7.4,29.8,25.9
285,USGS,02160105,2017-07-12,6.7,3.91,3.82,3.98,7.0,28.8,7.2,30.6,26.8
286,USGS,02160105,2017-07-13,6.7,3.78,3.73,3.84,6.9,29.3,7.1,31.4,27.2
287,USGS,02160105,2017-07-14,6.6,3.71,3.66,3.75,6.8,29.6,7.1,31.6,27.6
288,USGS,02160105,2017-07-15,6.7,3.64,3.60,3.67,6.9,29.0,7.2,31.2,27.2
289,USGS,02160105,2017-07-16,6.8,3.62,3.56,3.73,7.0,28.2,7.3,30.6,26.6
290,USGS,02160105,2017-07-17,6.9,3.77,3.64,3.88,7.1,27.6,7.4,29.3,25.8
291,USGS,02160105,2017-07-18,6.8,3.75,3.71,3.84,7.0,28.3,7.3,30.6,26.7
292,USGS,02160105,2017-07-19,6.8,3.74,3.69,3.78,7.0,28.6,7.4,30.8,26.5
293,USGS,02160105,2017-07-20,6.6,3.78,3.68,3.91,7.0,29.2,7.3,30.9,27.0
294,USGS,02160105,2017-07-21,6.6,3.84,3.77,3.90,6.9,29.3,7.2,31.3,27.4
295,USGS,02160105,2017-07-22,6.6,3.69,3.62,3.77,6.8,29.8,7.2,31.9,27.7
296,USGS,02160105,2017-07-23,6.6,3.59,3.53,3.65,6.8,29.5,7.1,32.2,27.9
297,USGS,02160105,2017-07-24,6.7,3.62,3.54,3.68,7.0,27.6,7.3,28.6,26.6
298,USGS,02160105,2017-07-25,6.7,3.75,3.53,3.93,7.0,28.6,7.3,30.5,26.6
299,USGS,02160105,2017-07-26,6.8,3.62,3.52,3.75,7.0,28.4,7.3,29.5,27.2
300,USGS,02160105,2017-07-27,6.7,3.46,3.42,3.52,7.1,28.4,7.4,30.4,26.5
301,USGS,02160105,2017-07-28,6.8,3.45,3.42,3.49,7.0,28.0,7.4,29.3,26.8
302,USGS,02160105,2017-07-29,6.8,3.63,3.49,3.74,7.0,28.1,7.4,29.9,26.6
303,USGS,02160105,2017-07-30,6.9,3.86,3.74,3.94,7.2,26.8,7.6,28.3,25.2
304,USGS,02160105,2017-07-31,7.2,3.67,3.55,3.82,7.5,25.7,7.9,27.8,23.4
305,USGS,02160105,2017-08-01,7.2,3.48,3.39,3.55,7.5,25.7,8.0,28.2,22.9
306,USGS,02160105,2017-08-02,7.2,3.37,3.33,3.40,7.5,25.8,7.9,27.4,23.9
307,USGS,02160105,2017-08-03,7.3,3.32,3.29,3.35,7.6,25.7,8.0,27.3,23.8
308,USGS,02160105,2017-08-04,7.1,3.28,3.27,3.30,7.6,25.8,8.1,27.7,24.1
309,USGS,02160105,2017-08-05,6.9,3.27,3.24,3.28,7.4,27.3,8.1,29.8,25.1
310,USGS,02160105,2017-08-06,6.9,3.24,3.22,3.26,7.5,27.3,8.3,29.6,24.8
311,USGS,02160105,2017-08-07,6.8,3.34,3.26,3.43,7.4,27.3,8.3,28.9,25.8
312,USGS,02160105,2017-08-08,6.9,3.43,3.39,3.50,7.3,26.2,8.0,27.2,25.5
313,USGS,02160105,2017-08-09,7.2,3.72,3.49,4.11,7.5,25.0,7.8,25.6,24.5
314,USGS,02160105,2017-08-10,7.2,4.24,4.05,4.38,7.5,25.0,7.6,26.1,23.8
315,USGS,02160105,2017-08-11,7.3,3.90,3.81,4.05,7.4,25.6,7.5,26.3,24.7
316,USGS,02160105,2017-08-12,6.9,3.86,3.79,3.95,7.3,26.4,7.5,28.1,24.9
317,USGS,02160105,2017-08-13,6.8,4.56,3.93,5.56,7.0,27.4,7.2,28.2,26.2
318,USGS,02160105,2017-08-14,6.9,5.36,5.01,5.61,6.9,27.2,7.0,28.2,26.5
319,USGS,02160105,2017-08-15,6.8,4.87,4.68,5.08,7.0,27.5,7.1,28.9,26.2
320,USGS,02160105,2017-08-16,6.7,4.61,4.38,4.77,6.9,28.3,7.1,29.6,26.8
321,USGS,02160105,2017-08-17,6.6,4.56,4.32,4.78,6.8,28.8,7.0,30.0,27.4
322,USGS,02160105,2017-08-18,6.6,4.54,4.31,4.71,6.8,28.9,6.9,30.2,27.7
323,USGS,02160105,2017-08-19,6.7,4.13,3.97,4.31,6.9,28.6,7.1,30.2,26.9
324,USGS,02160105,2017-08-20,6.7,3.85,3.74,3.97,7.0,28.2,7.2,29.8,26.1
325,USGS,02160105,2017-08-21,6.8,3.68,3.62,3.75,7.0,28.2,7.2,29.2,26.7
326,USGS,02160105,2017-08-22,6.9,3.57,3.53,3.62,7.0,27.8,7.3,28.8,26.4
327,USGS,02160105,2017-08-23,6.6,3.51,3.47,3.57,6.9,28.1,7.2,30.1,26.1
328,USGS,02160105,2017-08-24,6.8,3.42,3.38,3.47,7.1,26.8,7.3,28.0,25.9
329,USGS,02160105,2017-08-25,7.2,3.36,3.33,3.39,7.3,26.0,7.6,27.6,24.3
330,USGS,02160105,2017-08-26,7.2,3.31,3.29,3.34,7.4,26.0,7.8,27.8,24.0
331,USGS,02160105,2017-08-27,7.2,3.28,3.24,3.30,7.5,25.8,7.9,27.9,23.7
332,USGS,02160105,2017-08-28,7.4,3.23,3.21,3.26,7.8,24.4,8.2,26.0,22.5
333,USGS,02160105,2017-08-29,7.6,3.20,3.19,3.22,7.9,23.9,8.4,25.5,22.6
334,USGS,02160105,2017-08-30,7.4,3.16,3.12,3.19,8.0,23.9,8.6,26.0,21.9
335,USGS,02160105,2017-08-31,7.4,3.19,3.11,3.33,7.8,23.8,8.5,24.5,23.1
336,USGS,02160105,2017-09-01,7.2,3.72,3.33,4.25,7.5,24.4,7.7,25.9,22.7
337,USGS,02160105,2017-09-02,7.2,4.28,3.95,4.49,7.4,24.8,7.5,25.9,23.6
338,USGS,02160105,2017-09-03,7.4,3.84,3.76,3.95,7.6,24.1,7.9,25.8,22.2
339,USGS,02160105,2017-09-04,7.5,3.75,3.65,3.87,7.8,23.7,8.1,25.6,21.6
340,USGS,02160105,2017-09-05,7.4,3.58,3.51,3.65,7.7,24.3,8.0,26.3,22.2
341,USGS,02160105,2017-09-06,7.4,3.54,3.51,3.61,7.8,22.9,8.1,24.5,21.1
342,USGS,02160105,2017-09-07,8.0,3.82,3.61,4.06,8.2,21.3,8.5,22.9,19.5
343,USGS,02160105,2017-09-08,8.0,4.34,4.06,4.54,8.2,21.0,8.4,22.2,19.6
344,USGS,02160105,2017-09-09,8.1,3.98,3.85,4.12,8.3,20.9,8.6,22.3,19.2
345,USGS,02160105,2017-09-10,8.2,3.77,3.69,3.85,8.6,19.7,8.8,20.8,18.8
346,USGS,02160105,2017-09-11,8.7,3.69,3.66,3.72,8.8,18.1,8.9,19.0,17.7
347,USGS,02160105,2017-09-12,8.3,3.98,3.69,4.50,8.4,18.8,8.7,19.5,17.8
348,USGS,02160105,2017-09-13,8.1,5.82,4.50,6.19,8.3,19.1,8.4,19.9,18.3
349,USGS,02160105,2017-09-14,7.9,5.40,5.00,5.89,8.0,20.6,8.2,21.8,19.5
350,USGS,02160105,2017-09-15,7.8,4.72,4.43,5.00,8.0,21.5,8.2,22.9,20.1
351,USGS,02160105,2017-09-16,7.7,4.27,4.11,4.43,7.9,22.5,8.1,24.0,20.8
352,USGS,02160105,2017-09-17,7.7,4.02,3.94,4.11,7.8,23.0,8.1,24.5,21.5
353,USGS,02160105,2017-09-18,7.5,3.86,3.79,3.95,7.7,23.6,8.0,25.2,22.0
354,USGS,02160105,2017-09-19,7.4,3.75,3.70,3.81,7.7,23.9,7.9,25.4,22.5
355,USGS,02160105,2017-09-20,7.3,3.67,3.64,3.71,7.6,24.2,7.9,26.1,22.4
356,USGS,02160105,2017-09-21,7.2,3.59,3.55,3.64,7.5,24.8,7.8,26.8,22.8
357,USGS,02160105,2017-09-22,7.2,3.53,3.50,3.57,7.5,24.7,7.8,26.4,22.9
358,USGS,02160105,2017-09-23,7.3,3.49,3.47,3.51,7.6,24.6,7.9,26.4,22.6
359,USGS,02160105,2017-09-24,7.4,3.44,3.39,3.48,7.7,24.0,8.1,25.6,22.1
360,USGS,02160105,2017-09-25,7.5,3.40,3.37,3.43,7.8,24.0,8.1,25.8,22.2
361,USGS,02160105,2017-09-26,7.4,3.37,3.35,3.39,7.7,24.4,8.1,26.7,22.2
362,USGS,02160105,2017-09-27,7.2,3.35,3.32,3.37,7.6,25.0,8.0,27.1,22.8
363,USGS,02160105,2017-09-28,7.2,3.31,3.28,3.33,7.6,25.1,8.2,27.3,22.8
364,USGS,02160105,2017-09-29,7.3,3.29,3.27,3.32,7.7,24.5,8.3,26.2,22.7
365,USGS,02160105,2017-09-30,7.5,3.27,3.25,3.30,8.0,23.1,8.5,24.4,21.2
