,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02175000,2016-09-30,3.64,3.73,3.52
1,USGS,02175000,2016-10-01,3.43,3.52,3.34
2,USGS,02175000,2016-10-02,3.26,3.34,3.18
3,USGS,02175000,2016-10-03,3.10,3.18,3.03
4,USGS,02175000,2016-10-04,2.93,3.03,2.87
5,USGS,02175000,2016-10-05,2.79,2.89,2.73
6,USGS,02175000,2016-10-06,2.69,2.73,2.65
7,USGS,02175000,2016-10-07,2.68,3.27,2.61
8,USGS,02175000,2016-10-08,6.91,9.14,3.27
9,USGS,02175000,2016-10-09,11.28,13.02,9.14
10,USGS,02175000,2016-10-10,13.65,14.00,13.02
11,USGS,02175000,2016-10-11,14.26,14.56,14.00
12,USGS,02175000,2016-10-12,14.78,14.90,14.56
13,USGS,02175000,2016-10-13,14.78,14.90,14.59
14,USGS,02175000,2016-10-14,14.32,14.59,14.02
15,USGS,02175000,2016-10-15,13.68,14.02,13.33
16,USGS,02175000,2016-10-16,12.98,13.33,12.61
17,USGS,02175000,2016-10-17,12.26,12.61,11.90
18,USGS,02175000,2016-10-18,11.57,11.90,11.23
19,USGS,02175000,2016-10-19,10.87,11.23,10.51
20,USGS,02175000,2016-10-20,10.14,10.51,9.78
21,USGS,02175000,2016-10-21,9.43,9.78,9.09
22,USGS,02175000,2016-10-22,8.75,9.09,8.42
23,USGS,02175000,2016-10-23,8.09,8.42,7.78
24,USGS,02175000,2016-10-24,7.47,7.78,7.17
25,USGS,02175000,2016-10-25,6.88,7.17,6.60
26,USGS,02175000,2016-10-26,6.33,6.60,6.07
27,USGS,02175000,2016-10-27,5.86,6.07,5.67
28,USGS,02175000,2016-10-28,5.51,5.67,5.36
29,USGS,02175000,2016-10-29,5.23,5.36,5.12
30,USGS,02175000,2016-10-30,5.02,5.12,4.93
31,USGS,02175000,2016-10-31,4.83,4.93,4.75
32,USGS,02175000,2016-11-01,4.67,4.75,4.59
33,USGS,02175000,2016-11-02,4.54,4.59,4.49
34,USGS,02175000,2016-11-03,4.44,4.49,4.38
35,USGS,02175000,2016-11-04,4.31,4.38,4.24
36,USGS,02175000,2016-11-05,4.23,4.28,4.18
37,USGS,02175000,2016-11-06,4.15,4.21,4.11
38,USGS,02175000,2016-11-07,4.07,4.12,4.01
39,USGS,02175000,2016-11-08,4.01,4.04,3.98
40,USGS,02175000,2016-11-09,3.96,3.99,3.92
41,USGS,02175000,2016-11-10,3.91,3.94,3.88
42,USGS,02175000,2016-11-11,3.87,3.89,3.85
43,USGS,02175000,2016-11-12,3.81,3.85,3.76
44,USGS,02175000,2016-11-13,3.76,3.79,3.73
45,USGS,02175000,2016-11-14,3.77,3.78,3.76
46,USGS,02175000,2016-11-15,3.73,3.78,3.65
47,USGS,02175000,2016-11-16,3.63,3.65,3.62
48,USGS,02175000,2016-11-17,3.63,3.64,3.59
49,USGS,02175000,2016-11-18,3.65,3.67,3.64
50,USGS,02175000,2016-11-19,3.69,3.72,3.65
51,USGS,02175000,2016-11-20,3.76,3.81,3.72
52,USGS,02175000,2016-11-21,3.83,3.85,3.80
53,USGS,02175000,2016-11-22,3.84,3.87,3.81
54,USGS,02175000,2016-11-23,3.80,3.81,3.77
55,USGS,02175000,2016-11-24,3.78,3.80,3.77
56,USGS,02175000,2016-11-25,3.77,3.78,3.73
57,USGS,02175000,2016-11-26,3.75,3.78,3.70
58,USGS,02175000,2016-11-27,3.78,3.79,3.76
59,USGS,02175000,2016-11-28,3.73,3.77,3.66
60,USGS,02175000,2016-11-29,3.68,3.72,3.63
61,USGS,02175000,2016-11-30,3.67,3.72,3.60
62,USGS,02175000,2016-12-01,3.62,3.65,3.58
63,USGS,02175000,2016-12-02,3.64,3.67,3.61
64,USGS,02175000,2016-12-03,3.62,3.64,3.58
65,USGS,02175000,2016-12-04,3.65,3.70,3.61
66,USGS,02175000,2016-12-05,3.76,3.92,3.68
67,USGS,02175000,2016-12-06,4.65,5.24,3.91
68,USGS,02175000,2016-12-07,5.67,5.97,5.24
69,USGS,02175000,2016-12-08,6.11,6.23,5.97
70,USGS,02175000,2016-12-09,6.29,6.36,6.23
71,USGS,02175000,2016-12-10,6.43,6.52,6.36
72,USGS,02175000,2016-12-11,6.62,6.74,6.52
73,USGS,02175000,2016-12-12,6.88,7.04,6.74
74,USGS,02175000,2016-12-13,7.21,7.40,7.04
75,USGS,02175000,2016-12-14,7.57,7.73,7.40
76,USGS,02175000,2016-12-15,7.85,7.96,7.73
77,USGS,02175000,2016-12-16,8.01,8.05,7.96
78,USGS,02175000,2016-12-17,8.02,8.05,7.99
79,USGS,02175000,2016-12-18,7.94,7.99,7.90
80,USGS,02175000,2016-12-19,7.85,7.90,7.81
81,USGS,02175000,2016-12-20,7.81,7.85,7.78
82,USGS,02175000,2016-12-21,7.73,7.78,7.69
83,USGS,02175000,2016-12-22,7.63,7.69,7.59
84,USGS,02175000,2016-12-23,7.55,7.59,7.51
85,USGS,02175000,2016-12-24,7.57,7.61,7.55
86,USGS,02175000,2016-12-25,7.66,7.71,7.61
87,USGS,02175000,2016-12-26,7.76,7.80,7.71
88,USGS,02175000,2016-12-27,7.80,7.81,7.78
89,USGS,02175000,2016-12-28,7.75,7.79,7.71
90,USGS,02175000,2016-12-29,7.65,7.71,7.60
91,USGS,02175000,2016-12-30,7.51,7.60,7.43
92,USGS,02175000,2016-12-31,7.33,7.43,7.21
93,USGS,02175000,2017-01-01,7.12,7.21,7.02
94,USGS,02175000,2017-01-02,6.93,7.02,6.84
95,USGS,02175000,2017-01-03,6.79,6.84,6.76
96,USGS,02175000,2017-01-04,6.79,6.84,6.77
97,USGS,02175000,2017-01-05,6.90,6.96,6.84
98,USGS,02175000,2017-01-06,7.02,7.10,6.96
99,USGS,02175000,2017-01-07,7.33,7.62,7.10
100,USGS,02175000,2017-01-08,7.93,8.27,7.62
101,USGS,02175000,2017-01-09,8.58,8.89,8.27
102,USGS,02175000,2017-01-10,9.13,9.36,8.89
103,USGS,02175000,2017-01-11,9.58,9.79,9.36
104,USGS,02175000,2017-01-12,9.99,10.17,9.79
105,USGS,02175000,2017-01-13,10.28,10.36,10.17
106,USGS,02175000,2017-01-14,10.37,10.38,10.34
107,USGS,02175000,2017-01-15,10.26,10.34,10.16
108,USGS,02175000,2017-01-16,10.01,10.16,9.86
109,USGS,02175000,2017-01-17,9.68,9.86,9.52
110,USGS,02175000,2017-01-18,9.35,9.52,9.21
111,USGS,02175000,2017-01-19,9.05,9.21,8.88
112,USGS,02175000,2017-01-20,8.68,8.88,8.51
113,USGS,02175000,2017-01-21,8.36,8.51,8.25
114,USGS,02175000,2017-01-22,8.32,8.50,8.18
115,USGS,02175000,2017-01-23,8.80,9.10,8.48
116,USGS,02175000,2017-01-24,9.35,9.58,9.10
117,USGS,02175000,2017-01-25,9.71,9.82,9.58
118,USGS,02175000,2017-01-26,9.93,10.10,9.82
119,USGS,02175000,2017-01-27,10.29,10.49,10.10
120,USGS,02175000,2017-01-28,10.67,10.85,10.49
121,USGS,02175000,2017-01-29,10.98,11.10,10.85
122,USGS,02175000,2017-01-30,11.15,11.17,11.10
123,USGS,02175000,2017-01-31,11.06,11.16,10.96
124,USGS,02175000,2017-02-01,10.79,10.96,10.63
125,USGS,02175000,2017-02-02,10.44,10.63,10.25
126,USGS,02175000,2017-02-03,10.05,10.25,9.85
127,USGS,02175000,2017-02-04,9.61,9.85,9.39
128,USGS,02175000,2017-02-05,9.14,9.39,8.90
129,USGS,02175000,2017-02-06,8.67,8.90,8.45
130,USGS,02175000,2017-02-07,8.23,8.45,8.06
131,USGS,02175000,2017-02-08,7.98,8.07,7.90
132,USGS,02175000,2017-02-09,7.84,7.90,7.77
133,USGS,02175000,2017-02-10,7.69,7.77,7.62
134,USGS,02175000,2017-02-11,7.53,7.62,7.48
135,USGS,02175000,2017-02-12,7.42,7.48,7.38
136,USGS,02175000,2017-02-13,7.35,7.38,7.30
137,USGS,02175000,2017-02-14,7.32,7.34,7.30
138,USGS,02175000,2017-02-15,7.32,7.36,7.28
139,USGS,02175000,2017-02-16,7.37,7.38,7.35
140,USGS,02175000,2017-02-17,7.37,7.39,7.34
141,USGS,02175000,2017-02-18,7.34,7.37,7.30
142,USGS,02175000,2017-02-19,7.33,7.34,7.31
143,USGS,02175000,2017-02-20,7.40,7.47,7.34
144,USGS,02175000,2017-02-21,7.54,7.60,7.47
145,USGS,02175000,2017-02-22,7.64,7.66,7.60
146,USGS,02175000,2017-02-23,7.65,7.67,7.63
147,USGS,02175000,2017-02-24,7.60,7.64,7.54
148,USGS,02175000,2017-02-25,7.47,7.54,7.40
149,USGS,02175000,2017-02-26,7.31,7.40,7.22
150,USGS,02175000,2017-02-27,7.13,7.22,7.03
151,USGS,02175000,2017-02-28,6.94,7.03,6.86
152,USGS,02175000,2017-03-01,6.75,6.86,6.65
153,USGS,02175000,2017-03-02,6.56,6.65,6.47
154,USGS,02175000,2017-03-03,6.36,6.47,6.25
155,USGS,02175000,2017-03-04,6.14,6.25,6.06
156,USGS,02175000,2017-03-05,5.97,6.06,5.89
157,USGS,02175000,2017-03-06,5.81,5.89,5.74
158,USGS,02175000,2017-03-07,5.67,5.74,5.61
159,USGS,02175000,2017-03-08,5.54,5.62,5.48
160,USGS,02175000,2017-03-09,5.44,5.48,5.39
161,USGS,02175000,2017-03-10,5.34,5.39,5.28
162,USGS,02175000,2017-03-11,5.27,5.32,5.23
163,USGS,02175000,2017-03-12,5.19,5.24,5.15
164,USGS,02175000,2017-03-13,5.16,5.19,5.11
165,USGS,02175000,2017-03-14,5.19,5.21,5.14
166,USGS,02175000,2017-03-15,5.20,5.22,5.15
167,USGS,02175000,2017-03-16,5.22,5.22,5.17
168,USGS,02175000,2017-03-17,5.25,5.29,5.22
169,USGS,02175000,2017-03-18,5.33,5.40,5.29
170,USGS,02175000,2017-03-19,5.43,5.50,5.38
171,USGS,02175000,2017-03-20,5.53,5.55,5.50
172,USGS,02175000,2017-03-21,5.56,5.58,5.53
173,USGS,02175000,2017-03-22,5.59,5.63,5.54
174,USGS,02175000,2017-03-23,5.63,5.65,5.58
175,USGS,02175000,2017-03-24,5.65,5.65,5.64
176,USGS,02175000,2017-03-25,5.63,5.64,5.61
177,USGS,02175000,2017-03-26,5.61,5.63,5.57
178,USGS,02175000,2017-03-27,5.57,5.59,5.53
179,USGS,02175000,2017-03-28,5.51,5.55,5.49
180,USGS,02175000,2017-03-29,5.48,5.51,5.43
181,USGS,02175000,2017-03-30,5.37,5.43,5.32
182,USGS,02175000,2017-03-31,5.28,5.32,5.23
183,USGS,02175000,2017-04-01,5.24,5.26,5.21
184,USGS,02175000,2017-04-02,5.18,5.22,5.16
185,USGS,02175000,2017-04-03,5.19,5.29,5.12
186,USGS,02175000,2017-04-04,5.45,5.66,5.29
187,USGS,02175000,2017-04-05,5.76,5.92,5.66
188,USGS,02175000,2017-04-06,6.13,6.38,5.91
189,USGS,02175000,2017-04-07,6.62,6.81,6.38
190,USGS,02175000,2017-04-08,6.94,7.11,6.81
191,USGS,02175000,2017-04-09,7.31,7.51,7.11
192,USGS,02175000,2017-04-10,7.64,7.78,7.51
193,USGS,02175000,2017-04-11,7.88,7.96,7.78
194,USGS,02175000,2017-04-12,7.97,7.99,7.96
195,USGS,02175000,2017-04-13,7.88,7.96,7.79
196,USGS,02175000,2017-04-14,7.69,7.79,7.61
197,USGS,02175000,2017-04-15,7.56,7.61,7.51
198,USGS,02175000,2017-04-16,7.58,7.59,7.55
199,USGS,02175000,2017-04-17,7.54,7.59,7.47
200,USGS,02175000,2017-04-18,7.30,7.47,7.11
201,USGS,02175000,2017-04-19,6.89,7.11,6.68
202,USGS,02175000,2017-04-20,6.41,6.68,6.13
203,USGS,02175000,2017-04-21,5.82,6.13,5.53
204,USGS,02175000,2017-04-22,5.27,5.53,5.04
205,USGS,02175000,2017-04-23,4.86,5.04,4.70
206,USGS,02175000,2017-04-24,5.23,5.83,4.70
207,USGS,02175000,2017-04-25,6.39,6.98,5.83
208,USGS,02175000,2017-04-26,7.67,8.43,6.98
209,USGS,02175000,2017-04-27,9.22,9.80,8.43
210,USGS,02175000,2017-04-28,10.00,10.10,9.80
211,USGS,02175000,2017-04-29,10.50,11.13,10.10
212,USGS,02175000,2017-04-30,11.63,12.03,11.13
213,USGS,02175000,2017-05-01,12.07,12.12,12.01
214,USGS,02175000,2017-05-02,11.78,12.01,11.51
215,USGS,02175000,2017-05-03,11.17,11.51,10.81
216,USGS,02175000,2017-05-04,10.43,10.81,10.03
217,USGS,02175000,2017-05-05,9.69,10.03,9.38
218,USGS,02175000,2017-05-06,9.10,9.38,8.88
219,USGS,02175000,2017-05-07,8.73,8.88,8.59
220,USGS,02175000,2017-05-08,8.39,8.59,8.17
221,USGS,02175000,2017-05-09,7.90,8.17,7.64
222,USGS,02175000,2017-05-10,7.44,7.64,7.26
223,USGS,02175000,2017-05-11,7.15,7.26,7.07
224,USGS,02175000,2017-05-12,7.02,7.07,6.99
225,USGS,02175000,2017-05-13,6.97,7.00,6.92
226,USGS,02175000,2017-05-14,6.96,7.00,6.92
227,USGS,02175000,2017-05-15,6.84,6.92,6.76
228,USGS,02175000,2017-05-16,6.70,6.76,6.66
229,USGS,02175000,2017-05-17,6.60,6.66,6.48
230,USGS,02175000,2017-05-18,6.26,6.48,6.02
231,USGS,02175000,2017-05-19,5.76,6.02,5.50
232,USGS,02175000,2017-05-20,5.24,5.50,4.99
233,USGS,02175000,2017-05-21,4.78,4.99,4.58
234,USGS,02175000,2017-05-22,4.40,4.58,4.26
235,USGS,02175000,2017-05-23,4.28,4.46,4.18
236,USGS,02175000,2017-05-24,4.73,5.03,4.46
237,USGS,02175000,2017-05-25,5.26,5.49,5.01
238,USGS,02175000,2017-05-26,5.67,5.86,5.49
