,agency_cd,site_no,datetime,Dissolved oxygen_Mean,Temperature_Mean,Temperature_Min,Gage height_Mean,Dissolved oxygen_Min,Gage height_Min,Gage height_Max,Dissolved oxygen_Max,Temperature_Max
277,USGS,02160991,2017-07-04,6.0,27.8,26.4,222.19,4.9,221.95,224.07,7.5,29.7
278,USGS,02160991,2017-07-05,6.1,28.5,26.9,222.53,4.7,221.92,223.58,7.1,30.0
279,USGS,02160991,2017-07-06,5.4,27.9,26.6,222.27,4.6,221.91,222.99,6.9,29.7
280,USGS,02160991,2017-07-07,5.5,28.1,27.0,222.05,4.7,221.90,222.70,6.3,29.2
281,USGS,02160991,2017-07-08,5.9,28.3,27.2,222.05,4.9,221.96,222.23,6.9,29.8
282,USGS,02160991,2017-07-09,6.5,28.6,27.5,222.01,5.2,221.95,222.10,8.7,30.4
283,USGS,02160991,2017-07-10,6.3,29.1,28.3,221.99,5.2,221.92,222.06,8.0,30.0
284,USGS,02160991,2017-07-11,6.1,28.9,28.1,221.99,5.2,221.92,222.06,6.9,29.6
285,USGS,02160991,2017-07-12,5.9,29.1,28.2,221.67,5.0,221.37,222.06,6.4,30.2
286,USGS,02160991,2017-07-13,6.1,29.6,28.8,221.72,5.1,221.36,222.02,6.9,31.1
287,USGS,02160991,2017-07-14,6.0,29.7,29.0,221.27,5.3,221.02,221.72,6.9,31.1
288,USGS,02160991,2017-07-15,5.9,29.8,28.9,221.30,5.5,221.03,221.43,6.5,31.0
289,USGS,02160991,2017-07-16,6.3,29.5,29.0,221.73,5.7,221.37,222.07,7.7,30.0
290,USGS,02160991,2017-07-17,6.2,29.2,28.5,221.73,5.7,221.67,221.83,7.1,29.8
291,USGS,02160991,2017-07-18,6.5,29.6,28.8,221.87,5.3,221.70,222.81,7.7,30.9
292,USGS,02160991,2017-07-19,6.0,29.7,29.1,221.59,5.2,221.36,221.80,6.6,30.5
293,USGS,02160991,2017-07-20,5.9,29.8,28.9,221.72,5.1,221.65,221.80,6.9,31.3
294,USGS,02160991,2017-07-21,5.4,30.0,29.4,221.59,3.3,221.02,221.77,6.2,31.0
295,USGS,02160991,2017-07-22,4.3,30.3,29.6,221.02,3.2,220.97,221.06,5.9,31.4
296,USGS,02160991,2017-07-23,4.5,30.1,29.3,221.20,3.5,220.96,221.46,5.8,31.0
297,USGS,02160991,2017-07-24,5.0,29.5,28.9,221.37,4.3,221.00,221.47,5.5,30.4
298,USGS,02160991,2017-07-25,5.2,29.7,29.1,221.41,4.2,221.03,221.47,6.4,30.8
299,USGS,02160991,2017-07-26,5.7,29.8,29.5,221.01,5.1,220.97,221.05,6.7,30.0
300,USGS,02160991,2017-07-27,5.8,29.8,29.4,221.02,5.0,220.97,221.06,6.6,30.4
301,USGS,02160991,2017-07-28,5.1,29.7,29.2,221.01,4.6,220.95,221.07,5.9,30.2
302,USGS,02160991,2017-07-29,5.4,29.6,29.0,221.05,4.4,221.01,221.12,6.8,30.4
303,USGS,02160991,2017-07-30,6.3,29.2,28.7,221.04,5.3,221.01,221.10,7.4,29.7
304,USGS,02160991,2017-07-31,6.9,28.8,28.3,221.19,6.0,220.98,221.45,7.8,29.2
305,USGS,02160991,2017-08-01,6.9,29.1,28.4,221.40,5.9,221.35,221.46,7.8,30.0
306,USGS,02160991,2017-08-02,5.5,28.9,28.6,221.02,4.8,220.45,221.43,6.3,29.2
307,USGS,02160991,2017-08-03,5.1,28.7,28.5,220.89,4.5,220.44,221.00,5.7,29.0
308,USGS,02160991,2017-08-04,5.4,28.7,28.3,220.84,4.5,220.45,221.01,6.8,29.5
309,USGS,02160991,2017-08-05,5.6,28.8,28.4,220.81,5.2,220.44,221.01,6.0,29.4
310,USGS,02160991,2017-08-06,6.0,29.2,28.5,220.97,5.1,220.93,221.00,7.2,30.4
311,USGS,02160991,2017-08-07,5.9,29.2,28.8,220.95,5.2,220.91,220.98,6.6,29.7
312,USGS,02160991,2017-08-08,5.3,28.7,28.4,220.97,4.7,220.94,220.99,6.0,29.2
313,USGS,02160991,2017-08-09,5.6,28.1,27.8,221.22,4.9,220.94,221.39,6.6,28.4
314,USGS,02160991,2017-08-10,5.7,27.9,27.4,220.82,5.4,220.41,221.44,6.2,28.5
315,USGS,02160991,2017-08-11,6.1,28.5,28.2,221.36,5.1,220.43,221.84,7.0,28.9
316,USGS,02160991,2017-08-12,6.2,28.9,28.4,221.74,5.7,221.69,221.82,7.1,30.0
317,USGS,02160991,2017-08-13,6.3,29.3,28.8,221.99,5.4,221.73,222.15,7.7,29.9
318,USGS,02160991,2017-08-14,5.7,29.4,28.8,222.10,4.6,221.92,222.87,6.6,30.0
319,USGS,02160991,2017-08-15,4.9,29.4,29.0,222.40,4.1,221.91,224.95,5.9,29.9
320,USGS,02160991,2017-08-16,4.7,29.4,28.8,222.44,4.0,221.94,223.20,5.6,29.9
321,USGS,02160991,2017-08-17,5.0,29.8,29.1,222.00,4.1,221.90,222.23,6.2,30.8
322,USGS,02160991,2017-08-18,5.2,30.0,29.4,222.00,4.2,221.91,222.08,5.8,30.7
323,USGS,02160991,2017-08-19,5.1,29.9,29.2,221.91,3.9,221.38,222.07,6.7,31.0
324,USGS,02160991,2017-08-20,5.5,30.0,29.5,221.36,4.9,221.30,221.40,6.0,30.5
325,USGS,02160991,2017-08-21,5.1,30.2,29.8,221.27,4.7,220.96,221.40,5.5,30.4
326,USGS,02160991,2017-08-22,4.8,30.1,29.7,220.96,4.5,220.92,220.99,5.2,30.5
327,USGS,02160991,2017-08-23,5.3,30.2,29.6,220.95,4.4,220.92,220.99,6.6,31.0
328,USGS,02160991,2017-08-24,5.3,29.8,29.6,220.94,4.8,220.92,220.98,5.9,30.2
329,USGS,02160991,2017-08-25,5.5,29.3,29.1,220.94,5.1,220.90,220.99,5.8,29.7
330,USGS,02160991,2017-08-26,5.5,29.2,28.9,220.97,5.0,220.92,221.00,6.0,29.6
331,USGS,02160991,2017-08-27,5.9,29.1,28.8,220.95,5.1,220.90,221.01,6.6,29.3
332,USGS,02160991,2017-08-28,6.5,28.2,27.4,220.73,5.9,220.35,220.94,7.1,29.0
333,USGS,02160991,2017-08-29,6.4,26.8,26.4,220.70,5.9,220.34,220.95,7.0,27.4
334,USGS,02160991,2017-08-30,7.4,26.7,26.2,220.56,6.4,220.31,220.93,8.5,27.3
335,USGS,02160991,2017-08-31,7.2,26.8,26.5,220.76,6.7,220.30,220.93,7.8,27.0
336,USGS,02160991,2017-09-01,6.6,27.0,26.5,220.94,6.2,220.87,221.07,7.2,27.6
337,USGS,02160991,2017-09-02,7.0,27.4,26.8,221.12,6.2,220.87,221.73,8.3,28.0
338,USGS,02160991,2017-09-03,6.3,27.4,26.9,221.98,5.7,221.68,222.08,7.5,28.1
339,USGS,02160991,2017-09-04,6.2,27.4,26.8,221.44,5.7,220.98,222.08,6.9,28.2
340,USGS,02160991,2017-09-05,6.6,27.6,27.1,220.74,5.5,220.30,221.00,8.0,28.4
341,USGS,02160991,2017-09-06,6.2,27.0,26.4,221.20,5.7,220.87,221.77,6.5,27.6
342,USGS,02160991,2017-09-07,6.3,26.1,25.5,221.79,5.8,221.70,221.88,6.9,26.8
343,USGS,02160991,2017-09-08,6.8,26.4,25.9,221.94,6.0,221.80,222.12,7.9,26.9
344,USGS,02160991,2017-09-09,7.3,25.5,25.0,222.07,6.5,222.01,222.12,8.1,26.3
345,USGS,02160991,2017-09-10,7.5,23.8,23.0,222.05,6.9,221.99,222.10,8.0,25.0
346,USGS,02160991,2017-09-11,7.5,22.7,21.3,222.02,7.0,221.92,222.10,7.9,23.6
347,USGS,02160991,2017-09-12,7.4,23.6,21.9,222.08,7.2,222.04,222.11,7.8,24.3
348,USGS,02160991,2017-09-13,7.3,23.5,22.8,222.13,6.7,221.95,222.25,8.0,24.4
349,USGS,02160991,2017-09-14,7.2,23.5,23.0,222.37,6.8,222.10,222.93,7.9,24.3
350,USGS,02160991,2017-09-15,7.1,24.5,24.0,222.27,6.5,221.99,222.82,8.1,25.4
351,USGS,02160991,2017-09-16,7.7,24.8,24.1,222.19,7.0,222.13,222.26,8.7,25.6
352,USGS,02160991,2017-09-17,7.3,25.1,24.2,221.95,6.7,221.50,222.23,7.8,25.9
353,USGS,02160991,2017-09-18,7.1,25.8,25.2,220.98,6.5,220.83,221.52,7.6,26.7
354,USGS,02160991,2017-09-19,6.8,25.9,25.6,220.93,6.3,220.89,220.98,7.1,26.4
355,USGS,02160991,2017-09-20,6.8,26.1,25.7,221.25,6.3,220.90,221.41,7.1,26.8
356,USGS,02160991,2017-09-21,7.1,26.4,25.8,221.38,6.5,221.33,221.43,7.7,27.4
357,USGS,02160991,2017-09-22,7.8,27.0,26.5,221.27,7.3,221.03,221.42,8.6,27.6
358,USGS,02160991,2017-09-23,8.2,27.0,26.6,220.97,7.2,220.64,221.13,9.9,27.8
359,USGS,02160991,2017-09-24,8.1,26.9,26.5,221.19,7.0,220.64,221.45,9.4,27.4
360,USGS,02160991,2017-09-25,7.9,26.8,26.6,220.99,7.2,220.92,221.04,8.8,27.2
361,USGS,02160991,2017-09-26,7.4,26.8,26.3,220.98,6.9,220.82,221.05,8.0,27.3
362,USGS,02160991,2017-09-27,7.4,27.2,26.8,220.98,6.7,220.93,221.03,8.2,27.9
363,USGS,02160991,2017-09-28,7.1,27.5,26.8,220.56,6.2,220.30,221.01,8.0,28.3
364,USGS,02160991,2017-09-29,6.9,27.2,26.8,220.77,6.2,220.31,220.99,7.7,27.6
365,USGS,02160991,2017-09-30,7.1,26.5,25.9,220.85,6.6,220.41,221.01,7.6,27.1
