,agency_cd,site_no,datetime
187,USGS,02171500,2017-04-05
188,USGS,02171500,2017-04-06
189,USGS,02171500,2017-04-07
190,USGS,02171500,2017-04-08
191,USGS,02171500,2017-04-09
192,USGS,02171500,2017-04-10
193,USGS,02171500,2017-04-11
194,USGS,02171500,2017-04-12
195,USGS,02171500,2017-04-13
196,USGS,02171500,2017-04-14
197,USGS,02171500,2017-04-15
198,USGS,02171500,2017-04-16
199,USGS,02171500,2017-04-17
200,USGS,02171500,2017-04-18
201,USGS,02171500,2017-04-19
202,USGS,02171500,2017-04-20
203,USGS,02171500,2017-04-21
204,USGS,02171500,2017-04-22
205,USGS,02171500,2017-04-23
206,USGS,02171500,2017-04-24
207,USGS,02171500,2017-04-25
208,USGS,02171500,2017-04-26
209,USGS,02171500,2017-04-27
210,USGS,02171500,2017-04-28
211,USGS,02171500,2017-04-29
212,USGS,02171500,2017-04-30
213,USGS,02171500,2017-05-01
214,USGS,02171500,2017-05-02
215,USGS,02171500,2017-05-03
216,USGS,02171500,2017-05-04
217,USGS,02171500,2017-05-05
218,USGS,02171500,2017-05-06
219,USGS,02171500,2017-05-07
220,USGS,02171500,2017-05-08
221,USGS,02171500,2017-05-09
222,USGS,02171500,2017-05-10
223,USGS,02171500,2017-05-11
224,USGS,02171500,2017-05-12
225,USGS,02171500,2017-05-13
226,USGS,02171500,2017-05-14
227,USGS,02171500,2017-05-15
228,USGS,02171500,2017-05-16
229,USGS,02171500,2017-05-17
230,USGS,02171500,2017-05-18
231,USGS,02171500,2017-05-19
232,USGS,02171500,2017-05-20
233,USGS,02171500,2017-05-21
234,USGS,02171500,2017-05-22
235,USGS,02171500,2017-05-23
236,USGS,02171500,2017-05-24
237,USGS,02171500,2017-05-25
238,USGS,02171500,2017-05-26
239,USGS,02171500,2017-05-27
240,USGS,02171500,2017-05-28
241,USGS,02171500,2017-05-29
242,USGS,02171500,2017-05-30
243,USGS,02171500,2017-05-31
244,USGS,02171500,2017-06-01
245,USGS,02171500,2017-06-02
246,USGS,02171500,2017-06-03
247,USGS,02171500,2017-06-04
248,USGS,02171500,2017-06-05
249,USGS,02171500,2017-06-06
250,USGS,02171500,2017-06-07
251,USGS,02171500,2017-06-08
252,USGS,02171500,2017-06-09
253,USGS,02171500,2017-06-10
254,USGS,02171500,2017-06-11
255,USGS,02171500,2017-06-12
256,USGS,02171500,2017-06-13
257,USGS,02171500,2017-06-14
258,USGS,02171500,2017-06-15
259,USGS,02171500,2017-06-16
260,USGS,02171500,2017-06-17
261,USGS,02171500,2017-06-18
262,USGS,02171500,2017-06-19
263,USGS,02171500,2017-06-20
264,USGS,02171500,2017-06-21
265,USGS,02171500,2017-06-22
266,USGS,02171500,2017-06-23
267,USGS,02171500,2017-06-24
268,USGS,02171500,2017-06-25
269,USGS,02171500,2017-06-26
270,USGS,02171500,2017-06-27
271,USGS,02171500,2017-06-28
272,USGS,02171500,2017-06-29
273,USGS,02171500,2017-06-30
274,USGS,02171500,2017-07-01
275,USGS,02171500,2017-07-02
276,USGS,02171500,2017-07-03
277,USGS,02171500,2017-07-04
278,USGS,02171500,2017-07-05
279,USGS,02171500,2017-07-06
280,USGS,02171500,2017-07-07
281,USGS,02171500,2017-07-08
282,USGS,02171500,2017-07-09
283,USGS,02171500,2017-07-10
284,USGS,02171500,2017-07-11
285,USGS,02171500,2017-07-12
286,USGS,02171500,2017-07-13
287,USGS,02171500,2017-07-14
288,USGS,02171500,2017-07-15
289,USGS,02171500,2017-07-16
290,USGS,02171500,2017-07-17
291,USGS,02171500,2017-07-18
292,USGS,02171500,2017-07-19
293,USGS,02171500,2017-07-20
294,USGS,02171500,2017-07-21
295,USGS,02171500,2017-07-22
296,USGS,02171500,2017-07-23
297,USGS,02171500,2017-07-24
298,USGS,02171500,2017-07-25
299,USGS,02171500,2017-07-26
300,USGS,02171500,2017-07-27
301,USGS,02171500,2017-07-28
302,USGS,02171500,2017-07-29
303,USGS,02171500,2017-07-30
304,USGS,02171500,2017-07-31
305,USGS,02171500,2017-08-01
306,USGS,02171500,2017-08-02
307,USGS,02171500,2017-08-03
308,USGS,02171500,2017-08-04
309,USGS,02171500,2017-08-05
310,USGS,02171500,2017-08-06
311,USGS,02171500,2017-08-07
312,USGS,02171500,2017-08-08
313,USGS,02171500,2017-08-09
314,USGS,02171500,2017-08-10
315,USGS,02171500,2017-08-11
316,USGS,02171500,2017-08-12
317,USGS,02171500,2017-08-13
318,USGS,02171500,2017-08-14
319,USGS,02171500,2017-08-15
320,USGS,02171500,2017-08-16
321,USGS,02171500,2017-08-17
322,USGS,02171500,2017-08-18
323,USGS,02171500,2017-08-19
324,USGS,02171500,2017-08-20
325,USGS,02171500,2017-08-21
326,USGS,02171500,2017-08-22
327,USGS,02171500,2017-08-23
328,USGS,02171500,2017-08-24
329,USGS,02171500,2017-08-25
330,USGS,02171500,2017-08-26
331,USGS,02171500,2017-08-27
332,USGS,02171500,2017-08-28
333,USGS,02171500,2017-08-29
334,USGS,02171500,2017-08-30
335,USGS,02171500,2017-08-31
336,USGS,02171500,2017-09-01
337,USGS,02171500,2017-09-02
338,USGS,02171500,2017-09-03
339,USGS,02171500,2017-09-04
340,USGS,02171500,2017-09-05
341,USGS,02171500,2017-09-06
342,USGS,02171500,2017-09-07
343,USGS,02171500,2017-09-08
344,USGS,02171500,2017-09-09
345,USGS,02171500,2017-09-10
346,USGS,02171500,2017-09-11
347,USGS,02171500,2017-09-12
348,USGS,02171500,2017-09-13
349,USGS,02171500,2017-09-14
350,USGS,02171500,2017-09-15
351,USGS,02171500,2017-09-16
352,USGS,02171500,2017-09-17
353,USGS,02171500,2017-09-18
354,USGS,02171500,2017-09-19
355,USGS,02171500,2017-09-20
356,USGS,02171500,2017-09-21
357,USGS,02171500,2017-09-22
358,USGS,02171500,2017-09-23
359,USGS,02171500,2017-09-24
360,USGS,02171500,2017-09-25
361,USGS,02171500,2017-09-26
362,USGS,02171500,2017-09-27
363,USGS,02171500,2017-09-28
364,USGS,02171500,2017-09-29
365,USGS,02171500,2017-09-30
