,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02161000,2016-09-30,3.22,3.33,3.01
1,USGS,02161000,2016-10-01,3.30,3.33,3.06
2,USGS,02161000,2016-10-02,3.18,3.32,3.00
3,USGS,02161000,2016-10-03,3.16,3.36,2.98
4,USGS,02161000,2016-10-04,3.34,3.37,3.30
5,USGS,02161000,2016-10-05,3.20,3.37,3.01
6,USGS,02161000,2016-10-06,3.11,3.16,2.99
7,USGS,02161000,2016-10-07,3.16,3.19,3.14
8,USGS,02161000,2016-10-08,3.53,3.94,3.17
9,USGS,02161000,2016-10-09,3.64,3.94,3.18
10,USGS,02161000,2016-10-10,3.18,3.21,3.14
11,USGS,02161000,2016-10-11,3.25,3.29,3.20
12,USGS,02161000,2016-10-12,3.27,3.29,3.26
13,USGS,02161000,2016-10-13,3.24,3.49,2.85
14,USGS,02161000,2016-10-14,3.31,3.44,3.06
15,USGS,02161000,2016-10-15,3.05,3.07,3.03
16,USGS,02161000,2016-10-16,3.12,3.33,2.82
17,USGS,02161000,2016-10-17,3.11,3.35,2.79
18,USGS,02161000,2016-10-18,3.11,3.36,2.79
19,USGS,02161000,2016-10-19,3.08,3.37,2.79
20,USGS,02161000,2016-10-20,3.05,3.22,2.80
21,USGS,02161000,2016-10-21,3.06,3.22,2.82
22,USGS,02161000,2016-10-22,3.03,3.18,2.81
23,USGS,02161000,2016-10-23,3.05,3.50,2.79
24,USGS,02161000,2016-10-24,3.07,3.24,2.79
25,USGS,02161000,2016-10-25,3.06,3.24,2.85
26,USGS,02161000,2016-10-26,3.07,3.22,2.84
27,USGS,02161000,2016-10-27,3.05,3.74,2.80
28,USGS,02161000,2016-10-28,3.12,3.68,2.86
29,USGS,02161000,2016-10-29,3.09,3.27,2.87
30,USGS,02161000,2016-10-30,3.05,3.26,2.84
31,USGS,02161000,2016-10-31,3.06,3.30,2.86
32,USGS,02161000,2016-11-01,3.01,3.31,2.87
33,USGS,02161000,2016-11-02,3.05,3.31,2.85
34,USGS,02161000,2016-11-03,3.10,3.40,2.85
35,USGS,02161000,2016-11-04,3.17,3.44,2.89
36,USGS,02161000,2016-11-05,3.06,3.10,3.05
37,USGS,02161000,2016-11-06,3.12,3.39,3.01
38,USGS,02161000,2016-11-07,3.07,3.38,3.01
39,USGS,02161000,2016-11-08,3.07,3.11,3.04
40,USGS,02161000,2016-11-09,3.06,3.09,3.04
41,USGS,02161000,2016-11-10,3.11,3.24,3.05
42,USGS,02161000,2016-11-11,3.11,3.26,3.06
43,USGS,02161000,2016-11-12,3.07,3.10,3.05
44,USGS,02161000,2016-11-13,3.04,3.07,3.02
45,USGS,02161000,2016-11-14,3.06,3.08,3.04
46,USGS,02161000,2016-11-15,3.11,3.47,3.02
47,USGS,02161000,2016-11-16,3.14,3.47,3.06
48,USGS,02161000,2016-11-17,3.22,3.42,3.05
49,USGS,02161000,2016-11-18,3.13,3.40,3.06
50,USGS,02161000,2016-11-19,3.17,3.43,3.07
51,USGS,02161000,2016-11-20,3.15,3.42,3.08
52,USGS,02161000,2016-11-21,3.17,3.37,3.07
53,USGS,02161000,2016-11-22,3.10,3.11,3.07
54,USGS,02161000,2016-11-23,3.13,3.45,3.08
55,USGS,02161000,2016-11-24,3.12,3.13,3.11
56,USGS,02161000,2016-11-25,3.11,3.13,3.10
57,USGS,02161000,2016-11-26,3.10,3.12,3.08
58,USGS,02161000,2016-11-27,3.13,3.15,3.11
59,USGS,02161000,2016-11-28,3.19,3.49,3.13
60,USGS,02161000,2016-11-29,3.34,3.48,3.13
61,USGS,02161000,2016-11-30,3.55,3.82,3.39
62,USGS,02161000,2016-12-01,3.81,3.87,3.78
63,USGS,02161000,2016-12-02,4.18,4.47,3.85
64,USGS,02161000,2016-12-03,4.48,4.49,4.47
65,USGS,02161000,2016-12-04,4.39,4.49,4.10
66,USGS,02161000,2016-12-05,3.79,4.12,3.75
67,USGS,02161000,2016-12-06,4.13,4.51,3.77
68,USGS,02161000,2016-12-07,4.38,4.50,4.16
69,USGS,02161000,2016-12-08,4.32,4.52,4.12
70,USGS,02161000,2016-12-09,4.45,4.51,4.40
71,USGS,02161000,2016-12-10,3.81,4.48,3.06
72,USGS,02161000,2016-12-11,3.42,3.54,3.05
73,USGS,02161000,2016-12-12,3.54,3.55,3.53
74,USGS,02161000,2016-12-13,3.55,3.57,3.53
75,USGS,02161000,2016-12-14,3.62,3.91,3.51
76,USGS,02161000,2016-12-15,4.12,4.48,3.88
77,USGS,02161000,2016-12-16,3.81,4.15,3.55
78,USGS,02161000,2016-12-17,3.54,3.57,3.51
79,USGS,02161000,2016-12-18,3.50,3.53,3.48
80,USGS,02161000,2016-12-19,3.48,3.51,3.45
81,USGS,02161000,2016-12-20,3.75,3.90,3.48
82,USGS,02161000,2016-12-21,3.73,3.90,3.56
83,USGS,02161000,2016-12-22,3.55,3.56,3.51
84,USGS,02161000,2016-12-23,3.59,3.62,3.55
85,USGS,02161000,2016-12-24,3.61,3.62,3.60
86,USGS,02161000,2016-12-25,3.77,3.94,3.58
87,USGS,02161000,2016-12-26,3.89,3.93,3.87
88,USGS,02161000,2016-12-27,3.63,3.90,3.52
89,USGS,02161000,2016-12-28,3.51,3.56,3.45
90,USGS,02161000,2016-12-29,3.45,3.47,3.42
91,USGS,02161000,2016-12-30,3.56,3.81,3.45
92,USGS,02161000,2016-12-31,3.77,3.85,3.46
93,USGS,02161000,2017-01-01,4.29,4.57,3.83
94,USGS,02161000,2017-01-02,4.65,4.74,4.56
95,USGS,02161000,2017-01-03,5.30,7.53,4.62
96,USGS,02161000,2017-01-04,6.50,7.47,5.28
97,USGS,02161000,2017-01-05,5.27,6.58,4.71
98,USGS,02161000,2017-01-06,4.60,4.88,4.51
99,USGS,02161000,2017-01-07,4.38,4.56,4.19
100,USGS,02161000,2017-01-08,4.47,4.49,4.33
101,USGS,02161000,2017-01-09,4.52,4.56,4.47
102,USGS,02161000,2017-01-10,4.58,4.61,4.54
103,USGS,02161000,2017-01-11,4.41,4.60,4.22
104,USGS,02161000,2017-01-12,4.15,4.58,3.89
105,USGS,02161000,2017-01-13,3.87,3.90,3.86
106,USGS,02161000,2017-01-14,3.85,3.88,3.83
107,USGS,02161000,2017-01-15,3.85,3.88,3.83
108,USGS,02161000,2017-01-16,3.84,3.88,3.80
109,USGS,02161000,2017-01-17,4.10,4.57,3.84
110,USGS,02161000,2017-01-18,3.84,3.90,3.57
111,USGS,02161000,2017-01-19,3.56,3.58,3.55
112,USGS,02161000,2017-01-20,3.93,4.74,3.54
113,USGS,02161000,2017-01-21,4.52,4.64,4.29
114,USGS,02161000,2017-01-22,4.44,4.62,4.20
115,USGS,02161000,2017-01-23,6.88,8.86,4.62
116,USGS,02161000,2017-01-24,7.52,9.01,6.07
117,USGS,02161000,2017-01-25,5.88,7.53,4.58
118,USGS,02161000,2017-01-26,5.12,7.98,4.47
119,USGS,02161000,2017-01-27,5.21,7.69,4.51
120,USGS,02161000,2017-01-28,4.56,4.59,4.53
121,USGS,02161000,2017-01-29,4.28,4.59,3.88
122,USGS,02161000,2017-01-30,3.89,3.92,3.88
123,USGS,02161000,2017-01-31,3.97,5.14,3.61
124,USGS,02161000,2017-02-01,3.83,3.94,3.57
