,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,02147020,2016-09-30,5.81,5.41,6.91
1,USGS,02147020,2016-10-01,5.94,5.39,6.62
2,USGS,02147020,2016-10-02,5.83,5.30,6.60
3,USGS,02147020,2016-10-03,5.38,5.25,6.15
4,USGS,02147020,2016-10-04,5.26,5.23,5.29
5,USGS,02147020,2016-10-05,5.25,5.23,5.26
6,USGS,02147020,2016-10-06,5.24,5.23,5.26
7,USGS,02147020,2016-10-07,5.65,5.23,6.64
8,USGS,02147020,2016-10-08,7.52,6.52,9.09
9,USGS,02147020,2016-10-09,8.12,6.60,9.27
10,USGS,02147020,2016-10-10,5.68,5.46,6.60
11,USGS,02147020,2016-10-11,5.41,5.37,5.46
12,USGS,02147020,2016-10-12,5.35,5.34,5.37
13,USGS,02147020,2016-10-13,5.34,5.31,5.36
14,USGS,02147020,2016-10-14,5.56,5.28,6.50
15,USGS,02147020,2016-10-15,5.67,5.29,6.51
16,USGS,02147020,2016-10-16,5.67,5.28,6.50
17,USGS,02147020,2016-10-17,5.52,5.28,6.18
18,USGS,02147020,2016-10-18,5.29,5.26,5.33
19,USGS,02147020,2016-10-19,5.29,5.27,5.31
20,USGS,02147020,2016-10-20,5.29,5.28,5.30
21,USGS,02147020,2016-10-21,5.28,5.26,5.31
22,USGS,02147020,2016-10-22,5.54,5.25,6.49
23,USGS,02147020,2016-10-23,5.65,5.27,6.49
24,USGS,02147020,2016-10-24,5.40,5.27,6.17
25,USGS,02147020,2016-10-25,5.28,5.26,5.29
26,USGS,02147020,2016-10-26,5.28,5.26,5.29
27,USGS,02147020,2016-10-27,5.29,5.28,5.30
28,USGS,02147020,2016-10-28,5.29,5.28,5.30
29,USGS,02147020,2016-10-29,5.50,5.07,6.52
30,USGS,02147020,2016-10-30,5.67,5.29,6.52
31,USGS,02147020,2016-10-31,5.41,5.28,6.19
32,USGS,02147020,2016-11-01,5.26,5.22,5.32
33,USGS,02147020,2016-11-02,5.18,5.13,5.29
34,USGS,02147020,2016-11-03,5.18,5.15,5.22
35,USGS,02147020,2016-11-04,5.16,5.13,5.18
36,USGS,02147020,2016-11-05,5.17,5.16,5.18
37,USGS,02147020,2016-11-06,5.17,5.09,5.29
38,USGS,02147020,2016-11-07,5.22,5.13,5.50
39,USGS,02147020,2016-11-08,5.15,5.12,5.23
40,USGS,02147020,2016-11-09,5.24,5.17,5.39
41,USGS,02147020,2016-11-10,5.25,5.21,5.33
42,USGS,02147020,2016-11-11,5.24,5.22,5.26
43,USGS,02147020,2016-11-12,5.25,5.23,5.27
44,USGS,02147020,2016-11-13,5.25,5.24,5.27
45,USGS,02147020,2016-11-14,5.24,5.20,5.26
46,USGS,02147020,2016-11-15,5.18,5.14,5.22
47,USGS,02147020,2016-11-16,5.17,5.14,5.19
48,USGS,02147020,2016-11-17,5.17,5.16,5.18
49,USGS,02147020,2016-11-18,5.17,5.14,5.18
50,USGS,02147020,2016-11-19,5.17,5.14,5.20
51,USGS,02147020,2016-11-20,5.18,5.17,5.19
52,USGS,02147020,2016-11-21,5.17,5.14,5.18
53,USGS,02147020,2016-11-22,5.17,5.16,5.18
54,USGS,02147020,2016-11-23,5.17,5.14,5.19
55,USGS,02147020,2016-11-24,5.18,5.17,5.20
56,USGS,02147020,2016-11-25,5.18,5.16,5.19
57,USGS,02147020,2016-11-26,5.17,5.14,5.19
58,USGS,02147020,2016-11-27,5.17,5.16,5.18
59,USGS,02147020,2016-11-28,5.18,5.17,5.23
60,USGS,02147020,2016-11-29,5.21,5.18,5.24
61,USGS,02147020,2016-11-30,5.32,5.24,5.45
62,USGS,02147020,2016-12-01,5.45,5.30,5.69
63,USGS,02147020,2016-12-02,5.22,5.15,5.33
64,USGS,02147020,2016-12-03,5.14,5.12,5.16
65,USGS,02147020,2016-12-04,5.14,5.12,5.19
66,USGS,02147020,2016-12-05,5.52,5.19,5.82
67,USGS,02147020,2016-12-06,5.50,5.36,5.80
68,USGS,02147020,2016-12-07,5.70,5.34,6.01
69,USGS,02147020,2016-12-08,5.24,5.17,5.34
70,USGS,02147020,2016-12-09,5.16,5.13,5.18
71,USGS,02147020,2016-12-10,5.19,5.16,5.22
72,USGS,02147020,2016-12-11,5.20,5.17,5.23
73,USGS,02147020,2016-12-12,5.20,5.18,5.21
74,USGS,02147020,2016-12-13,5.21,5.13,5.44
75,USGS,02147020,2016-12-14,5.14,5.11,5.28
76,USGS,02147020,2016-12-15,5.11,5.09,5.13
77,USGS,02147020,2016-12-16,5.12,5.11,5.13
78,USGS,02147020,2016-12-17,5.12,5.10,5.13
79,USGS,02147020,2016-12-18,5.14,5.11,5.20
80,USGS,02147020,2016-12-19,5.32,5.17,5.41
81,USGS,02147020,2016-12-20,5.24,5.18,5.31
82,USGS,02147020,2016-12-21,5.16,5.15,5.18
83,USGS,02147020,2016-12-22,5.15,5.13,5.16
84,USGS,02147020,2016-12-23,5.13,5.11,5.15
85,USGS,02147020,2016-12-24,5.14,5.13,5.15
86,USGS,02147020,2016-12-25,5.13,5.12,5.14
87,USGS,02147020,2016-12-26,5.12,5.11,5.15
88,USGS,02147020,2016-12-27,5.13,5.11,5.15
89,USGS,02147020,2016-12-28,5.14,5.11,5.20
90,USGS,02147020,2016-12-29,5.84,5.20,6.84
91,USGS,02147020,2016-12-30,5.67,5.30,6.47
92,USGS,02147020,2016-12-31,5.23,5.16,5.30
93,USGS,02147020,2017-01-01,5.17,5.15,5.21
94,USGS,02147020,2017-01-02,6.43,5.21,7.84
95,USGS,02147020,2017-01-03,7.85,7.28,8.33
96,USGS,02147020,2017-01-04,6.04,5.53,7.28
97,USGS,02147020,2017-01-05,5.42,5.34,5.53
98,USGS,02147020,2017-01-06,5.30,5.24,5.48
99,USGS,02147020,2017-01-07,5.92,5.26,6.47
