,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Gage height_Max
0,USGS,02173212,2016-09-30,2.22,2.23,2.24
1,USGS,02173212,2016-10-01,2.19,2.21,2.23
2,USGS,02173212,2016-10-02,2.19,2.20,2.21
3,USGS,02173212,2016-10-03,2.19,2.20,2.21
4,USGS,02173212,2016-10-04,2.19,2.21,2.24
5,USGS,02173212,2016-10-05,2.21,2.22,2.23
6,USGS,02173212,2016-10-06,2.20,2.32,2.85
7,USGS,02173212,2016-10-07,2.32,2.42,2.73
8,USGS,02173212,2016-10-08,2.39,3.80,4.24
9,USGS,02173212,2016-10-09,2.97,3.55,4.17
10,USGS,02173212,2016-10-10,2.63,2.76,2.97
11,USGS,02173212,2016-10-11,2.52,2.56,2.63
12,USGS,02173212,2016-10-12,2.46,2.49,2.52
13,USGS,02173212,2016-10-13,2.43,2.44,2.46
14,USGS,02173212,2016-10-14,2.42,2.43,2.44
15,USGS,02173212,2016-10-15,2.40,2.40,2.43
16,USGS,02173212,2016-10-16,2.36,2.38,2.40
17,USGS,02173212,2016-10-17,2.34,2.36,2.38
18,USGS,02173212,2016-10-18,2.32,2.34,2.36
19,USGS,02173212,2016-10-19,2.30,2.31,2.34
20,USGS,02173212,2016-10-20,2.28,2.30,2.32
21,USGS,02173212,2016-10-21,2.30,2.31,2.33
22,USGS,02173212,2016-10-22,2.26,2.28,2.31
23,USGS,02173212,2016-10-23,2.26,2.27,2.28
24,USGS,02173212,2016-10-24,2.27,2.28,2.28
25,USGS,02173212,2016-10-25,2.26,2.28,2.28
26,USGS,02173212,2016-10-26,2.27,2.27,2.28
27,USGS,02173212,2016-10-27,2.27,2.39,2.67
28,USGS,02173212,2016-10-28,2.34,2.44,2.64
29,USGS,02173212,2016-10-29,2.30,2.32,2.34
30,USGS,02173212,2016-10-30,2.29,2.30,2.32
31,USGS,02173212,2016-10-31,2.29,2.30,2.31
32,USGS,02173212,2016-11-01,2.29,2.30,2.30
33,USGS,02173212,2016-11-02,2.30,2.31,2.31
34,USGS,02173212,2016-11-03,2.30,2.31,2.31
35,USGS,02173212,2016-11-04,2.30,2.31,2.32
36,USGS,02173212,2016-11-05,2.30,2.30,2.31
37,USGS,02173212,2016-11-06,2.29,2.30,2.31
38,USGS,02173212,2016-11-07,2.29,2.30,2.30
39,USGS,02173212,2016-11-08,2.30,2.30,2.30
40,USGS,02173212,2016-11-09,2.30,2.30,2.31
41,USGS,02173212,2016-11-10,2.30,2.30,2.31
42,USGS,02173212,2016-11-11,2.30,2.30,2.31
43,USGS,02173212,2016-11-12,2.30,2.31,2.32
44,USGS,02173212,2016-11-13,2.29,2.34,2.43
45,USGS,02173212,2016-11-14,2.41,2.44,2.47
46,USGS,02173212,2016-11-15,2.35,2.38,2.41
47,USGS,02173212,2016-11-16,2.34,2.35,2.36
48,USGS,02173212,2016-11-17,2.33,2.34,2.34
49,USGS,02173212,2016-11-18,2.32,2.33,2.33
50,USGS,02173212,2016-11-19,2.32,2.33,2.35
51,USGS,02173212,2016-11-20,2.31,2.32,2.34
