,agency_cd,site_no,datetime,Gage height_Mean,Dissolved oxygen_Min,Dissolved oxygen_Mean,"Turbidity, water_Min","Turbidity, water_Max","Turbidity, water_Mean",Gage height_Min,Gage height_Max,Temperature_Mean,Temperature_Min,Dissolved oxygen_Max,Temperature_Max
282,USGS,02162035,2017-07-09,154.44,7.3,8.1,6.5,34.4,10.2,154.34,154.54,29.5,29.0,8.7,29.9
283,USGS,02162035,2017-07-10,154.42,7.3,8.1,6.8,14.0,9.5,154.33,154.48,29.8,29.3,8.9,30.0
284,USGS,02162035,2017-07-11,154.41,7.2,7.9,6.9,39.6,14.3,154.34,154.46,29.5,29.2,8.5,29.8
285,USGS,02162035,2017-07-12,154.37,7.2,8.0,6.9,50.7,13.9,154.13,154.45,30.0,29.6,8.7,30.6
286,USGS,02162035,2017-07-13,154.14,7.8,8.3,9.6,47.5,22.7,154.00,154.38,30.6,30.2,8.5,31.2
287,USGS,02162035,2017-07-14,154.16,7.4,8.0,7.7,15.4,10.2,153.87,154.38,31.1,30.7,8.4,31.7
288,USGS,02162035,2017-07-15,153.85,7.8,8.2,7.2,12.8,8.8,153.75,154.07,31.5,31.0,9.0,32.4
289,USGS,02162035,2017-07-16,154.13,7.1,7.6,6.0,17.3,9.6,154.03,154.46,31.2,30.9,8.2,31.8
290,USGS,02162035,2017-07-17,154.40,7.0,7.8,3.2,28.0,7.3,154.33,154.47,29.9,29.4,8.4,31.0
291,USGS,02162035,2017-07-18,154.50,7.5,8.2,2.7,5.9,4.0,154.38,154.75,29.7,29.4,8.6,30.6
292,USGS,02162035,2017-07-19,154.34,7.1,7.9,2.8,6.5,4.6,154.18,154.58,29.9,29.6,8.9,30.5
293,USGS,02162035,2017-07-20,154.36,7.4,7.9,3.6,5.4,4.4,154.30,154.41,29.9,29.2,8.3,30.7
294,USGS,02162035,2017-07-21,154.36,7.0,7.8,3.9,7.3,5.0,154.31,154.39,30.7,30.5,8.3,31.2
295,USGS,02162035,2017-07-22,154.08,7.1,7.8,3.2,8.5,5.5,153.92,154.37,31.0,30.6,8.4,32.1
296,USGS,02162035,2017-07-23,,6.7,7.6,3.2,8.4,4.9,,,31.5,30.9,8.6,32.1
297,USGS,02162035,2017-07-24,,6.4,6.9,3.0,12.9,6.5,,,30.9,30.3,8.0,31.7
298,USGS,02162035,2017-07-25,,7.0,7.5,2.1,6.3,4.1,,,30.2,29.8,8.3,30.7
299,USGS,02162035,2017-07-26,,6.8,7.6,3.4,6.2,4.8,,,30.4,30.1,8.1,30.7
300,USGS,02162035,2017-07-27,153.98,6.8,7.4,2.3,6.0,4.4,153.90,154.04,30.0,29.6,9.0,30.9
301,USGS,02162035,2017-07-28,153.94,6.8,7.7,2.2,8.0,3.7,153.90,153.97,30.2,29.8,8.8,30.7
302,USGS,02162035,2017-07-29,153.93,6.8,7.4,2.5,7.1,3.7,153.88,153.96,30.5,30.0,8.1,31.0
303,USGS,02162035,2017-07-30,153.92,7.0,7.5,2.1,8.2,4.5,153.88,153.95,30.4,30.0,7.8,30.9
304,USGS,02162035,2017-07-31,153.89,7.4,7.9,1.7,6.1,4.0,153.86,153.92,29.6,29.1,8.5,30.1
305,USGS,02162035,2017-08-01,154.08,7.1,8.0,1.4,5.2,3.2,153.91,154.13,28.9,28.3,8.6,29.3
306,USGS,02162035,2017-08-02,154.04,7.4,8.0,1.9,5.4,3.6,153.82,154.12,28.9,28.5,8.7,29.1
307,USGS,02162035,2017-08-03,153.83,7.3,7.8,1.8,6.4,4.1,153.51,154.15,28.9,28.6,8.2,29.1
308,USGS,02162035,2017-08-04,154.14,6.4,7.4,2.0,7.3,4.1,154.10,154.17,28.7,28.4,8.4,29.1
309,USGS,02162035,2017-08-05,154.02,6.5,7.5,1.6,7.0,3.9,153.91,154.15,28.7,28.4,8.1,29.2
310,USGS,02162035,2017-08-06,154.12,6.3,7.5,0.9,7.1,3.2,154.03,154.15,29.3,28.8,9.2,30.4
311,USGS,02162035,2017-08-07,154.10,6.4,7.3,1.1,8.6,3.5,154.05,154.13,29.5,29.1,8.9,30.3
312,USGS,02162035,2017-08-08,154.11,6.4,7.0,1.0,8.2,4.1,154.06,154.16,29.4,29.1,7.8,29.9
313,USGS,02162035,2017-08-09,154.12,5.9,6.7,3.6,6.1,4.6,154.08,154.26,28.5,27.9,7.7,29.2
314,USGS,02162035,2017-08-10,154.22,6.3,7.1,1.2,5.0,3.4,154.01,154.29,27.7,27.2,8.8,28.4
315,USGS,02162035,2017-08-11,154.08,6.8,7.9,1.2,5.9,2.7,153.83,154.38,28.5,28.0,8.8,29.4
316,USGS,02162035,2017-08-12,154.37,6.4,7.2,1.5,5.6,3.3,154.02,154.48,29.0,28.4,8.6,29.7
317,USGS,02162035,2017-08-13,154.50,6.1,7.5,2.0,5.4,3.3,154.41,154.63,29.9,29.6,8.6,30.3
318,USGS,02162035,2017-08-14,154.68,5.8,7.0,1.8,4.5,3.1,154.53,155.11,29.9,29.5,8.5,30.6
319,USGS,02162035,2017-08-15,154.87,5.5,6.7,2.6,31.7,6.2,154.46,156.16,30.2,29.7,8.5,30.9
320,USGS,02162035,2017-08-16,155.06,4.8,5.8,3.9,19.9,6.2,154.51,155.72,30.1,29.6,7.3,30.8
321,USGS,02162035,2017-08-17,154.77,5.0,5.8,4.6,8.1,6.2,154.44,155.50,30.3,29.8,7.2,31.1
322,USGS,02162035,2017-08-18,154.47,5.3,6.4,2.1,5.6,3.8,154.40,154.52,30.9,30.5,7.5,31.2
323,USGS,02162035,2017-08-19,154.48,5.2,6.3,2.3,9.9,6.8,154.42,154.51,30.9,30.5,7.4,31.3
324,USGS,02162035,2017-08-20,154.22,5.0,6.0,4.4,11.8,8.7,154.07,154.48,30.7,30.3,7.4,31.2
325,USGS,02162035,2017-08-21,154.11,5.7,6.2,3.9,7.3,5.9,154.05,154.14,30.6,30.2,6.9,30.8
326,USGS,02162035,2017-08-22,154.05,5.6,6.1,3.1,6.9,5.2,153.91,154.11,30.5,30.1,6.8,31.2
327,USGS,02162035,2017-08-23,154.06,5.2,6.2,3.1,10.6,4.8,154.00,154.10,30.8,30.3,7.4,31.4
328,USGS,02162035,2017-08-24,154.04,5.2,5.9,2.4,5.7,3.3,153.99,154.06,30.8,30.4,7.3,31.4
329,USGS,02162035,2017-08-25,154.03,4.8,5.6,2.8,9.2,5.0,154.00,154.06,30.0,29.5,6.5,30.6
330,USGS,02162035,2017-08-26,154.02,5.2,5.9,2.2,8.0,4.1,153.98,154.05,29.3,28.8,6.9,29.8
331,USGS,02162035,2017-08-27,154.02,5.5,6.3,1.9,6.6,3.5,153.98,154.04,28.8,28.6,7.1,29.3
332,USGS,02162035,2017-08-28,153.96,5.6,6.4,2.2,5.9,3.9,153.92,154.01,28.1,27.5,7.3,28.6
333,USGS,02162035,2017-08-29,153.76,5.6,6.5,2.7,5.6,3.9,153.55,153.95,27.0,26.3,7.3,27.5
334,USGS,02162035,2017-08-30,153.78,5.5,6.2,1.4,6.0,3.8,153.57,153.95,26.3,26.1,7.6,26.6
335,USGS,02162035,2017-08-31,153.71,5.4,6.4,1.1,6.6,2.2,153.58,153.86,26.5,26.1,8.3,26.8
336,USGS,02162035,2017-09-01,153.92,5.1,5.8,0.9,6.4,2.9,153.74,154.01,26.8,26.5,7.0,27.2
337,USGS,02162035,2017-09-02,153.94,5.5,6.4,0.7,5.7,2.6,153.89,154.00,27.3,26.9,7.7,28.0
338,USGS,02162035,2017-09-03,154.27,5.6,6.7,1.1,5.9,2.5,153.92,154.46,27.5,27.0,7.7,27.8
339,USGS,02162035,2017-09-04,154.35,5.3,6.5,1.7,4.0,2.8,154.10,154.49,27.3,26.8,7.7,27.6
340,USGS,02162035,2017-09-05,153.93,5.8,6.6,1.6,3.6,2.5,153.73,154.10,27.6,27.2,7.7,28.1
341,USGS,02162035,2017-09-06,153.87,5.1,6.2,2.3,4.4,3.3,153.38,154.16,27.7,27.2,6.9,27.9
342,USGS,02162035,2017-09-07,154.40,,,,,,154.13,154.49,,,,
343,USGS,02162035,2017-09-08,154.50,7.2,8.3,1.1,3.9,1.9,154.45,154.58,25.9,25.6,9.2,26.3
344,USGS,02162035,2017-09-09,154.58,7.3,8.4,1.1,3.4,2.1,154.54,154.62,25.6,25.2,9.2,25.9
345,USGS,02162035,2017-09-10,154.56,7.2,8.2,1.4,3.0,2.1,154.52,154.61,24.8,23.9,9.3,25.6
346,USGS,02162035,2017-09-11,154.61,7.5,8.1,1.7,7.0,2.6,154.53,154.78,22.7,21.5,8.8,23.9
347,USGS,02162035,2017-09-12,154.67,7.4,7.8,4.3,27.8,10.2,154.56,154.75,21.6,21.3,8.2,22.1
348,USGS,02162035,2017-09-13,154.63,7.4,8.0,3.9,7.8,6.3,154.55,154.70,22.3,21.6,8.8,23.4
349,USGS,02162035,2017-09-14,154.67,7.2,8.1,2.5,7.7,4.0,154.61,154.94,24.4,23.4,9.0,25.1
350,USGS,02162035,2017-09-15,154.91,6.9,7.8,2.8,12.6,6.7,154.55,155.52,24.2,23.7,8.9,25.0
351,USGS,02162035,2017-09-16,154.48,7.1,8.0,2.8,7.0,4.6,154.43,154.57,25.3,24.8,8.8,25.9
352,USGS,02162035,2017-09-17,154.43,7.0,7.9,2.9,6.7,4.6,154.36,154.49,25.6,25.1,8.8,26.0
353,USGS,02162035,2017-09-18,154.24,7.0,7.8,3.2,4.9,3.9,154.12,154.38,26.0,25.6,8.7,26.6
354,USGS,02162035,2017-09-19,154.10,7.3,7.8,3.3,5.9,4.0,154.06,154.12,26.3,25.8,8.2,27.2
355,USGS,02162035,2017-09-20,154.14,6.9,7.7,2.0,4.7,3.1,154.05,154.29,26.6,26.0,8.7,28.1
356,USGS,02162035,2017-09-21,154.29,7.0,7.5,2.0,3.4,2.6,154.24,154.32,27.2,26.6,8.5,27.7
357,USGS,02162035,2017-09-22,154.30,6.9,7.6,2.1,4.1,2.9,154.26,154.32,27.5,27.2,8.1,27.8
358,USGS,02162035,2017-09-23,154.15,7.3,7.8,1.7,4.2,2.5,154.07,154.30,27.7,27.1,8.3,28.3
359,USGS,02162035,2017-09-24,154.05,7.2,7.7,1.6,4.2,2.7,153.88,154.25,27.5,27.2,8.7,27.7
360,USGS,02162035,2017-09-25,154.13,7.1,7.5,1.6,5.3,3.0,154.02,154.28,27.1,26.6,8.7,27.5
361,USGS,02162035,2017-09-26,154.03,7.4,7.9,1.9,12.5,3.7,153.98,154.06,27.1,26.9,8.6,27.5
362,USGS,02162035,2017-09-27,154.02,7.2,8.0,1.5,20.7,5.5,153.97,154.04,27.5,26.9,8.8,28.2
363,USGS,02162035,2017-09-28,154.00,6.8,7.5,1.3,25.8,6.1,153.91,154.03,27.8,27.3,8.7,28.6
364,USGS,02162035,2017-09-29,153.59,7.0,7.7,1.2,3.6,1.7,153.41,153.91,28.0,27.6,8.3,28.4
365,USGS,02162035,2017-09-30,153.93,6.1,7.0,1.6,4.3,2.7,153.54,154.01,27.6,27.1,8.2,28.1
