,agency_cd,site_no,datetime,Temperature_Max,Temperature_Min,Temperature_Mean,Gage height_Mean,Gage height_Max,Gage height_Min
342,USGS,021108125,2017-09-07,26.1,25.0,25.4,5.37,7.01,3.43
343,USGS,021108125,2017-09-08,25.6,24.4,25.0,5.59,7.11,3.58
344,USGS,021108125,2017-09-09,25.0,23.9,24.4,6.03,7.33,4.18
345,USGS,021108125,2017-09-10,24.2,23.1,23.5,6.41,7.51,4.82
346,USGS,021108125,2017-09-11,23.2,22.1,22.7,7.22,8.49,5.41
347,USGS,021108125,2017-09-12,23.6,22.6,22.9,7.00,8.42,5.27
348,USGS,021108125,2017-09-13,23.7,22.4,23.1,6.14,7.46,4.38
349,USGS,021108125,2017-09-14,24.0,23.2,23.5,6.04,7.39,4.22
350,USGS,021108125,2017-09-15,24.5,23.2,23.9,5.86,7.27,3.83
351,USGS,021108125,2017-09-16,24.9,23.8,24.3,5.87,7.42,3.79
352,USGS,021108125,2017-09-17,25.1,24.3,24.6,6.12,7.56,4.19
353,USGS,021108125,2017-09-18,25.3,24.5,24.8,6.23,7.60,4.42
354,USGS,021108125,2017-09-19,25.5,24.6,25.0,6.23,7.55,4.41
355,USGS,021108125,2017-09-20,26.1,24.8,25.3,6.19,7.45,4.46
356,USGS,021108125,2017-09-21,26.1,25.2,25.5,6.11,7.38,4.42
357,USGS,021108125,2017-09-22,26.2,25.0,25.5,5.99,7.35,4.26
358,USGS,021108125,2017-09-23,25.9,25.2,25.5,5.97,7.25,4.19
359,USGS,021108125,2017-09-24,25.8,25.1,25.5,6.27,7.44,4.60
360,USGS,021108125,2017-09-25,25.5,24.9,25.2,6.38,7.47,5.03
361,USGS,021108125,2017-09-26,25.7,24.6,25.2,6.29,7.37,4.88
362,USGS,021108125,2017-09-27,25.9,24.9,25.5,6.20,7.33,4.58
363,USGS,021108125,2017-09-28,27.4,25.0,25.7,6.15,7.29,4.67
364,USGS,021108125,2017-09-29,26.3,25.4,25.8,5.97,7.14,4.26
365,USGS,021108125,2017-09-30,26.0,25.0,25.5,5.98,7.22,4.33
