,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Gage height_Min
0,USGS,02198375,2016-09-30,4.28,4.04,3.98
1,USGS,02198375,2016-10-01,6.30,5.31,4.28
2,USGS,02198375,2016-10-02,6.47,6.31,5.90
3,USGS,02198375,2016-10-03,5.90,5.24,4.66
4,USGS,02198375,2016-10-04,4.66,4.17,3.79
5,USGS,02198375,2016-10-05,3.79,3.65,3.59
6,USGS,02198375,2016-10-06,3.70,3.61,3.59
7,USGS,02198375,2016-10-07,4.28,3.87,3.70
8,USGS,02198375,2016-10-08,4.99,4.67,4.28
9,USGS,02198375,2016-10-09,6.68,5.80,4.99
10,USGS,02198375,2016-10-10,7.15,7.03,6.68
11,USGS,02198375,2016-10-11,7.14,6.98,6.70
12,USGS,02198375,2016-10-12,6.70,6.32,5.99
13,USGS,02198375,2016-10-13,5.99,5.80,5.59
14,USGS,02198375,2016-10-14,5.59,5.38,5.18
15,USGS,02198375,2016-10-15,5.18,4.97,4.77
16,USGS,02198375,2016-10-16,4.77,4.65,4.56
17,USGS,02198375,2016-10-17,4.57,4.56,4.54
18,USGS,02198375,2016-10-18,4.54,4.39,4.22
19,USGS,02198375,2016-10-19,4.22,4.14,4.05
20,USGS,02198375,2016-10-20,4.05,3.89,3.74
21,USGS,02198375,2016-10-21,3.74,3.66,3.61
22,USGS,02198375,2016-10-22,3.61,3.58,3.56
23,USGS,02198375,2016-10-23,3.58,3.55,3.52
24,USGS,02198375,2016-10-24,3.63,3.60,3.54
25,USGS,02198375,2016-10-25,3.61,3.53,3.44
26,USGS,02198375,2016-10-26,3.45,3.44,3.41
27,USGS,02198375,2016-10-27,3.53,3.44,3.41
28,USGS,02198375,2016-10-28,3.66,3.62,3.53
29,USGS,02198375,2016-10-29,3.69,3.66,3.65
30,USGS,02198375,2016-10-30,3.83,3.74,3.69
31,USGS,02198375,2016-10-31,3.87,3.86,3.83
32,USGS,02198375,2016-11-01,3.85,3.75,3.66
33,USGS,02198375,2016-11-02,3.66,3.57,3.48
34,USGS,02198375,2016-11-03,3.56,3.50,3.48
35,USGS,02198375,2016-11-04,3.58,3.55,3.48
36,USGS,02198375,2016-11-05,3.48,3.42,3.32
37,USGS,02198375,2016-11-06,3.50,3.32,3.26
38,USGS,02198375,2016-11-07,3.82,3.73,3.50
39,USGS,02198375,2016-11-08,3.78,3.52,3.28
40,USGS,02198375,2016-11-09,3.28,3.14,3.04
41,USGS,02198375,2016-11-10,3.04,3.01,3.00
42,USGS,02198375,2016-11-11,3.25,3.15,3.04
43,USGS,02198375,2016-11-12,3.38,3.31,3.25
44,USGS,02198375,2016-11-13,3.49,3.46,3.38
45,USGS,02198375,2016-11-14,3.49,3.42,3.33
46,USGS,02198375,2016-11-15,3.80,3.55,3.33
47,USGS,02198375,2016-11-16,3.82,3.74,3.64
48,USGS,02198375,2016-11-17,3.67,3.62,3.47
49,USGS,02198375,2016-11-18,3.47,3.38,3.34
50,USGS,02198375,2016-11-19,3.46,3.44,3.40
51,USGS,02198375,2016-11-20,3.45,3.38,3.31
52,USGS,02198375,2016-11-21,3.31,3.23,3.14
53,USGS,02198375,2016-11-22,3.14,3.08,3.05
54,USGS,02198375,2016-11-23,3.39,3.20,3.06
55,USGS,02198375,2016-11-24,3.49,3.46,3.39
56,USGS,02198375,2016-11-25,3.45,3.39,3.35
57,USGS,02198375,2016-11-26,3.35,3.32,3.29
58,USGS,02198375,2016-11-27,3.29,3.27,3.27
