,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean
0,USGS,02196485,2016-09-30,6.20,5.74,5.93
1,USGS,02196485,2016-10-01,6.30,5.63,5.85
2,USGS,02196485,2016-10-02,5.95,5.57,5.75
3,USGS,02196485,2016-10-03,5.92,5.47,5.69
4,USGS,02196485,2016-10-04,5.94,5.57,5.80
5,USGS,02196485,2016-10-05,5.94,5.47,5.57
6,USGS,02196485,2016-10-06,6.02,5.43,5.76
7,USGS,02196485,2016-10-07,6.05,5.46,5.66
8,USGS,02196485,2016-10-08,5.73,5.40,5.56
9,USGS,02196485,2016-10-09,5.67,5.58,5.63
10,USGS,02196485,2016-10-10,5.70,5.57,5.64
11,USGS,02196485,2016-10-11,5.69,5.50,5.60
12,USGS,02196485,2016-10-12,5.62,5.48,5.54
13,USGS,02196485,2016-10-13,5.97,5.48,5.86
14,USGS,02196485,2016-10-14,6.03,5.64,5.85
15,USGS,02196485,2016-10-15,5.98,5.91,5.94
16,USGS,02196485,2016-10-16,5.92,5.64,5.75
17,USGS,02196485,2016-10-17,5.64,5.52,5.57
18,USGS,02196485,2016-10-18,5.84,5.53,5.65
19,USGS,02196485,2016-10-19,5.79,5.24,5.48
20,USGS,02196485,2016-10-20,5.54,5.23,5.36
21,USGS,02196485,2016-10-21,5.56,5.41,5.48
22,USGS,02196485,2016-10-22,5.58,5.44,5.50
23,USGS,02196485,2016-10-23,5.58,5.44,5.50
24,USGS,02196485,2016-10-24,5.54,5.44,5.48
25,USGS,02196485,2016-10-25,5.49,5.26,5.38
26,USGS,02196485,2016-10-26,5.54,5.27,5.37
27,USGS,02196485,2016-10-27,5.33,4.60,5.12
28,USGS,02196485,2016-10-28,5.48,5.00,5.27
29,USGS,02196485,2016-10-29,5.33,4.68,5.05
30,USGS,02196485,2016-10-30,5.28,4.75,5.00
31,USGS,02196485,2016-10-31,5.43,4.57,5.02
32,USGS,02196485,2016-11-01,5.34,4.57,4.94
33,USGS,02196485,2016-11-02,5.37,4.78,4.99
34,USGS,02196485,2016-11-03,5.06,4.82,4.92
35,USGS,02196485,2016-11-04,5.15,4.40,4.84
36,USGS,02196485,2016-11-05,4.55,4.35,4.45
37,USGS,02196485,2016-11-06,4.73,4.31,4.52
38,USGS,02196485,2016-11-07,4.64,4.26,4.50
39,USGS,02196485,2016-11-08,4.64,4.27,4.50
40,USGS,02196485,2016-11-09,4.74,4.63,4.70
41,USGS,02196485,2016-11-10,5.10,4.69,4.84
42,USGS,02196485,2016-11-11,5.00,4.58,4.80
43,USGS,02196485,2016-11-12,5.04,4.79,4.90
44,USGS,02196485,2016-11-13,5.03,4.85,4.94
45,USGS,02196485,2016-11-14,5.24,4.57,4.83
46,USGS,02196485,2016-11-15,5.37,5.08,5.25
47,USGS,02196485,2016-11-16,5.61,5.21,5.49
48,USGS,02196485,2016-11-17,5.59,5.47,5.55
49,USGS,02196485,2016-11-18,5.71,5.43,5.55
50,USGS,02196485,2016-11-19,5.88,5.70,5.80
51,USGS,02196485,2016-11-20,5.96,5.39,5.68
52,USGS,02196485,2016-11-21,5.98,5.67,5.82
53,USGS,02196485,2016-11-22,5.81,5.67,5.75
54,USGS,02196485,2016-11-23,5.94,5.80,5.86
55,USGS,02196485,2016-11-24,5.97,5.79,5.86
56,USGS,02196485,2016-11-25,5.84,5.62,5.73
57,USGS,02196485,2016-11-26,5.84,5.68,5.76
58,USGS,02196485,2016-11-27,5.78,5.61,5.70
59,USGS,02196485,2016-11-28,5.77,5.59,5.71
60,USGS,02196485,2016-11-29,5.90,5.39,5.69
61,USGS,02196485,2016-11-30,5.79,5.38,5.62
62,USGS,02196485,2016-12-01,5.80,5.47,5.58
63,USGS,02196485,2016-12-02,5.75,5.58,5.67
64,USGS,02196485,2016-12-03,5.71,5.48,5.58
65,USGS,02196485,2016-12-04,5.75,5.45,5.63
66,USGS,02196485,2016-12-05,5.86,5.24,5.55
67,USGS,02196485,2016-12-06,5.85,4.91,5.46
68,USGS,02196485,2016-12-07,5.66,5.43,5.60
69,USGS,02196485,2016-12-08,5.63,5.49,5.56
70,USGS,02196485,2016-12-09,5.82,5.52,5.70
71,USGS,02196485,2016-12-10,5.81,5.64,5.72
72,USGS,02196485,2016-12-11,5.65,5.48,5.57
73,USGS,02196485,2016-12-12,5.78,5.46,5.69
74,USGS,02196485,2016-12-13,6.24,5.70,5.91
75,USGS,02196485,2016-12-14,5.77,5.50,5.62
76,USGS,02196485,2016-12-15,5.94,5.71,5.82
77,USGS,02196485,2016-12-16,5.97,5.73,5.84
78,USGS,02196485,2016-12-17,5.75,5.61,5.69
79,USGS,02196485,2016-12-18,5.77,5.64,5.71
80,USGS,02196485,2016-12-19,5.94,5.51,5.73
81,USGS,02196485,2016-12-20,5.84,5.58,5.76
82,USGS,02196485,2016-12-21,5.86,5.77,5.82
83,USGS,02196485,2016-12-22,5.79,5.66,5.72
84,USGS,02196485,2016-12-23,5.76,5.64,5.70
85,USGS,02196485,2016-12-24,5.84,5.73,5.78
86,USGS,02196485,2016-12-25,5.76,5.64,5.70
87,USGS,02196485,2016-12-26,5.83,5.61,5.71
88,USGS,02196485,2016-12-27,5.86,5.59,5.67
89,USGS,02196485,2016-12-28,6.21,5.67,5.92
90,USGS,02196485,2016-12-29,5.97,5.50,5.77
91,USGS,02196485,2016-12-30,6.02,5.49,5.80
92,USGS,02196485,2016-12-31,5.91,5.69,5.82
93,USGS,02196485,2017-01-01,5.84,5.46,5.65
94,USGS,02196485,2017-01-02,6.22,4.21,5.18
95,USGS,02196485,2017-01-03,5.41,4.21,4.74
96,USGS,02196485,2017-01-04,5.46,4.79,5.15
97,USGS,02196485,2017-01-05,5.41,4.78,5.17
98,USGS,02196485,2017-01-06,5.46,4.89,5.15
99,USGS,02196485,2017-01-07,5.45,4.69,5.08
100,USGS,02196485,2017-01-08,5.30,5.13,5.22
101,USGS,02196485,2017-01-09,5.32,5.10,5.20
102,USGS,02196485,2017-01-10,5.50,5.32,5.45
103,USGS,02196485,2017-01-11,5.55,5.24,5.34
104,USGS,02196485,2017-01-12,5.41,5.21,5.30
105,USGS,02196485,2017-01-13,5.50,5.32,5.40
106,USGS,02196485,2017-01-14,5.41,5.11,5.23
107,USGS,02196485,2017-01-15,5.33,5.21,5.26
108,USGS,02196485,2017-01-16,5.42,5.23,5.35
109,USGS,02196485,2017-01-17,5.42,5.14,5.23
110,USGS,02196485,2017-01-18,5.45,5.15,5.29
111,USGS,02196485,2017-01-19,5.49,5.28,5.38
112,USGS,02196485,2017-01-20,5.52,5.27,5.39
113,USGS,02196485,2017-01-21,5.42,5.04,5.21
114,USGS,02196485,2017-01-22,5.52,4.64,4.96
115,USGS,02196485,2017-01-23,5.45,4.22,5.00
116,USGS,02196485,2017-01-24,5.56,5.14,5.27
117,USGS,02196485,2017-01-25,5.80,5.38,5.56
118,USGS,02196485,2017-01-26,5.63,5.43,5.52
119,USGS,02196485,2017-01-27,5.67,5.55,5.60
120,USGS,02196485,2017-01-28,5.62,5.40,5.49
121,USGS,02196485,2017-01-29,5.50,5.35,5.45
122,USGS,02196485,2017-01-30,5.59,5.30,5.44
123,USGS,02196485,2017-01-31,5.64,5.38,5.53
124,USGS,02196485,2017-02-01,5.57,5.36,5.50
125,USGS,02196485,2017-02-02,5.52,4.21,4.89
126,USGS,02196485,2017-02-03,5.28,4.59,5.05
127,USGS,02196485,2017-02-04,5.26,5.18,5.21
128,USGS,02196485,2017-02-05,5.25,5.14,5.20
129,USGS,02196485,2017-02-06,5.39,5.11,5.20
130,USGS,02196485,2017-02-07,5.34,4.88,5.20
131,USGS,02196485,2017-02-08,5.36,4.77,5.07
132,USGS,02196485,2017-02-09,5.45,4.37,4.87
133,USGS,02196485,2017-02-10,5.35,4.96,5.17
134,USGS,02196485,2017-02-11,5.28,5.16,5.22
135,USGS,02196485,2017-02-12,5.28,5.13,5.22
136,USGS,02196485,2017-02-13,5.16,5.07,5.12
137,USGS,02196485,2017-02-14,5.78,5.10,5.40
