,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Gage height_Min
0,USGS,021564493,2016-09-30,306.36,306.10,305.63
1,USGS,021564493,2016-10-01,306.24,306.04,305.63
2,USGS,021564493,2016-10-02,306.01,305.89,305.70
3,USGS,021564493,2016-10-03,306.22,305.85,305.34
4,USGS,021564493,2016-10-04,306.16,305.88,305.36
5,USGS,021564493,2016-10-05,306.21,305.84,305.49
6,USGS,021564493,2016-10-06,306.40,305.82,305.03
7,USGS,021564493,2016-10-07,306.40,305.96,305.40
8,USGS,021564493,2016-10-08,306.03,306.00,305.98
9,USGS,021564493,2016-10-09,306.02,306.00,305.99
10,USGS,021564493,2016-10-10,306.00,305.99,305.98
11,USGS,021564493,2016-10-11,305.99,305.98,305.97
12,USGS,021564493,2016-10-12,306.19,306.00,305.30
13,USGS,021564493,2016-10-13,307.17,306.08,305.36
14,USGS,021564493,2016-10-14,305.93,305.75,305.52
15,USGS,021564493,2016-10-15,305.98,305.73,305.48
16,USGS,021564493,2016-10-16,305.96,305.80,305.56
17,USGS,021564493,2016-10-17,305.95,305.88,305.85
18,USGS,021564493,2016-10-18,305.97,305.87,305.53
19,USGS,021564493,2016-10-19,305.90,305.88,305.85
20,USGS,021564493,2016-10-20,306.00,305.86,305.48
21,USGS,021564493,2016-10-21,305.99,305.71,305.44
22,USGS,021564493,2016-10-22,305.70,305.62,305.52
23,USGS,021564493,2016-10-23,306.01,305.83,305.62
24,USGS,021564493,2016-10-24,306.03,305.87,305.51
25,USGS,021564493,2016-10-25,305.93,305.86,305.66
26,USGS,021564493,2016-10-26,305.89,305.71,305.47
27,USGS,021564493,2016-10-27,305.99,305.82,305.49
28,USGS,021564493,2016-10-28,306.00,305.87,305.72
29,USGS,021564493,2016-10-29,305.93,305.70,305.50
30,USGS,021564493,2016-10-30,306.03,305.80,305.48
31,USGS,021564493,2016-10-31,305.97,305.74,305.34
32,USGS,021564493,2016-11-01,306.02,305.73,305.49
33,USGS,021564493,2016-11-02,306.20,305.92,305.50
34,USGS,021564493,2016-11-03,306.07,305.83,305.25
35,USGS,021564493,2016-11-04,306.25,305.84,305.04
36,USGS,021564493,2016-11-05,305.86,305.67,305.38
37,USGS,021564493,2016-11-06,306.00,305.84,305.70
38,USGS,021564493,2016-11-07,305.94,305.80,305.54
39,USGS,021564493,2016-11-08,305.96,305.88,305.77
40,USGS,021564493,2016-11-09,306.20,305.84,305.70
41,USGS,021564493,2016-11-10,305.99,305.52,304.99
42,USGS,021564493,2016-11-11,305.89,305.75,305.49
43,USGS,021564493,2016-11-12,305.90,305.76,305.58
44,USGS,021564493,2016-11-13,305.90,305.88,305.86
45,USGS,021564493,2016-11-14,305.98,305.91,305.86
46,USGS,021564493,2016-11-15,305.90,305.89,305.83
47,USGS,021564493,2016-11-16,306.45,305.93,305.82
48,USGS,021564493,2016-11-17,306.26,305.71,305.38
49,USGS,021564493,2016-11-18,305.90,305.80,305.68
50,USGS,021564493,2016-11-19,305.90,305.82,305.75
51,USGS,021564493,2016-11-20,305.93,305.78,305.66
52,USGS,021564493,2016-11-21,305.95,305.90,305.86
53,USGS,021564493,2016-11-22,305.93,305.91,305.88
54,USGS,021564493,2016-11-23,305.91,305.83,305.73
55,USGS,021564493,2016-11-24,305.90,305.75,305.64
56,USGS,021564493,2016-11-25,306.22,305.97,305.87
57,USGS,021564493,2016-11-26,306.22,305.95,305.84
58,USGS,021564493,2016-11-27,305.91,305.90,305.87
59,USGS,021564493,2016-11-28,306.00,305.91,305.86
60,USGS,021564493,2016-11-29,306.07,305.96,305.90
61,USGS,021564493,2016-11-30,306.65,306.01,305.91
62,USGS,021564493,2016-12-01,307.70,306.67,306.05
63,USGS,021564493,2016-12-02,306.79,306.72,306.58
64,USGS,021564493,2016-12-03,306.77,306.70,306.66
65,USGS,021564493,2016-12-04,306.71,306.51,306.41
