,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Gage height_Max
0,USGS,02130910,2016-09-30,3.40,3.46,3.50
1,USGS,02130910,2016-10-01,3.32,3.38,3.43
2,USGS,02130910,2016-10-02,3.28,3.33,3.37
3,USGS,02130910,2016-10-03,3.16,3.23,3.29
4,USGS,02130910,2016-10-04,3.03,3.11,3.17
5,USGS,02130910,2016-10-05,2.90,3.01,3.36
6,USGS,02130910,2016-10-06,2.74,2.86,3.37
7,USGS,02130910,2016-10-07,2.74,2.92,3.14
8,USGS,02130910,2016-10-08,3.14,6.93,8.05
9,USGS,02130910,2016-10-09,8.01,8.45,8.64
10,USGS,02130910,2016-10-10,7.80,8.10,8.50
11,USGS,02130910,2016-10-11,7.94,8.06,8.09
12,USGS,02130910,2016-10-12,6.84,7.09,7.96
13,USGS,02130910,2016-10-13,5.70,6.14,6.85
14,USGS,02130910,2016-10-14,5.69,5.72,5.75
15,USGS,02130910,2016-10-15,5.54,5.62,5.70
16,USGS,02130910,2016-10-16,5.35,5.45,5.54
17,USGS,02130910,2016-10-17,5.17,5.26,5.36
18,USGS,02130910,2016-10-18,5.09,5.17,5.22
19,USGS,02130910,2016-10-19,5.00,5.08,5.17
20,USGS,02130910,2016-10-20,4.79,4.90,5.00
21,USGS,02130910,2016-10-21,4.63,4.73,4.79
22,USGS,02130910,2016-10-22,4.33,4.50,4.63
23,USGS,02130910,2016-10-23,4.15,4.24,4.34
24,USGS,02130910,2016-10-24,4.04,4.09,4.15
25,USGS,02130910,2016-10-25,3.92,4.00,4.10
26,USGS,02130910,2016-10-26,3.81,3.86,3.92
27,USGS,02130910,2016-10-27,3.70,3.75,3.81
28,USGS,02130910,2016-10-28,3.70,3.73,3.77
29,USGS,02130910,2016-10-29,3.62,3.67,3.72
30,USGS,02130910,2016-10-30,3.60,3.63,3.64
31,USGS,02130910,2016-10-31,3.56,3.61,3.66
32,USGS,02130910,2016-11-01,3.53,3.55,3.58
33,USGS,02130910,2016-11-02,3.50,3.55,4.11
34,USGS,02130910,2016-11-03,3.50,3.51,3.53
35,USGS,02130910,2016-11-04,3.50,3.58,3.71
36,USGS,02130910,2016-11-05,3.40,3.46,3.51
37,USGS,02130910,2016-11-06,3.37,3.39,3.42
38,USGS,02130910,2016-11-07,3.35,3.38,3.40
