,agency_cd,site_no,datetime,Dissolved oxygen_Max,Gage height_Mean,Dissolved oxygen_Min,Temperature_Max,Temperature_Min,Gage height_Min,Gage height_Max,Dissolved oxygen_Mean,Temperature_Mean
346,USGS,02156500,2017-09-11,8.2,3.35,7.8,21.3,19.3,2.74,3.59,8.0,20.2
347,USGS,02156500,2017-09-12,,3.30,,20.6,0.2,2.86,3.62,,16.8
348,USGS,02156500,2017-09-13,8.3,4.16,8.0,21.2,19.6,3.55,4.85,8.1,20.4
349,USGS,02156500,2017-09-14,8.2,4.53,7.9,21.3,20.3,4.06,4.80,8.0,20.8
350,USGS,02156500,2017-09-15,8.3,3.44,7.7,22.4,20.6,3.33,4.06,8.0,21.5
351,USGS,02156500,2017-09-16,8.2,3.36,7.6,23.8,21.7,3.33,3.39,7.8,22.7
352,USGS,02156500,2017-09-17,8.0,3.22,7.5,24.8,22.6,2.86,3.37,7.6,23.7
353,USGS,02156500,2017-09-18,8.1,2.84,7.3,25.9,22.9,2.64,2.94,7.6,24.5
354,USGS,02156500,2017-09-19,7.9,2.78,7.2,25.8,23.8,2.64,2.93,7.5,25.0
355,USGS,02156500,2017-09-20,7.9,3.01,7.0,26.7,24.3,2.76,3.44,7.4,25.6
356,USGS,02156500,2017-09-21,7.9,3.01,6.9,27.2,24.8,2.68,3.40,7.3,26.2
357,USGS,02156500,2017-09-22,8.1,2.66,6.9,27.5,25.1,2.55,2.71,7.4,26.5
358,USGS,02156500,2017-09-23,8.1,2.67,6.9,27.4,25.1,2.61,2.70,7.4,26.4
359,USGS,02156500,2017-09-24,8.1,2.68,6.9,26.9,25.1,2.64,2.70,7.4,26.2
360,USGS,02156500,2017-09-25,8.3,2.63,7.0,26.8,25.1,2.36,2.72,7.7,26.0
361,USGS,02156500,2017-09-26,8.5,2.61,7.0,27.4,24.8,2.29,2.69,7.7,26.2
362,USGS,02156500,2017-09-27,8.6,2.61,7.1,27.5,25.1,2.46,2.66,7.8,26.5
363,USGS,02156500,2017-09-28,8.8,2.43,7.0,27.8,25.2,2.05,2.64,7.8,26.7
364,USGS,02156500,2017-09-29,8.9,2.46,6.9,27.1,25.3,2.05,2.63,7.9,26.3
365,USGS,02156500,2017-09-30,8.8,2.61,7.1,26.3,24.6,2.53,2.66,7.9,25.4
