,agency_cd,site_no,datetime,Temperature_Min,Dissolved oxygen_Min,Gage height_Min,Gage height_Mean,Temperature_Max,Temperature_Mean,Gage height_Max,Dissolved oxygen_Mean,Dissolved oxygen_Max
311,USGS,02110815,2017-08-07,28.3,4.8,13.76,15.82,29.0,28.6,17.76,5.3,5.7
312,USGS,02110815,2017-08-08,28.3,5.0,13.43,15.56,28.6,28.4,17.66,5.4,5.6
313,USGS,02110815,2017-08-09,28.0,4.9,13.71,15.84,28.3,28.1,18.04,5.3,5.5
314,USGS,02110815,2017-08-10,27.7,4.8,14.06,16.15,28.0,27.8,17.98,5.1,5.5
315,USGS,02110815,2017-08-11,27.5,4.7,14.09,16.07,28.4,28.0,17.98,5.0,5.2
316,USGS,02110815,2017-08-12,27.9,4.6,13.93,15.93,29.1,28.4,17.83,5.0,5.3
317,USGS,02110815,2017-08-13,28.3,4.6,13.55,15.69,29.0,28.7,17.56,5.0,5.2
318,USGS,02110815,2017-08-14,28.5,4.5,13.61,15.88,29.0,28.8,17.77,4.8,5.0
319,USGS,02110815,2017-08-15,28.6,4.4,13.86,16.16,29.7,29.0,18.06,4.7,5.0
320,USGS,02110815,2017-08-16,29.0,4.2,13.76,16.15,29.7,29.3,18.14,4.6,4.9
321,USGS,02110815,2017-08-17,29.2,4.1,13.97,16.31,30.0,29.5,18.24,4.4,4.8
322,USGS,02110815,2017-08-18,29.4,3.9,13.81,16.27,30.2,29.8,18.28,4.4,4.8
323,USGS,02110815,2017-08-19,29.8,3.9,13.52,16.02,30.4,30.1,18.20,4.3,4.6
324,USGS,02110815,2017-08-20,29.9,3.7,13.64,16.09,30.7,30.3,18.34,4.2,4.4
325,USGS,02110815,2017-08-21,30.1,3.7,13.74,16.15,30.6,30.4,18.25,4.0,4.1
326,USGS,02110815,2017-08-22,30.1,3.8,13.92,16.15,30.5,30.3,18.21,4.1,4.4
327,USGS,02110815,2017-08-23,29.8,4.0,13.89,16.06,30.8,30.3,18.05,4.4,4.7
328,USGS,02110815,2017-08-24,29.4,4.2,14.12,16.34,30.4,29.8,18.21,4.8,5.2
329,USGS,02110815,2017-08-25,29.0,3.8,14.35,16.56,29.7,29.4,18.22,4.4,4.8
330,USGS,02110815,2017-08-26,28.6,3.9,14.75,16.80,29.4,29.0,18.30,4.4,4.7
331,USGS,02110815,2017-08-27,28.0,4.3,15.34,17.15,28.8,28.4,18.54,4.7,5.2
332,USGS,02110815,2017-08-28,26.6,4.4,15.52,17.25,28.0,27.4,18.67,5.2,5.6
333,USGS,02110815,2017-08-29,25.9,4.4,15.08,16.79,26.9,26.5,18.31,5.1,5.6
334,USGS,02110815,2017-08-30,25.5,4.0,15.14,16.85,26.2,25.8,18.31,4.4,4.8
335,USGS,02110815,2017-08-31,25.5,3.6,14.95,16.76,26.2,25.8,18.25,4.0,4.2
336,USGS,02110815,2017-09-01,25.7,3.6,14.57,16.48,26.4,25.9,18.07,3.9,4.2
337,USGS,02110815,2017-09-02,25.7,3.8,14.37,16.45,26.2,26.0,18.22,4.0,4.3
338,USGS,02110815,2017-09-03,25.8,3.8,14.27,16.35,26.3,26.0,18.03,4.0,4.3
339,USGS,02110815,2017-09-04,25.8,3.8,14.29,16.34,26.4,26.1,18.29,4.1,4.2
340,USGS,02110815,2017-09-05,26.0,3.8,14.30,16.40,26.6,26.3,18.18,4.0,4.3
341,USGS,02110815,2017-09-06,25.9,3.8,14.18,16.24,26.4,26.1,17.97,4.0,4.2
342,USGS,02110815,2017-09-07,25.5,3.6,14.11,16.22,26.1,25.8,18.16,4.0,4.2
343,USGS,02110815,2017-09-08,25.1,3.6,14.25,16.44,25.8,25.5,18.29,3.9,4.1
344,USGS,02110815,2017-09-09,24.5,3.9,14.85,16.91,25.5,24.9,18.54,4.3,4.7
345,USGS,02110815,2017-09-10,23.5,4.5,15.47,17.29,24.7,24.0,18.72,4.9,5.4
346,USGS,02110815,2017-09-11,22.9,5.0,16.11,18.27,23.6,23.2,19.85,5.9,6.9
347,USGS,02110815,2017-09-12,23.0,4.4,15.65,17.66,23.8,23.3,19.52,5.4,6.7
348,USGS,02110815,2017-09-13,23.0,4.0,14.90,16.85,23.8,23.4,18.58,4.4,4.6
349,USGS,02110815,2017-09-14,23.4,3.5,14.79,16.81,24.0,23.6,18.53,3.8,4.2
350,USGS,02110815,2017-09-15,23.6,3.2,14.41,16.64,24.3,23.9,18.41,3.5,3.6
351,USGS,02110815,2017-09-16,24.0,3.1,14.40,16.69,24.7,24.4,18.59,3.3,3.4
352,USGS,02110815,2017-09-17,24.4,3.1,14.82,16.95,25.1,24.7,18.78,3.4,3.6
353,USGS,02110815,2017-09-18,24.6,3.0,14.98,17.05,25.4,25.0,18.81,3.3,3.4
354,USGS,02110815,2017-09-19,24.9,3.0,14.96,17.03,25.8,25.3,18.76,3.2,3.3
355,USGS,02110815,2017-09-20,25.0,2.9,15.00,16.99,26.1,25.5,18.64,3.1,3.2
356,USGS,02110815,2017-09-21,25.4,2.6,14.98,16.91,26.3,25.8,18.54,3.0,3.1
357,USGS,02110815,2017-09-22,25.4,2.7,14.86,16.80,26.3,25.8,18.51,3.0,3.1
358,USGS,02110815,2017-09-23,25.5,2.7,14.83,16.80,26.4,25.9,18.41,2.9,3.1
359,USGS,02110815,2017-09-24,25.5,2.7,15.27,17.16,26.2,25.9,18.62,3.1,3.4
360,USGS,02110815,2017-09-25,25.2,2.7,15.71,17.25,25.9,25.5,18.62,3.1,3.4
361,USGS,02110815,2017-09-26,24.9,2.8,15.58,17.17,26.0,25.4,18.52,3.2,3.4
362,USGS,02110815,2017-09-27,25.2,2.8,15.31,17.10,26.2,25.7,18.50,3.2,3.5
363,USGS,02110815,2017-09-28,25.4,2.7,15.46,17.06,26.5,25.9,18.47,3.0,3.2
364,USGS,02110815,2017-09-29,25.8,2.4,15.07,16.89,26.3,26.0,18.28,2.8,3.2
365,USGS,02110815,2017-09-30,25.2,2.7,15.16,16.93,26.1,25.7,18.41,3.3,3.7
