,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Gage height_Max
0,USGS,02160325,2016-09-30,1.33,1.34,1.35
1,USGS,02160325,2016-10-01,1.33,1.35,1.36
2,USGS,02160325,2016-10-02,1.34,1.35,1.37
3,USGS,02160325,2016-10-03,1.34,1.35,1.36
4,USGS,02160325,2016-10-04,1.33,1.34,1.35
5,USGS,02160325,2016-10-05,1.33,1.34,1.35
6,USGS,02160325,2016-10-06,1.33,1.34,1.35
7,USGS,02160325,2016-10-07,1.33,1.43,1.60
8,USGS,02160325,2016-10-08,1.34,1.39,1.48
9,USGS,02160325,2016-10-09,1.33,1.34,1.36
10,USGS,02160325,2016-10-10,1.32,1.34,1.35
11,USGS,02160325,2016-10-11,1.32,1.34,1.35
12,USGS,02160325,2016-10-12,1.33,1.34,1.35
13,USGS,02160325,2016-10-13,1.33,1.34,1.35
14,USGS,02160325,2016-10-14,1.33,1.34,1.35
15,USGS,02160325,2016-10-15,1.34,1.36,1.37
16,USGS,02160325,2016-10-16,1.35,1.36,1.37
17,USGS,02160325,2016-10-17,1.34,1.36,1.37
18,USGS,02160325,2016-10-18,1.33,1.35,1.36
19,USGS,02160325,2016-10-19,1.32,1.34,1.35
20,USGS,02160325,2016-10-20,1.33,1.35,1.36
21,USGS,02160325,2016-10-21,1.33,1.35,1.36
22,USGS,02160325,2016-10-22,1.32,1.34,1.35
23,USGS,02160325,2016-10-23,1.34,1.36,1.36
24,USGS,02160325,2016-10-24,1.34,1.36,1.37
25,USGS,02160325,2016-10-25,1.34,1.36,1.39
26,USGS,02160325,2016-10-26,1.36,1.37,1.39
27,USGS,02160325,2016-10-27,1.36,1.38,1.39
28,USGS,02160325,2016-10-28,1.36,1.38,1.39
29,USGS,02160325,2016-10-29,1.36,1.38,1.39
30,USGS,02160325,2016-10-30,1.34,1.38,1.48
31,USGS,02160325,2016-10-31,1.33,1.35,1.37
32,USGS,02160325,2016-11-01,1.33,1.37,1.63
33,USGS,02160325,2016-11-02,1.33,1.36,1.38
34,USGS,02160325,2016-11-03,1.33,1.38,1.41
35,USGS,02160325,2016-11-04,1.31,1.36,1.38
36,USGS,02160325,2016-11-05,1.35,1.37,1.40
37,USGS,02160325,2016-11-06,1.35,1.39,1.40
38,USGS,02160325,2016-11-07,1.37,1.39,1.40
39,USGS,02160325,2016-11-08,1.38,1.40,1.43
40,USGS,02160325,2016-11-09,1.38,1.40,1.47
41,USGS,02160325,2016-11-10,1.34,1.38,1.40
42,USGS,02160325,2016-11-11,1.33,1.39,1.40
43,USGS,02160325,2016-11-12,1.37,1.40,1.45
44,USGS,02160325,2016-11-13,1.39,1.43,1.52
45,USGS,02160325,2016-11-14,1.40,1.43,1.47
46,USGS,02160325,2016-11-15,1.39,1.41,1.43
47,USGS,02160325,2016-11-16,1.40,1.42,1.43
48,USGS,02160325,2016-11-17,1.41,1.42,1.43
49,USGS,02160325,2016-11-18,1.41,1.42,1.43
50,USGS,02160325,2016-11-19,1.39,1.46,1.66
51,USGS,02160325,2016-11-20,1.38,1.40,1.46
52,USGS,02160325,2016-11-21,1.37,1.39,1.42
53,USGS,02160325,2016-11-22,1.36,1.40,1.45
54,USGS,02160325,2016-11-23,1.36,1.40,1.42
55,USGS,02160325,2016-11-24,1.40,1.42,1.44
56,USGS,02160325,2016-11-25,1.42,1.43,1.44
57,USGS,02160325,2016-11-26,1.42,1.44,1.50
58,USGS,02160325,2016-11-27,1.42,1.43,1.43
59,USGS,02160325,2016-11-28,1.41,1.45,1.48
60,USGS,02160325,2016-11-29,1.46,2.06,3.24
61,USGS,02160325,2016-11-30,1.53,1.97,3.89
62,USGS,02160325,2016-12-01,1.50,1.62,1.95
63,USGS,02160325,2016-12-02,1.40,1.47,1.50
64,USGS,02160325,2016-12-03,1.41,1.44,1.45
65,USGS,02160325,2016-12-04,1.44,1.78,2.11
66,USGS,02160325,2016-12-05,1.55,1.68,2.11
67,USGS,02160325,2016-12-06,1.64,1.92,2.34
