,agency_cd,site_no,datetime,Precipitation,Gage height,Gage height,Temperature_Mean,Temperature_Min,Temperature_Max
345,USGS,021989784,2017-09-10,0.39,-1.29,5.31,23.3,22.2,24.9
346,USGS,021989784,2017-09-11,1.77,1.62,7.30,22.5,21.4,23.3
347,USGS,021989784,2017-09-12,0.00,-2.34,5.09,22.6,22.0,23.2
348,USGS,021989784,2017-09-13,0.00,-3.06,4.85,22.8,22.0,23.3
349,USGS,021989784,2017-09-14,0.00,-3.37,4.83,23.5,22.7,24.2
350,USGS,021989784,2017-09-15,0.00,-3.67,4.88,24.1,23.4,24.9
351,USGS,021989784,2017-09-16,0.00,-3.69,5.03,24.6,23.8,25.6
352,USGS,021989784,2017-09-17,0.00,-3.08,5.30,24.9,24.4,26.0
353,USGS,021989784,2017-09-18,0.00,-2.99,5.31,25.1,24.4,26.1
354,USGS,021989784,2017-09-19,0.00,-3.02,5.23,25.4,24.7,26.4
355,USGS,021989784,2017-09-20,0.02,-3.20,5.02,25.7,25.0,26.8
356,USGS,021989784,2017-09-21,0.00,-3.12,4.86,26.0,25.1,27.0
357,USGS,021989784,2017-09-22,0.00,-2.95,4.70,26.1,25.3,27.1
358,USGS,021989784,2017-09-23,0.00,-2.66,4.65,26.0,25.3,26.7
359,USGS,021989784,2017-09-24,0.01,-2.47,4.64,25.9,25.1,26.3
360,USGS,021989784,2017-09-25,0.00,-1.93,4.75,26.0,25.2,26.5
361,USGS,021989784,2017-09-26,0.00,-1.86,4.48,26.1,25.2,27.2
362,USGS,021989784,2017-09-27,0.00,-2.01,4.51,26.6,25.7,27.2
363,USGS,021989784,2017-09-28,0.00,-1.88,4.36,27.1,26.3,27.8
364,USGS,021989784,2017-09-29,0.00,-2.27,4.25,27.5,26.9,28.0
365,USGS,021989784,2017-09-30,0.00,-2.01,4.67,27.3,26.4,27.7
