,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,02160390,2016-09-30,0.95,0.92,0.97
1,USGS,02160390,2016-10-01,0.90,0.87,0.94
2,USGS,02160390,2016-10-02,0.89,0.88,0.90
3,USGS,02160390,2016-10-03,0.89,0.87,0.90
4,USGS,02160390,2016-10-04,0.89,0.87,0.92
5,USGS,02160390,2016-10-05,0.89,0.84,0.93
6,USGS,02160390,2016-10-06,0.87,0.85,0.89
7,USGS,02160390,2016-10-07,0.89,0.82,0.96
8,USGS,02160390,2016-10-08,1.15,0.94,1.42
9,USGS,02160390,2016-10-09,1.24,1.09,1.38
10,USGS,02160390,2016-10-10,1.02,0.97,1.09
11,USGS,02160390,2016-10-11,0.96,0.94,0.97
12,USGS,02160390,2016-10-12,0.94,0.92,0.96
13,USGS,02160390,2016-10-13,0.93,0.91,0.97
14,USGS,02160390,2016-10-14,0.92,0.89,0.94
15,USGS,02160390,2016-10-15,0.90,0.88,0.92
16,USGS,02160390,2016-10-16,0.91,0.89,0.92
17,USGS,02160390,2016-10-17,0.92,0.89,0.94
18,USGS,02160390,2016-10-18,0.93,0.90,0.94
19,USGS,02160390,2016-10-19,0.91,0.88,0.94
20,USGS,02160390,2016-10-20,0.88,0.87,0.90
21,USGS,02160390,2016-10-21,0.87,0.86,0.89
22,USGS,02160390,2016-10-22,0.85,0.83,0.87
23,USGS,02160390,2016-10-23,0.83,0.80,0.84
24,USGS,02160390,2016-10-24,0.86,0.83,0.88
25,USGS,02160390,2016-10-25,0.88,0.85,0.90
26,USGS,02160390,2016-10-26,0.89,0.88,0.91
27,USGS,02160390,2016-10-27,0.91,0.89,0.93
28,USGS,02160390,2016-10-28,0.91,0.90,0.93
29,USGS,02160390,2016-10-29,0.92,0.90,0.93
30,USGS,02160390,2016-10-30,0.92,0.90,0.93
31,USGS,02160390,2016-10-31,0.91,0.89,0.92
32,USGS,02160390,2016-11-01,0.92,0.90,0.93
