,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,02147500,2016-09-30,2.92,2.79,3.09
1,USGS,02147500,2016-10-01,2.71,2.66,2.79
2,USGS,02147500,2016-10-02,2.64,2.62,2.66
3,USGS,02147500,2016-10-03,2.62,2.59,2.64
4,USGS,02147500,2016-10-04,2.57,2.54,2.59
5,USGS,02147500,2016-10-05,2.57,2.53,2.63
6,USGS,02147500,2016-10-06,2.54,2.50,2.59
7,USGS,02147500,2016-10-07,2.53,2.49,2.60
8,USGS,02147500,2016-10-08,3.13,2.60,4.05
9,USGS,02147500,2016-10-09,3.76,3.41,4.06
10,USGS,02147500,2016-10-10,3.19,3.04,3.41
11,USGS,02147500,2016-10-11,2.96,2.89,3.04
12,USGS,02147500,2016-10-12,2.85,2.81,2.89
13,USGS,02147500,2016-10-13,2.79,2.77,2.81
14,USGS,02147500,2016-10-14,2.76,2.74,2.77
15,USGS,02147500,2016-10-15,2.74,2.73,2.75
16,USGS,02147500,2016-10-16,2.73,2.72,2.74
17,USGS,02147500,2016-10-17,2.71,2.71,2.72
18,USGS,02147500,2016-10-18,2.71,2.70,2.72
19,USGS,02147500,2016-10-19,2.69,2.69,2.70
20,USGS,02147500,2016-10-20,2.69,2.68,2.69
21,USGS,02147500,2016-10-21,2.66,2.65,2.68
22,USGS,02147500,2016-10-22,2.64,2.63,2.66
23,USGS,02147500,2016-10-23,2.68,2.60,2.74
24,USGS,02147500,2016-10-24,2.65,2.59,2.69
25,USGS,02147500,2016-10-25,2.63,2.62,2.65
26,USGS,02147500,2016-10-26,2.65,2.63,2.66
27,USGS,02147500,2016-10-27,2.67,2.65,2.68
28,USGS,02147500,2016-10-28,2.72,2.68,2.73
29,USGS,02147500,2016-10-29,2.74,2.73,2.74
30,USGS,02147500,2016-10-30,2.76,2.74,2.77
31,USGS,02147500,2016-10-31,2.76,2.75,2.77
32,USGS,02147500,2016-11-01,2.77,2.74,2.80
33,USGS,02147500,2016-11-02,2.81,2.79,2.82
34,USGS,02147500,2016-11-03,2.86,2.82,2.92
35,USGS,02147500,2016-11-04,2.91,2.90,2.92
36,USGS,02147500,2016-11-05,2.97,2.92,3.00
37,USGS,02147500,2016-11-06,2.98,2.94,3.01
38,USGS,02147500,2016-11-07,2.95,2.94,2.97
39,USGS,02147500,2016-11-08,2.98,2.97,3.00
