,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,0214676115,2016-09-30,3.04,1.81,4.89
1,USGS,0214676115,2016-10-01,1.54,1.20,2.18
2,USGS,0214676115,2016-10-02,1.13,0.84,1.35
3,USGS,0214676115,2016-10-03,1.05,0.93,1.17
4,USGS,0214676115,2016-10-04,0.98,0.89,1.08
5,USGS,0214676115,2016-10-05,0.93,0.83,0.99
6,USGS,0214676115,2016-10-06,0.91,0.83,0.99
7,USGS,0214676115,2016-10-07,2.94,0.86,5.91
8,USGS,0214676115,2016-10-08,8.95,4.11,13.11
9,USGS,0214676115,2016-10-09,6.93,2.57,12.97
10,USGS,0214676115,2016-10-10,2.13,1.90,2.57
11,USGS,0214676115,2016-10-11,1.78,1.68,1.93
12,USGS,0214676115,2016-10-12,1.59,1.49,1.69
13,USGS,0214676115,2016-10-13,1.41,1.28,1.57
14,USGS,0214676115,2016-10-14,1.16,0.97,1.38
15,USGS,0214676115,2016-10-15,0.99,0.79,1.07
16,USGS,0214676115,2016-10-16,0.97,0.81,1.06
17,USGS,0214676115,2016-10-17,1.06,0.96,1.16
18,USGS,0214676115,2016-10-18,0.95,0.89,1.01
19,USGS,0214676115,2016-10-19,1.03,0.86,1.15
20,USGS,0214676115,2016-10-20,0.94,0.89,1.00
21,USGS,0214676115,2016-10-21,0.94,0.88,1.05
22,USGS,0214676115,2016-10-22,0.84,0.62,0.99
23,USGS,0214676115,2016-10-23,0.83,0.60,0.95
24,USGS,0214676115,2016-10-24,0.91,0.82,1.03
25,USGS,0214676115,2016-10-25,0.87,0.79,0.99
26,USGS,0214676115,2016-10-26,0.83,0.78,0.89
27,USGS,0214676115,2016-10-27,0.88,0.82,0.98
28,USGS,0214676115,2016-10-28,0.84,0.78,0.95
29,USGS,0214676115,2016-10-29,0.79,0.56,0.95
30,USGS,0214676115,2016-10-30,0.79,0.55,0.90
31,USGS,0214676115,2016-10-31,0.87,0.76,0.97
32,USGS,0214676115,2016-11-01,0.83,0.77,0.89
33,USGS,0214676115,2016-11-02,0.82,0.78,0.88
34,USGS,0214676115,2016-11-03,0.87,0.78,0.96
35,USGS,0214676115,2016-11-04,0.83,0.75,0.89
36,USGS,0214676115,2016-11-05,0.76,0.54,0.90
37,USGS,0214676115,2016-11-06,0.75,0.60,0.96
38,USGS,0214676115,2016-11-07,0.84,0.72,0.96
39,USGS,0214676115,2016-11-08,0.78,0.72,0.83
40,USGS,0214676115,2016-11-09,0.81,0.77,0.90
41,USGS,0214676115,2016-11-10,0.82,0.72,0.92
42,USGS,0214676115,2016-11-11,0.75,0.70,0.84
43,USGS,0214676115,2016-11-12,0.76,0.56,0.88
44,USGS,0214676115,2016-11-13,0.76,0.46,0.88
45,USGS,0214676115,2016-11-14,0.84,0.72,0.98
46,USGS,0214676115,2016-11-15,0.78,0.73,0.86
47,USGS,0214676115,2016-11-16,0.85,0.78,0.96
48,USGS,0214676115,2016-11-17,0.79,0.73,0.86
49,USGS,0214676115,2016-11-18,0.77,0.71,0.83
50,USGS,0214676115,2016-11-19,0.76,0.60,0.92
51,USGS,0214676115,2016-11-20,0.75,0.45,0.91
52,USGS,0214676115,2016-11-21,0.82,0.76,0.88
53,USGS,0214676115,2016-11-22,0.82,0.70,0.91
54,USGS,0214676115,2016-11-23,0.80,0.75,0.86
55,USGS,0214676115,2016-11-24,0.79,0.55,0.90
56,USGS,0214676115,2016-11-25,0.69,0.36,0.86
57,USGS,0214676115,2016-11-26,0.65,0.40,0.82
58,USGS,0214676115,2016-11-27,0.71,0.46,0.85
59,USGS,0214676115,2016-11-28,0.82,0.72,0.98
60,USGS,0214676115,2016-11-29,0.81,0.67,0.99
61,USGS,0214676115,2016-11-30,1.19,0.95,1.48
