,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,02131010,2016-09-30,18.42,16.62,19.70
1,USGS,02131010,2016-10-01,19.97,19.54,20.17
2,USGS,02131010,2016-10-02,18.05,16.48,19.54
3,USGS,02131010,2016-10-03,15.42,14.77,16.48
4,USGS,02131010,2016-10-04,14.40,13.92,14.77
5,USGS,02131010,2016-10-05,13.43,13.03,13.92
6,USGS,02131010,2016-10-06,12.74,12.53,13.03
7,USGS,02131010,2016-10-07,12.50,12.47,12.57
8,USGS,02131010,2016-10-08,17.56,12.57,24.74
9,USGS,02131010,2016-10-09,27.00,24.74,27.87
10,USGS,02131010,2016-10-10,28.32,27.87,28.70
11,USGS,02131010,2016-10-11,28.97,28.70,29.20
12,USGS,02131010,2016-10-12,29.39,29.20,29.55
13,USGS,02131010,2016-10-13,29.59,29.54,29.63
14,USGS,02131010,2016-10-14,29.34,29.05,29.55
15,USGS,02131010,2016-10-15,28.61,28.09,29.05
16,USGS,02131010,2016-10-16,27.45,26.76,28.09
17,USGS,02131010,2016-10-17,25.99,25.17,26.76
18,USGS,02131010,2016-10-18,24.19,23.15,25.17
19,USGS,02131010,2016-10-19,22.05,20.93,23.15
20,USGS,02131010,2016-10-20,19.99,19.17,20.93
21,USGS,02131010,2016-10-21,18.43,17.71,19.17
22,USGS,02131010,2016-10-22,16.97,16.27,17.71
23,USGS,02131010,2016-10-23,15.61,15.01,16.27
24,USGS,02131010,2016-10-24,14.60,14.33,15.01
25,USGS,02131010,2016-10-25,14.14,13.94,14.33
26,USGS,02131010,2016-10-26,13.76,13.62,13.94
27,USGS,02131010,2016-10-27,13.52,13.47,13.62
28,USGS,02131010,2016-10-28,13.47,13.43,13.49
29,USGS,02131010,2016-10-29,13.27,13.13,13.43
30,USGS,02131010,2016-10-30,13.03,12.94,13.13
31,USGS,02131010,2016-10-31,12.86,12.77,12.94
32,USGS,02131010,2016-11-01,12.75,12.73,12.78
33,USGS,02131010,2016-11-02,12.87,12.78,13.05
34,USGS,02131010,2016-11-03,13.18,13.05,13.28
35,USGS,02131010,2016-11-04,13.23,13.13,13.29
36,USGS,02131010,2016-11-05,13.06,13.01,13.13
37,USGS,02131010,2016-11-06,12.86,12.64,13.07
38,USGS,02131010,2016-11-07,12.45,12.32,12.64
39,USGS,02131010,2016-11-08,12.30,12.28,12.32
40,USGS,02131010,2016-11-09,12.31,12.29,12.32
41,USGS,02131010,2016-11-10,12.23,12.15,12.30
42,USGS,02131010,2016-11-11,12.19,12.17,12.21
43,USGS,02131010,2016-11-12,12.23,12.18,12.29
44,USGS,02131010,2016-11-13,12.38,12.29,12.57
45,USGS,02131010,2016-11-14,12.59,12.53,12.62
46,USGS,02131010,2016-11-15,12.74,12.62,12.86
47,USGS,02131010,2016-11-16,12.97,12.86,13.25
48,USGS,02131010,2016-11-17,13.77,13.25,14.07
49,USGS,02131010,2016-11-18,13.96,13.75,14.07
50,USGS,02131010,2016-11-19,13.42,13.14,13.75
51,USGS,02131010,2016-11-20,12.90,12.67,13.14
52,USGS,02131010,2016-11-21,12.50,12.39,12.67
53,USGS,02131010,2016-11-22,12.34,12.30,12.39
54,USGS,02131010,2016-11-23,12.62,12.33,12.91
55,USGS,02131010,2016-11-24,13.02,12.91,13.07
56,USGS,02131010,2016-11-25,12.82,12.63,13.01
57,USGS,02131010,2016-11-26,12.41,12.28,12.63
58,USGS,02131010,2016-11-27,12.24,12.21,12.29
59,USGS,02131010,2016-11-28,12.17,12.12,12.22
60,USGS,02131010,2016-11-29,12.06,11.95,12.12
61,USGS,02131010,2016-11-30,11.96,11.84,12.28
62,USGS,02131010,2016-12-01,12.72,12.28,13.01
63,USGS,02131010,2016-12-02,13.12,13.01,13.17
64,USGS,02131010,2016-12-03,13.02,12.89,13.14
65,USGS,02131010,2016-12-04,12.77,12.66,12.89
66,USGS,02131010,2016-12-05,12.81,12.66,12.98
67,USGS,02131010,2016-12-06,13.34,12.98,13.71
68,USGS,02131010,2016-12-07,14.01,13.71,14.25
69,USGS,02131010,2016-12-08,14.37,14.25,14.48
70,USGS,02131010,2016-12-09,14.54,14.48,14.63
71,USGS,02131010,2016-12-10,14.63,14.50,14.67
72,USGS,02131010,2016-12-11,14.15,13.79,14.50
73,USGS,02131010,2016-12-12,13.62,13.52,13.79
74,USGS,02131010,2016-12-13,13.58,13.50,13.68
75,USGS,02131010,2016-12-14,13.94,13.68,14.18
76,USGS,02131010,2016-12-15,14.44,14.18,14.75
77,USGS,02131010,2016-12-16,15.02,14.75,15.31
78,USGS,02131010,2016-12-17,15.92,15.31,17.42
79,USGS,02131010,2016-12-18,18.36,17.42,18.66
80,USGS,02131010,2016-12-19,17.55,16.80,18.26
81,USGS,02131010,2016-12-20,16.45,16.29,16.80
82,USGS,02131010,2016-12-21,16.66,16.29,17.23
83,USGS,02131010,2016-12-22,17.43,17.23,17.50
84,USGS,02131010,2016-12-23,17.03,16.51,17.38
85,USGS,02131010,2016-12-24,15.90,15.29,16.51
86,USGS,02131010,2016-12-25,14.78,14.33,15.29
87,USGS,02131010,2016-12-26,13.99,13.73,14.33
88,USGS,02131010,2016-12-27,13.55,13.40,13.73
89,USGS,02131010,2016-12-28,13.30,13.20,13.40
90,USGS,02131010,2016-12-29,13.12,13.00,13.20
91,USGS,02131010,2016-12-30,13.39,13.10,14.03
92,USGS,02131010,2016-12-31,14.53,14.03,14.77
93,USGS,02131010,2017-01-01,14.74,14.69,14.82
94,USGS,02131010,2017-01-02,15.08,14.82,15.23
95,USGS,02131010,2017-01-03,15.88,15.22,17.43
96,USGS,02131010,2017-01-04,20.08,17.43,22.65
97,USGS,02131010,2017-01-05,23.81,22.65,24.37
98,USGS,02131010,2017-01-06,24.36,24.21,24.42
99,USGS,02131010,2017-01-07,23.93,23.74,24.21
100,USGS,02131010,2017-01-08,23.80,23.74,23.90
101,USGS,02131010,2017-01-09,24.13,23.90,24.37
102,USGS,02131010,2017-01-10,24.41,24.37,24.43
103,USGS,02131010,2017-01-11,24.17,23.85,24.40
104,USGS,02131010,2017-01-12,23.07,22.06,23.85
105,USGS,02131010,2017-01-13,21.08,20.03,22.06
106,USGS,02131010,2017-01-14,18.87,17.75,20.03
107,USGS,02131010,2017-01-15,16.88,16.17,17.75
108,USGS,02131010,2017-01-16,15.70,15.34,16.17
109,USGS,02131010,2017-01-17,15.14,15.04,15.34
110,USGS,02131010,2017-01-18,15.87,15.07,16.62
111,USGS,02131010,2017-01-19,16.21,15.54,16.63
112,USGS,02131010,2017-01-20,15.51,15.13,16.56
113,USGS,02131010,2017-01-21,17.47,16.56,17.82
114,USGS,02131010,2017-01-22,17.45,17.10,17.78
115,USGS,02131010,2017-01-23,16.72,16.55,17.10
116,USGS,02131010,2017-01-24,19.56,16.99,23.70
117,USGS,02131010,2017-01-25,25.54,23.70,26.46
118,USGS,02131010,2017-01-26,26.80,26.46,27.05
119,USGS,02131010,2017-01-27,27.29,27.05,27.53
120,USGS,02131010,2017-01-28,27.59,27.53,27.63
121,USGS,02131010,2017-01-29,27.23,26.80,27.54
122,USGS,02131010,2017-01-30,26.22,25.61,26.80
123,USGS,02131010,2017-01-31,24.90,24.17,25.61
124,USGS,02131010,2017-02-01,23.50,22.81,24.17
125,USGS,02131010,2017-02-02,21.73,20.45,22.81
126,USGS,02131010,2017-02-03,19.10,17.87,20.45
127,USGS,02131010,2017-02-04,17.00,16.31,17.87
128,USGS,02131010,2017-02-05,15.90,15.60,16.31
129,USGS,02131010,2017-02-06,15.82,15.53,16.28
130,USGS,02131010,2017-02-07,16.55,16.28,16.83
131,USGS,02131010,2017-02-08,16.87,16.67,17.42
132,USGS,02131010,2017-02-09,17.49,17.08,17.71
133,USGS,02131010,2017-02-10,16.61,16.30,17.08
134,USGS,02131010,2017-02-11,16.37,16.18,16.85
135,USGS,02131010,2017-02-12,16.93,16.52,17.11
136,USGS,02131010,2017-02-13,15.91,15.46,16.52
137,USGS,02131010,2017-02-14,15.64,15.32,16.34
138,USGS,02131010,2017-02-15,16.24,15.83,16.43
139,USGS,02131010,2017-02-16,15.38,15.16,15.83
140,USGS,02131010,2017-02-17,15.85,15.31,16.41
141,USGS,02131010,2017-02-18,16.75,16.41,17.38
142,USGS,02131010,2017-02-19,17.73,17.38,17.86
143,USGS,02131010,2017-02-20,17.18,16.55,17.67
