,agency_cd,site_no,datetime,Gage height_Mean
0,USGS,021603273,2016-09-30,839.31
1,USGS,021603273,2016-10-01,839.31
2,USGS,021603273,2016-10-02,839.31
3,USGS,021603273,2016-10-03,839.31
4,USGS,021603273,2016-10-04,839.32
5,USGS,021603273,2016-10-05,839.32
6,USGS,021603273,2016-10-06,839.35
7,USGS,021603273,2016-10-07,839.37
8,USGS,021603273,2016-10-08,839.36
9,USGS,021603273,2016-10-09,839.33
10,USGS,021603273,2016-10-10,839.32
11,USGS,021603273,2016-10-11,839.32
12,USGS,021603273,2016-10-12,839.32
13,USGS,021603273,2016-10-13,839.32
14,USGS,021603273,2016-10-14,839.32
15,USGS,021603273,2016-10-15,839.32
16,USGS,021603273,2016-10-16,839.32
17,USGS,021603273,2016-10-17,839.32
18,USGS,021603273,2016-10-18,839.32
19,USGS,021603273,2016-10-19,839.33
20,USGS,021603273,2016-10-20,839.32
21,USGS,021603273,2016-10-21,839.34
22,USGS,021603273,2016-10-22,839.35
23,USGS,021603273,2016-10-23,839.36
24,USGS,021603273,2016-10-24,839.36
25,USGS,021603273,2016-10-25,839.36
26,USGS,021603273,2016-10-26,839.36
27,USGS,021603273,2016-10-27,839.36
28,USGS,021603273,2016-10-28,839.37
29,USGS,021603273,2016-10-29,839.36
30,USGS,021603273,2016-10-30,839.36
31,USGS,021603273,2016-10-31,839.36
32,USGS,021603273,2016-11-01,839.36
33,USGS,021603273,2016-11-02,839.37
34,USGS,021603273,2016-11-03,839.37
35,USGS,021603273,2016-11-04,839.37
36,USGS,021603273,2016-11-05,839.37
37,USGS,021603273,2016-11-06,839.37
38,USGS,021603273,2016-11-07,839.38
39,USGS,021603273,2016-11-08,839.37
40,USGS,021603273,2016-11-09,839.37
41,USGS,021603273,2016-11-10,839.37
42,USGS,021603273,2016-11-11,839.38
43,USGS,021603273,2016-11-12,839.38
44,USGS,021603273,2016-11-13,839.37
45,USGS,021603273,2016-11-14,839.35
46,USGS,021603273,2016-11-15,839.34
47,USGS,021603273,2016-11-16,839.34
48,USGS,021603273,2016-11-17,839.34
49,USGS,021603273,2016-11-18,839.34
50,USGS,021603273,2016-11-19,839.36
51,USGS,021603273,2016-11-20,839.35
52,USGS,021603273,2016-11-21,839.34
53,USGS,021603273,2016-11-22,839.35
54,USGS,021603273,2016-11-23,839.36
55,USGS,021603273,2016-11-24,839.36
56,USGS,021603273,2016-11-25,839.35
57,USGS,021603273,2016-11-26,839.37
58,USGS,021603273,2016-11-27,839.36
59,USGS,021603273,2016-11-28,839.35
60,USGS,021603273,2016-11-29,839.74
61,USGS,021603273,2016-11-30,839.70
62,USGS,021603273,2016-12-01,839.51
63,USGS,021603273,2016-12-02,839.36
64,USGS,021603273,2016-12-03,839.34
65,USGS,021603273,2016-12-04,839.59
66,USGS,021603273,2016-12-05,839.53
67,USGS,021603273,2016-12-06,839.63
68,USGS,021603273,2016-12-07,839.43
69,USGS,021603273,2016-12-08,839.37
70,USGS,021603273,2016-12-09,839.35
71,USGS,021603273,2016-12-10,839.34
72,USGS,021603273,2016-12-11,839.34
73,USGS,021603273,2016-12-12,839.34
74,USGS,021603273,2016-12-13,839.34
75,USGS,021603273,2016-12-14,839.34
76,USGS,021603273,2016-12-15,839.34
77,USGS,021603273,2016-12-16,839.34
78,USGS,021603273,2016-12-17,839.35
79,USGS,021603273,2016-12-18,839.37
80,USGS,021603273,2016-12-19,839.37
81,USGS,021603273,2016-12-20,839.38
82,USGS,021603273,2016-12-21,839.37
83,USGS,021603273,2016-12-22,839.37
84,USGS,021603273,2016-12-23,839.36
85,USGS,021603273,2016-12-24,839.36
86,USGS,021603273,2016-12-25,839.37
87,USGS,021603273,2016-12-26,839.37
88,USGS,021603273,2016-12-27,839.38
89,USGS,021603273,2016-12-28,839.38
90,USGS,021603273,2016-12-29,839.72
91,USGS,021603273,2016-12-30,839.39
92,USGS,021603273,2016-12-31,839.35
93,USGS,021603273,2017-01-01,839.42
94,USGS,021603273,2017-01-02,839.81
95,USGS,021603273,2017-01-03,839.85
96,USGS,021603273,2017-01-04,839.48
97,USGS,021603273,2017-01-05,839.40
98,USGS,021603273,2017-01-06,839.40
99,USGS,021603273,2017-01-07,839.55
100,USGS,021603273,2017-01-08,839.41
101,USGS,021603273,2017-01-09,839.38
102,USGS,021603273,2017-01-10,839.37
103,USGS,021603273,2017-01-11,839.41
104,USGS,021603273,2017-01-12,839.39
105,USGS,021603273,2017-01-13,839.38
106,USGS,021603273,2017-01-14,839.37
107,USGS,021603273,2017-01-15,839.36
108,USGS,021603273,2017-01-16,839.36
109,USGS,021603273,2017-01-17,839.36
110,USGS,021603273,2017-01-18,839.36
111,USGS,021603273,2017-01-19,839.37
112,USGS,021603273,2017-01-20,839.48
113,USGS,021603273,2017-01-21,839.72
114,USGS,021603273,2017-01-22,839.73
115,USGS,021603273,2017-01-23,839.72
116,USGS,021603273,2017-01-24,839.49
117,USGS,021603273,2017-01-25,839.44
118,USGS,021603273,2017-01-26,839.43
119,USGS,021603273,2017-01-27,839.40
120,USGS,021603273,2017-01-28,839.39
121,USGS,021603273,2017-01-29,839.39
122,USGS,021603273,2017-01-30,839.38
123,USGS,021603273,2017-01-31,839.40
124,USGS,021603273,2017-02-01,839.42
125,USGS,021603273,2017-02-02,839.41
126,USGS,021603273,2017-02-03,839.40
127,USGS,021603273,2017-02-04,839.39
128,USGS,021603273,2017-02-05,839.40
129,USGS,021603273,2017-02-06,839.39
130,USGS,021603273,2017-02-07,839.45
131,USGS,021603273,2017-02-08,839.44
132,USGS,021603273,2017-02-09,839.51
133,USGS,021603273,2017-02-10,839.39
134,USGS,021603273,2017-02-11,839.37
135,USGS,021603273,2017-02-12,839.37
136,USGS,021603273,2017-02-13,839.36
137,USGS,021603273,2017-02-14,839.36
138,USGS,021603273,2017-02-15,839.50
139,USGS,021603273,2017-02-16,839.39
140,USGS,021603273,2017-02-17,839.37
141,USGS,021603273,2017-02-18,839.37
142,USGS,021603273,2017-02-19,839.37
143,USGS,021603273,2017-02-20,839.36
144,USGS,021603273,2017-02-21,839.35
145,USGS,021603273,2017-02-22,839.43
146,USGS,021603273,2017-02-23,839.38
147,USGS,021603273,2017-02-24,839.36
148,USGS,021603273,2017-02-25,839.35
149,USGS,021603273,2017-02-26,839.35
150,USGS,021603273,2017-02-27,839.35
151,USGS,021603273,2017-02-28,839.35
152,USGS,021603273,2017-03-01,839.56
153,USGS,021603273,2017-03-02,839.63
154,USGS,021603273,2017-03-03,839.48
155,USGS,021603273,2017-03-04,839.45
156,USGS,021603273,2017-03-05,839.45
157,USGS,021603273,2017-03-06,839.45
158,USGS,021603273,2017-03-07,839.45
159,USGS,021603273,2017-03-08,839.46
160,USGS,021603273,2017-03-09,839.44
161,USGS,021603273,2017-03-10,839.52
162,USGS,021603273,2017-03-11,839.45
163,USGS,021603273,2017-03-12,839.65
