,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean
0,USGS,02165200,2016-09-30,0.89,0.84,0.87
1,USGS,02165200,2016-10-01,0.85,0.81,0.83
2,USGS,02165200,2016-10-02,0.83,0.79,0.82
3,USGS,02165200,2016-10-03,0.82,0.78,0.80
4,USGS,02165200,2016-10-04,0.82,0.77,0.80
5,USGS,02165200,2016-10-05,0.81,0.77,0.79
6,USGS,02165200,2016-10-06,0.80,0.76,0.78
7,USGS,02165200,2016-10-07,0.80,0.76,0.78
8,USGS,02165200,2016-10-08,0.81,0.78,0.80
9,USGS,02165200,2016-10-09,0.81,0.78,0.79
10,USGS,02165200,2016-10-10,0.80,0.77,0.78
11,USGS,02165200,2016-10-11,0.80,0.75,0.78
12,USGS,02165200,2016-10-12,0.79,0.75,0.77
13,USGS,02165200,2016-10-13,0.93,0.75,0.77
14,USGS,02165200,2016-10-14,0.78,0.74,0.76
15,USGS,02165200,2016-10-15,0.78,0.74,0.77
16,USGS,02165200,2016-10-16,0.79,0.76,0.78
17,USGS,02165200,2016-10-17,0.80,0.76,0.78
18,USGS,02165200,2016-10-18,0.79,0.76,0.78
19,USGS,02165200,2016-10-19,0.79,0.75,0.77
20,USGS,02165200,2016-10-20,0.93,0.74,0.77
21,USGS,02165200,2016-10-21,0.78,0.72,0.75
22,USGS,02165200,2016-10-22,0.74,0.72,0.73
23,USGS,02165200,2016-10-23,0.75,0.72,0.74
24,USGS,02165200,2016-10-24,0.75,0.72,0.73
25,USGS,02165200,2016-10-25,0.74,0.71,0.73
26,USGS,02165200,2016-10-26,,,
27,USGS,02165200,2016-10-27,,,
28,USGS,02165200,2016-10-28,0.76,0.72,0.74
29,USGS,02165200,2016-10-29,0.76,0.74,0.75
30,USGS,02165200,2016-10-30,0.78,0.74,0.76
31,USGS,02165200,2016-10-31,0.77,0.74,0.76
32,USGS,02165200,2016-11-01,0.80,0.75,0.77
33,USGS,02165200,2016-11-02,0.79,0.74,0.76
34,USGS,02165200,2016-11-03,0.78,0.76,0.77
35,USGS,02165200,2016-11-04,0.79,0.76,0.77
36,USGS,02165200,2016-11-05,0.79,0.75,0.77
37,USGS,02165200,2016-11-06,0.79,0.77,0.78
38,USGS,02165200,2016-11-07,0.80,0.77,0.78
39,USGS,02165200,2016-11-08,0.80,0.77,0.78
40,USGS,02165200,2016-11-09,0.80,0.77,0.79
41,USGS,02165200,2016-11-10,0.81,0.78,0.79
