,agency_cd,site_no,datetime,Temperature_Mean,Temperature_Max,Temperature_Min,Gage height_Mean,Gage height_Min,Gage height_Max
348,USGS,02171905,2017-09-13,24.1,25.2,23.1,22.44,20.28,24.51
349,USGS,02171905,2017-09-14,24.6,25.6,23.9,22.44,20.22,24.54
350,USGS,02171905,2017-09-15,25.3,26.2,24.4,22.32,19.88,24.45
351,USGS,02171905,2017-09-16,25.9,27.3,25.2,22.50,19.91,24.68
352,USGS,02171905,2017-09-17,26.1,27.0,25.4,22.84,20.44,24.86
353,USGS,02171905,2017-09-18,26.4,27.3,25.3,22.89,20.49,24.89
354,USGS,02171905,2017-09-19,26.7,27.7,25.5,22.82,20.40,24.78
355,USGS,02171905,2017-09-20,27.0,28.0,25.7,22.74,20.41,24.62
356,USGS,02171905,2017-09-21,27.3,28.1,26.2,22.65,20.41,24.56
357,USGS,02171905,2017-09-22,27.4,28.2,22.6,22.57,20.42,24.50
358,USGS,02171905,2017-09-23,27.5,28.3,26.4,22.58,20.42,24.38
359,USGS,02171905,2017-09-24,27.3,28.0,26.3,22.92,20.87,24.57
360,USGS,02171905,2017-09-25,26.6,27.4,26.1,22.99,21.28,24.54
361,USGS,02171905,2017-09-26,26.3,26.8,25.3,22.89,21.09,24.48
362,USGS,02171905,2017-09-27,26.8,27.3,25.8,22.79,20.93,24.40
363,USGS,02171905,2017-09-28,27.4,28.0,26.6,22.73,21.03,24.36
364,USGS,02171905,2017-09-29,27.8,28.3,27.3,22.56,20.74,24.17
365,USGS,02171905,2017-09-30,27.0,27.6,26.0,22.69,20.84,24.29
