,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Precipitation,Gage height_Min
0,USGS,02164000,2016-09-30,0.61,0.61,0.00,0.61
1,USGS,02164000,2016-10-01,0.61,0.61,0.00,0.61
2,USGS,02164000,2016-10-02,0.61,0.61,0.00,0.61
3,USGS,02164000,2016-10-03,0.61,0.61,0.00,0.61
4,USGS,02164000,2016-10-04,0.61,0.61,0.00,0.61
5,USGS,02164000,2016-10-05,0.61,0.61,0.00,0.61
6,USGS,02164000,2016-10-06,0.61,0.61,0.00,0.61
7,USGS,02164000,2016-10-07,0.76,0.65,0.53,0.61
8,USGS,02164000,2016-10-08,0.66,0.62,0.02,0.61
9,USGS,02164000,2016-10-09,0.62,0.61,0.00,0.61
10,USGS,02164000,2016-10-10,0.61,0.61,0.00,0.61
11,USGS,02164000,2016-10-11,0.61,0.61,0.00,0.61
12,USGS,02164000,2016-10-12,0.61,0.61,0.00,0.61
13,USGS,02164000,2016-10-13,0.61,0.61,0.00,0.61
14,USGS,02164000,2016-10-14,0.61,0.61,0.00,0.61
15,USGS,02164000,2016-10-15,0.64,0.62,0.00,0.61
16,USGS,02164000,2016-10-16,0.64,0.62,0.00,0.61
17,USGS,02164000,2016-10-17,0.64,0.64,0.00,0.64
18,USGS,02164000,2016-10-18,0.64,0.64,0.00,0.64
19,USGS,02164000,2016-10-19,0.64,0.64,0.00,0.63
20,USGS,02164000,2016-10-20,0.64,0.63,0.00,0.61
21,USGS,02164000,2016-10-21,0.61,0.61,0.00,0.61
22,USGS,02164000,2016-10-22,0.61,0.61,0.00,0.61
23,USGS,02164000,2016-10-23,0.61,0.61,0.00,0.61
24,USGS,02164000,2016-10-24,0.61,0.60,0.00,0.58
25,USGS,02164000,2016-10-25,0.59,0.59,0.00,0.58
26,USGS,02164000,2016-10-26,0.59,0.59,0.00,0.58
27,USGS,02164000,2016-10-27,0.59,0.59,0.00,0.58
28,USGS,02164000,2016-10-28,0.59,0.59,0.00,0.59
29,USGS,02164000,2016-10-29,0.59,0.59,0.00,0.59
30,USGS,02164000,2016-10-30,0.59,0.59,0.00,0.59
31,USGS,02164000,2016-10-31,0.59,0.59,0.00,0.59
32,USGS,02164000,2016-11-01,0.62,0.60,0.00,0.59
33,USGS,02164000,2016-11-02,,,0.00,
34,USGS,02164000,2016-11-03,0.61,0.61,0.00,0.61
35,USGS,02164000,2016-11-04,0.61,0.61,0.00,0.61
36,USGS,02164000,2016-11-05,0.61,0.61,0.00,0.61
37,USGS,02164000,2016-11-06,0.62,0.61,0.00,0.61
38,USGS,02164000,2016-11-07,0.63,0.62,0.00,0.62
39,USGS,02164000,2016-11-08,0.65,0.62,0.00,0.60
40,USGS,02164000,2016-11-09,0.61,0.60,0.00,0.60
41,USGS,02164000,2016-11-10,0.60,0.60,0.00,0.60
42,USGS,02164000,2016-11-11,0.61,0.60,0.00,0.60
43,USGS,02164000,2016-11-12,0.61,0.60,0.00,0.60
44,USGS,02164000,2016-11-13,0.69,0.64,0.14,0.60
45,USGS,02164000,2016-11-14,0.64,0.62,0.00,0.62
46,USGS,02164000,2016-11-15,0.62,0.62,0.00,0.62
47,USGS,02164000,2016-11-16,0.62,0.62,0.00,0.62
48,USGS,02164000,2016-11-17,0.62,0.62,0.00,0.62
49,USGS,02164000,2016-11-18,0.63,0.62,0.00,0.62
50,USGS,02164000,2016-11-19,0.63,0.62,0.00,0.62
51,USGS,02164000,2016-11-20,0.63,0.62,0.00,0.62
52,USGS,02164000,2016-11-21,0.64,0.64,0.00,0.63
53,USGS,02164000,2016-11-22,0.63,0.63,0.00,0.63
54,USGS,02164000,2016-11-23,0.63,0.63,0.00,0.63
55,USGS,02164000,2016-11-24,0.64,0.63,0.00,0.63
56,USGS,02164000,2016-11-25,0.64,0.64,0.00,0.63
57,USGS,02164000,2016-11-26,0.68,0.65,0.00,0.63
58,USGS,02164000,2016-11-27,0.64,0.64,0.00,0.64
59,USGS,02164000,2016-11-28,0.66,0.65,0.00,0.64
60,USGS,02164000,2016-11-29,2.33,1.27,1.08,0.64
61,USGS,02164000,2016-11-30,2.72,1.24,0.74,0.78
62,USGS,02164000,2016-12-01,1.38,0.92,0.00,0.75
63,USGS,02164000,2016-12-02,0.75,0.70,0.00,0.68
64,USGS,02164000,2016-12-03,0.68,0.67,0.02,0.66
65,USGS,02164000,2016-12-04,1.24,0.90,0.77,0.66
66,USGS,02164000,2016-12-05,1.23,0.89,0.20,0.78
67,USGS,02164000,2016-12-06,1.41,1.07,0.36,0.80
68,USGS,02164000,2016-12-07,1.00,0.83,0.00,0.75
69,USGS,02164000,2016-12-08,0.75,0.72,0.00,0.70
70,USGS,02164000,2016-12-09,0.70,0.69,0.00,0.68
71,USGS,02164000,2016-12-10,0.68,0.67,0.00,0.67
72,USGS,02164000,2016-12-11,0.67,0.67,0.00,0.67
73,USGS,02164000,2016-12-12,0.67,0.66,0.00,0.66
