,agency_cd,site_no,datetime,Dissolved oxygen_Max,Temperature_Min,Temperature_Mean,Dissolved oxygen_Min,Temperature_Max,Gage height_Max,Gage height_Min,Dissolved oxygen_Mean,Gage height_Mean
350,USGS,02172050,2017-09-15,4.8,24.2,24.5,4.0,24.8,18.81,14.55,4.4,16.96
351,USGS,02172050,2017-09-16,5.2,24.6,24.9,4.2,25.2,18.86,14.43,4.6,16.93
352,USGS,02172050,2017-09-17,5.4,25.0,25.2,4.4,25.5,19.15,15.05,4.8,17.21
353,USGS,02172050,2017-09-18,5.6,25.2,25.4,4.5,25.8,19.18,15.14,5.0,17.29
354,USGS,02172050,2017-09-19,5.9,25.4,25.7,4.6,26.1,19.03,15.12,5.1,17.24
355,USGS,02172050,2017-09-20,6.1,25.7,26.1,4.7,26.6,18.88,15.15,5.3,17.15
356,USGS,02172050,2017-09-21,5.9,26.1,26.5,4.9,26.8,18.75,15.17,5.3,17.12
357,USGS,02172050,2017-09-22,5.8,26.0,26.5,5.0,27.1,18.61,15.23,5.4,17.06
358,USGS,02172050,2017-09-23,5.7,26.0,26.5,5.0,26.9,18.53,15.15,5.4,17.02
359,USGS,02172050,2017-09-24,5.6,25.9,26.4,5.0,26.7,18.71,15.53,5.4,17.28
360,USGS,02172050,2017-09-25,5.7,25.6,26.1,4.9,26.6,18.87,15.87,5.4,17.46
361,USGS,02172050,2017-09-26,6.0,25.5,26.0,4.9,26.5,18.81,15.80,5.5,17.40
362,USGS,02172050,2017-09-27,6.0,25.9,26.3,5.1,26.5,18.78,15.65,5.6,17.36
363,USGS,02172050,2017-09-28,5.9,26.1,26.6,5.1,27.0,18.76,15.67,5.6,17.28
364,USGS,02172050,2017-09-29,5.9,26.5,26.9,4.8,27.5,18.52,15.32,5.5,17.08
365,USGS,02172050,2017-09-30,5.7,26.5,26.9,4.8,27.0,18.68,15.42,5.3,17.20
