,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean
0,USGS,02197000,2016-09-30,104.86,98.24,101.49
1,USGS,02197000,2016-10-01,99.47,97.19,98.03
2,USGS,02197000,2016-10-02,98.62,96.05,97.09
3,USGS,02197000,2016-10-03,97.40,96.24,96.83
4,USGS,02197000,2016-10-04,97.49,96.70,97.05
5,USGS,02197000,2016-10-05,98.30,96.67,97.37
6,USGS,02197000,2016-10-06,98.90,96.29,97.36
7,USGS,02197000,2016-10-07,97.94,96.35,96.80
8,USGS,02197000,2016-10-08,98.24,97.08,97.80
9,USGS,02197000,2016-10-09,98.23,96.45,97.02
10,USGS,02197000,2016-10-10,96.75,96.40,96.60
11,USGS,02197000,2016-10-11,97.33,96.42,96.87
12,USGS,02197000,2016-10-12,97.50,96.65,96.97
13,USGS,02197000,2016-10-13,97.81,96.47,96.99
14,USGS,02197000,2016-10-14,97.40,96.54,97.01
15,USGS,02197000,2016-10-15,97.48,96.55,97.31
16,USGS,02197000,2016-10-16,97.56,96.65,97.04
17,USGS,02197000,2016-10-17,97.36,96.66,96.93
18,USGS,02197000,2016-10-18,96.84,95.94,96.51
19,USGS,02197000,2016-10-19,97.00,96.19,96.54
20,USGS,02197000,2016-10-20,96.97,96.25,96.53
21,USGS,02197000,2016-10-21,97.29,96.19,96.65
22,USGS,02197000,2016-10-22,97.25,96.27,96.96
23,USGS,02197000,2016-10-23,96.82,96.07,96.53
24,USGS,02197000,2016-10-24,97.09,96.09,96.68
25,USGS,02197000,2016-10-25,97.30,96.24,96.66
26,USGS,02197000,2016-10-26,98.30,96.48,96.99
27,USGS,02197000,2016-10-27,97.17,96.62,96.93
28,USGS,02197000,2016-10-28,97.10,96.81,96.98
29,USGS,02197000,2016-10-29,98.17,96.72,97.29
30,USGS,02197000,2016-10-30,98.03,96.47,96.98
31,USGS,02197000,2016-10-31,97.52,96.31,96.82
32,USGS,02197000,2016-11-01,97.26,96.39,96.76
33,USGS,02197000,2016-11-02,97.64,96.12,96.87
34,USGS,02197000,2016-11-03,97.17,96.19,96.73
35,USGS,02197000,2016-11-04,97.03,96.17,96.40
36,USGS,02197000,2016-11-05,98.16,97.03,97.64
37,USGS,02197000,2016-11-06,97.23,96.17,96.50
38,USGS,02197000,2016-11-07,96.37,96.18,96.29
39,USGS,02197000,2016-11-08,96.33,95.97,96.17
40,USGS,02197000,2016-11-09,96.76,96.32,96.60
41,USGS,02197000,2016-11-10,97.02,96.52,96.68
42,USGS,02197000,2016-11-11,97.22,96.80,97.03
43,USGS,02197000,2016-11-12,97.03,96.35,96.70
44,USGS,02197000,2016-11-13,98.36,96.29,97.07
45,USGS,02197000,2016-11-14,98.30,96.36,97.02
46,USGS,02197000,2016-11-15,98.72,95.95,97.07
47,USGS,02197000,2016-11-16,97.27,95.93,96.37
48,USGS,02197000,2016-11-17,97.34,96.55,96.84
49,USGS,02197000,2016-11-18,96.85,96.55,96.64
50,USGS,02197000,2016-11-19,96.61,96.31,96.52
51,USGS,02197000,2016-11-20,96.46,96.16,96.27
52,USGS,02197000,2016-11-21,97.25,96.33,96.70
53,USGS,02197000,2016-11-22,97.23,96.67,96.99
54,USGS,02197000,2016-11-23,96.88,96.46,96.61
55,USGS,02197000,2016-11-24,96.85,96.42,96.64
56,USGS,02197000,2016-11-25,96.71,96.47,96.56
57,USGS,02197000,2016-11-26,96.68,96.43,96.61
58,USGS,02197000,2016-11-27,96.80,96.30,96.46
59,USGS,02197000,2016-11-28,96.86,96.66,96.76
60,USGS,02197000,2016-11-29,96.84,96.40,96.58
61,USGS,02197000,2016-11-30,96.61,96.41,96.50
62,USGS,02197000,2016-12-01,97.47,96.57,96.91
63,USGS,02197000,2016-12-02,97.61,97.05,97.29
64,USGS,02197000,2016-12-03,100.54,97.27,97.65
65,USGS,02197000,2016-12-04,97.59,96.37,97.00
66,USGS,02197000,2016-12-05,97.18,96.42,96.84
67,USGS,02197000,2016-12-06,97.77,96.44,97.36
68,USGS,02197000,2016-12-07,97.70,96.68,97.17
69,USGS,02197000,2016-12-08,97.63,96.68,97.12
