,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02169625,2016-09-30,3.12,3.28,2.69
1,USGS,02169625,2016-10-01,2.32,2.69,2.21
2,USGS,02169625,2016-10-02,2.30,2.33,2.25
3,USGS,02169625,2016-10-03,2.11,2.25,2.01
4,USGS,02169625,2016-10-04,2.09,2.34,1.94
5,USGS,02169625,2016-10-05,4.40,5.83,2.34
6,USGS,02169625,2016-10-06,,,
7,USGS,02169625,2016-10-07,2.73,2.87,2.67
8,USGS,02169625,2016-10-08,4.84,7.53,2.85
9,USGS,02169625,2016-10-09,7.77,7.98,7.39
10,USGS,02169625,2016-10-10,6.17,7.39,5.00
11,USGS,02169625,2016-10-11,4.21,5.00,3.71
12,USGS,02169625,2016-10-12,3.49,3.71,3.36
13,USGS,02169625,2016-10-13,3.23,3.36,3.11
14,USGS,02169625,2016-10-14,2.98,3.11,2.85
15,USGS,02169625,2016-10-15,3.04,3.13,2.80
16,USGS,02169625,2016-10-16,2.56,2.80,2.44
17,USGS,02169625,2016-10-17,2.47,2.56,2.40
18,USGS,02169625,2016-10-18,2.29,2.49,2.16
19,USGS,02169625,2016-10-19,2.23,2.34,2.11
20,USGS,02169625,2016-10-20,2.10,2.28,1.95
21,USGS,02169625,2016-10-21,1.99,2.17,1.87
22,USGS,02169625,2016-10-22,2.01,2.08,1.92
23,USGS,02169625,2016-10-23,1.96,2.07,1.87
24,USGS,02169625,2016-10-24,1.91,2.07,1.77
25,USGS,02169625,2016-10-25,1.95,2.09,1.82
26,USGS,02169625,2016-10-26,2.05,2.13,1.86
27,USGS,02169625,2016-10-27,1.76,1.93,1.66
28,USGS,02169625,2016-10-28,1.87,1.99,1.71
29,USGS,02169625,2016-10-29,1.90,1.98,1.78
30,USGS,02169625,2016-10-30,1.81,1.96,1.68
31,USGS,02169625,2016-10-31,1.82,1.96,1.70
32,USGS,02169625,2016-11-01,1.72,1.85,1.61
33,USGS,02169625,2016-11-02,1.76,1.88,1.64
34,USGS,02169625,2016-11-03,1.72,1.84,1.62
35,USGS,02169625,2016-11-04,1.95,2.02,1.84
36,USGS,02169625,2016-11-05,1.90,2.09,1.73
37,USGS,02169625,2016-11-06,1.87,2.08,1.75
38,USGS,02169625,2016-11-07,1.78,1.93,1.73
39,USGS,02169625,2016-11-08,1.81,1.94,1.73
40,USGS,02169625,2016-11-09,1.80,1.83,1.77
41,USGS,02169625,2016-11-10,1.75,1.78,1.74
42,USGS,02169625,2016-11-11,1.80,1.86,1.74
43,USGS,02169625,2016-11-12,1.81,1.86,1.77
44,USGS,02169625,2016-11-13,1.82,1.97,1.78
45,USGS,02169625,2016-11-14,2.25,2.34,1.97
46,USGS,02169625,2016-11-15,2.08,2.19,2.02
47,USGS,02169625,2016-11-16,1.96,2.04,1.92
48,USGS,02169625,2016-11-17,2.06,2.13,2.01
49,USGS,02169625,2016-11-18,2.05,2.17,1.94
50,USGS,02169625,2016-11-19,1.96,2.12,1.88
51,USGS,02169625,2016-11-20,1.95,2.02,1.88
52,USGS,02169625,2016-11-21,1.91,2.01,1.84
53,USGS,02169625,2016-11-22,1.95,2.04,1.86
54,USGS,02169625,2016-11-23,1.89,2.02,1.83
55,USGS,02169625,2016-11-24,1.85,1.92,1.81
56,USGS,02169625,2016-11-25,1.87,1.89,1.85
57,USGS,02169625,2016-11-26,1.86,1.89,1.83
58,USGS,02169625,2016-11-27,1.82,1.88,1.79
59,USGS,02169625,2016-11-28,1.82,1.85,1.79
