,agency_cd,site_no,datetime,Temperature_Max,Temperature_Min,Temperature_Mean,"Turbidity, water_Min",Dissolved oxygen_Mean,Gage height_Min,"Turbidity, water_Max",Dissolved oxygen_Max,Gage height_Mean,Gage height_Max,Dissolved oxygen_Min,"Turbidity, water_Mean"
344,USGS,02110704,2017-09-09,23.6,22.8,23.2,2.8,3.1,10.54,3.7,3.2,10.63,10.69,2.9,3.1
345,USGS,02110704,2017-09-10,22.8,22.0,22.4,2.9,3.3,10.48,3.2,3.4,10.53,10.60,3.1,3.0
346,USGS,02110704,2017-09-11,22.0,21.4,21.6,2.7,3.7,10.43,3.2,4.3,10.50,10.74,3.4,2.9
347,USGS,02110704,2017-09-12,22.3,21.3,21.8,3.1,4.5,10.74,12.7,4.7,11.10,11.35,4.3,6.7
348,USGS,02110704,2017-09-13,23.0,22.2,22.6,5.4,4.1,11.33,9.3,4.4,11.44,11.54,4.0,7.1
349,USGS,02110704,2017-09-14,23.5,22.8,23.1,4.7,3.9,11.48,7.5,4.1,11.54,11.58,3.6,5.9
350,USGS,02110704,2017-09-15,23.9,23.2,23.5,3.8,3.4,11.25,5.0,3.7,11.38,11.50,3.2,4.3
351,USGS,02110704,2017-09-16,24.1,23.5,23.8,3.5,3.1,11.03,4.5,3.2,11.15,11.27,3.0,3.7
352,USGS,02110704,2017-09-17,24.3,23.8,24.1,3.4,2.9,10.87,4.3,3.0,10.97,11.05,2.8,3.8
353,USGS,02110704,2017-09-18,24.4,23.9,24.2,3.4,2.8,10.78,4.1,2.9,10.84,10.89,2.7,3.6
354,USGS,02110704,2017-09-19,24.5,23.9,24.2,3.3,2.8,10.69,4.8,2.9,10.75,10.80,2.7,3.5
355,USGS,02110704,2017-09-20,24.6,24.0,24.3,3.2,2.7,10.61,3.8,2.8,10.67,10.72,2.6,3.4
356,USGS,02110704,2017-09-21,24.8,24.3,24.5,3.2,2.7,10.53,3.8,2.8,10.59,10.63,2.6,3.4
357,USGS,02110704,2017-09-22,24.8,24.3,24.5,3.2,2.6,10.41,3.9,2.7,10.49,10.56,2.4,3.4
358,USGS,02110704,2017-09-23,24.8,24.3,24.6,3.1,2.5,10.26,4.0,2.6,10.35,10.43,2.4,3.4
359,USGS,02110704,2017-09-24,24.8,24.4,24.6,3.2,2.5,10.09,3.9,2.5,10.18,10.26,2.4,3.5
360,USGS,02110704,2017-09-25,24.5,24.1,24.3,3.2,2.4,9.94,3.8,2.5,10.04,10.12,2.3,3.5
361,USGS,02110704,2017-09-26,24.4,23.9,24.1,3.3,2.4,9.79,4.6,2.5,9.89,9.99,2.2,3.6
362,USGS,02110704,2017-09-27,24.8,24.1,24.4,3.5,2.4,9.59,4.6,2.4,9.70,9.81,2.3,3.9
363,USGS,02110704,2017-09-28,25.1,24.4,24.7,3.5,2.4,9.39,6.3,2.4,9.49,9.61,2.3,3.8
364,USGS,02110704,2017-09-29,25.3,24.8,25.0,3.5,2.3,9.15,6.7,2.4,9.27,9.40,2.2,3.9
365,USGS,02110704,2017-09-30,25.2,24.7,25.0,3.6,2.4,8.92,6.2,2.5,9.05,9.18,2.3,4.1
