,agency_cd,site_no,datetime,"Turbidity, water",Temperature_Min,Dissolved oxygen_Max,Temperature_Max,"Turbidity, water_Max",Temperature_Mean,Gage height,Dissolved oxygen_Mean,Precipitation,Gage height,Dissolved oxygen_Min,"Turbidity, water_Min"
0,USGS,0219897993,2016-09-30,24.0,27.2,4.7,27.7,57.0,27.5,4.11,3.8,0.00,-4.37,3.1,13.0
1,USGS,0219897993,2016-10-01,19.0,26.9,4.5,27.7,67.0,27.4,4.13,3.9,0.00,-4.02,3.3,14.0
2,USGS,0219897993,2016-10-02,27.0,26.9,4.5,27.6,52.0,27.3,4.11,3.9,0.00,-3.41,3.3,16.0
3,USGS,0219897993,2016-10-03,37.0,26.8,4.9,27.6,82.0,27.2,4.23,4.0,0.00,-3.18,3.3,16.0
4,USGS,0219897993,2016-10-04,64.0,26.7,5.2,27.2,130,26.9,4.45,4.2,0.00,-2.93,3.5,20.0
5,USGS,0219897993,2016-10-05,45.0,25.9,5.0,26.8,71.0,26.3,4.51,4.3,0.00,-1.89,3.5,18.0
6,USGS,0219897993,2016-10-06,29.0,25.2,5.7,26.1,72.0,25.6,4.79,4.7,0.00,-1.17,4.0,17.0
7,USGS,0219897993,2016-10-07,23.0,24.5,6.5,25.5,57.0,25.0,5.77,5.4,,-0.83,4.5,5.9
8,USGS,0219897993,2016-10-08,26.0,23.6,6.5,24.8,74.0,24.2,8.07,5.9,,-3.10,5.1,7.4
9,USGS,0219897993,2016-10-09,38.0,23.0,5.8,24.1,54.0,23.6,3.87,5.4,0.00,-2.19,4.8,20.0
10,USGS,0219897993,2016-10-10,36.0,22.7,5.4,24.1,53.0,23.4,4.50,5.0,0.00,-1.58,4.7,18.0
11,USGS,0219897993,2016-10-11,29.0,22.3,5.3,23.8,42.0,23.1,4.66,4.9,0.00,-1.58,4.5,14.0
12,USGS,0219897993,2016-10-12,34.0,22.2,5.4,23.1,81.0,22.7,5.17,4.9,0.00,-2.37,4.4,15.0
13,USGS,0219897993,2016-10-13,41.0,22.4,4.9,22.8,110,22.6,5.01,4.4,0.00,-3.39,3.7,24.0
14,USGS,0219897993,2016-10-14,55.0,22.2,4.6,22.8,270,22.5,5.20,4.0,0.00,-4.08,3.3,32.0
15,USGS,0219897993,2016-10-15,77.0,22.1,4.9,22.7,260,22.4,5.52,4.0,0.20,-3.69,3.2,41.0
16,USGS,0219897993,2016-10-16,78.0,21.9,4.9,22.6,220,22.3,5.78,4.0,0.00,-4.57,2.8,45.0
17,USGS,0219897993,2016-10-17,92.0,22.0,4.8,23.0,170,22.5,5.69,3.6,0.00,-4.66,2.5,42.0
18,USGS,0219897993,2016-10-18,90.0,22.3,4.6,23.3,180,22.8,5.53,3.3,0.00,-4.66,2.3,41.0
19,USGS,0219897993,2016-10-19,82.0,22.7,4.2,23.6,250,23.1,5.37,3.1,0.00,-4.64,2.1,44.0
20,USGS,0219897993,2016-10-20,66.0,23.0,4.0,24.1,100,23.4,5.34,3.0,0.00,-4.18,2.2,47.0
21,USGS,0219897993,2016-10-21,62.0,23.2,4.1,24.0,100,23.6,4.87,3.1,0.00,-4.93,2.3,37.0
22,USGS,0219897993,2016-10-22,63.0,22.3,4.7,23.6,120,23.0,4.60,3.8,0.00,-3.72,3.1,29.0
23,USGS,0219897993,2016-10-23,63.0,22.1,4.9,23.1,85.0,22.6,4.31,3.9,0.00,-2.94,3.2,28.0
24,USGS,0219897993,2016-10-24,60.0,21.8,4.8,22.6,110,22.3,4.03,4.0,0.00,-3.31,3.3,28.0
25,USGS,0219897993,2016-10-25,53.0,21.8,5.4,22.3,130,22.1,4.28,4.3,0.00,-2.78,3.4,28.0
26,USGS,0219897993,2016-10-26,39.5,21.6,5.3,22.1,120,21.9,4.19,4.5,0.00,-3.04,3.6,16.0
27,USGS,0219897993,2016-10-27,44.0,21.6,5.3,22.1,110,21.9,4.27,4.5,0.00,-3.44,3.7,22.0
28,USGS,0219897993,2016-10-28,,21.6,5.1,22.2,,21.9,4.11,4.4,0.00,-3.80,3.6,
29,USGS,0219897993,2016-10-29,,21.7,5.0,22.3,,22.0,4.05,4.3,0.00,-3.80,3.4,
30,USGS,0219897993,2016-10-30,,21.7,4.9,22.4,,22.1,4.10,4.3,0.01,-3.74,3.5,
31,USGS,0219897993,2016-10-31,,21.8,5.0,22.6,,22.3,3.98,4.3,0.00,-3.89,3.8,
32,USGS,0219897993,2016-11-01,,22.0,5.2,22.7,,22.3,4.50,4.5,,-2.82,3.6,
33,USGS,0219897993,2016-11-02,27.2,22.0,5.1,22.9,72.4,22.4,4.28,4.6,0.00,-3.30,4.1,14.3
34,USGS,0219897993,2016-11-03,26.5,22.3,5.2,23.0,84.7,22.6,3.82,4.6,0.00,-3.41,4.2,18.1
35,USGS,0219897993,2016-11-04,23.4,22.4,5.4,22.9,52.2,22.6,3.40,4.9,0.00,-3.12,4.4,14.7
36,USGS,0219897993,2016-11-05,19.6,21.7,5.8,22.8,40.2,22.3,4.18,5.2,0.00,-2.42,4.8,11.8
37,USGS,0219897993,2016-11-06,16.9,21.5,5.9,22.4,45.4,21.9,3.90,5.3,0.00,-2.42,4.9,12.0
38,USGS,0219897993,2016-11-07,16.1,21.1,6.2,21.9,29.8,21.4,4.05,5.6,0.00,-2.26,5.0,10.3
39,USGS,0219897993,2016-11-08,16.8,20.6,6.2,21.4,55.9,21.0,4.21,5.7,0.00,-2.44,5.2,10.8
40,USGS,0219897993,2016-11-09,18.5,20.0,6.2,21.0,35.1,20.5,3.97,5.7,0.00,-3.43,5.2,10.3
41,USGS,0219897993,2016-11-10,26.6,19.4,6.3,20.4,69.4,20.0,4.34,5.8,0.00,-3.90,5.3,12.1
42,USGS,0219897993,2016-11-11,30.5,19.1,6.3,19.9,72.3,19.5,4.77,5.8,0.00,-3.57,5.3,14.4
43,USGS,0219897993,2016-11-12,46.8,18.7,6.6,19.4,121,19.0,5.69,6.0,0.00,-4.62,5.1,17.0
44,USGS,0219897993,2016-11-13,55.0,18.0,6.7,18.7,105,18.3,6.17,6.0,0.00,-3.52,5.2,18.7
45,USGS,0219897993,2016-11-14,70.5,17.3,6.6,18.0,165,17.6,6.07,5.9,0.00,-4.68,5.2,25.3
46,USGS,0219897993,2016-11-15,66.2,16.9,6.3,17.5,134,17.3,5.64,5.7,0.00,-5.26,5.2,23.5
47,USGS,0219897993,2016-11-16,63.7,16.7,6.4,17.5,105,17.1,5.74,5.7,0.00,-5.53,5.2,19.7
48,USGS,0219897993,2016-11-17,56.9,16.6,6.2,17.4,119,17.1,5.16,5.7,0.00,-4.83,5.2,22.2
49,USGS,0219897993,2016-11-18,39.6,16.6,6.1,17.6,69.6,17.1,4.91,5.8,0.01,-4.47,5.4,16.7
50,USGS,0219897993,2016-11-19,31.9,16.5,6.4,17.5,66.3,17.1,4.53,6.0,0.00,-4.67,5.7,14.3
51,USGS,0219897993,2016-11-20,27.2,15.9,6.9,17.2,51.5,16.6,4.33,6.5,0.00,-3.63,6.2,17.6
52,USGS,0219897993,2016-11-21,21.0,15.5,7.0,16.8,31.1,16.2,3.95,6.7,0.00,-3.32,6.4,12.6
53,USGS,0219897993,2016-11-22,18.4,15.4,7.1,16.3,30.9,15.9,3.62,6.8,0.00,-3.15,6.5,12.3
54,USGS,0219897993,2016-11-23,17.9,15.3,7.2,16.0,30.0,15.8,3.47,6.9,,-3.49,6.6,11.9
55,USGS,0219897993,2016-11-24,17.0,15.7,7.1,16.3,33.3,16.0,3.44,6.9,,-4.33,6.7,12.5
56,USGS,0219897993,2016-11-25,17.3,15.8,7.2,16.6,58.8,16.1,3.51,6.9,,-3.67,6.7,9.8
57,USGS,0219897993,2016-11-26,20.0,16.0,7.2,16.7,37.4,16.3,3.50,6.9,0.06,-3.87,6.7,9.5
58,USGS,0219897993,2016-11-27,19.4,15.8,7.3,16.6,35.2,16.3,4.33,7.0,0.00,-2.73,6.7,10.9
59,USGS,0219897993,2016-11-28,26.1,15.6,7.3,16.4,46.7,16.1,4.77,7.1,0.00,-3.20,6.7,15.4
60,USGS,0219897993,2016-11-29,27.5,15.9,7.4,17.0,52.2,16.5,4.19,7.2,0.00,-3.85,6.8,17.8
61,USGS,0219897993,2016-11-30,27.4,16.6,7.3,17.4,51.3,17.0,3.94,7.1,0.00,-4.03,6.7,16.9
62,USGS,0219897993,2016-12-01,24.7,17.0,7.1,17.4,38.1,17.2,3.30,6.9,0.09,-4.66,6.5,13.8
63,USGS,0219897993,2016-12-02,22.5,16.5,7.1,17.3,68.9,17.0,3.42,6.8,0.00,-4.31,6.4,15.3
64,USGS,0219897993,2016-12-03,23.2,16.4,7.2,17.1,50.7,16.8,3.55,6.7,0.00,-3.59,6.4,15.3
65,USGS,0219897993,2016-12-04,20.7,16.3,7.3,16.8,44.9,16.6,4.24,6.8,0.00,-3.11,6.3,15.4
66,USGS,0219897993,2016-12-05,21.6,16.5,7.0,16.7,33.4,16.6,3.62,6.6,1.23,-3.19,6.3,13.9
67,USGS,0219897993,2016-12-06,20.0,16.4,7.0,17.0,36.0,16.6,4.10,6.7,1.53,-3.22,6.2,14.0
68,USGS,0219897993,2016-12-07,24.9,16.4,6.8,16.8,68.3,16.6,3.84,6.5,0.00,-3.16,6.2,14.2
69,USGS,0219897993,2016-12-08,23.4,16.0,6.9,16.6,46.5,16.4,3.88,6.6,0.00,-4.09,6.2,15.7
70,USGS,0219897993,2016-12-09,37.3,14.8,7.1,16.4,127,15.9,4.08,6.8,0.00,-4.42,6.4,22.2
71,USGS,0219897993,2016-12-10,40.8,14.0,7.2,15.8,104,15.3,4.43,6.8,0.00,-4.68,6.5,17.8
72,USGS,0219897993,2016-12-11,57.2,14.0,7.3,14.9,125,14.6,5.03,6.8,0.00,-4.19,6.4,26.6
73,USGS,0219897993,2016-12-12,71.5,13.5,7.2,14.6,141,14.3,5.11,6.7,0.07,-5.55,6.1,36.3
74,USGS,0219897993,2016-12-13,75.0,13.8,7.1,14.8,223,14.5,5.17,6.6,0.33,-6.13,6.2,32.6
75,USGS,0219897993,2016-12-14,72.8,14.2,6.9,15.1,146,14.6,5.31,6.5,0.50,-5.62,6.0,31.2
76,USGS,0219897993,2016-12-15,65.2,14.2,6.9,14.9,125,14.6,5.47,6.5,0.00,-4.96,6.1,30.7
77,USGS,0219897993,2016-12-16,74.1,13.7,7.2,14.6,167,14.1,5.85,6.8,0.00,-4.78,6.4,23.9
78,USGS,0219897993,2016-12-17,59.4,13.1,7.3,14.2,111,13.7,4.92,6.9,0.00,-5.22,6.5,30.6
79,USGS,0219897993,2016-12-18,43.0,13.3,7.2,14.1,116,13.8,4.14,6.9,0.00,-5.19,6.7,27.7
80,USGS,0219897993,2016-12-19,32.8,13.6,7.4,14.2,79.1,13.9,4.45,7.1,0.87,-4.62,6.8,20.7
81,USGS,0219897993,2016-12-20,29.0,13.1,7.5,14.0,113,13.5,4.04,7.3,0.02,-3.15,7.0,17.3
82,USGS,0219897993,2016-12-21,27.9,12.9,7.7,13.6,63.2,13.3,3.65,7.5,0.00,-3.04,7.3,18.4
83,USGS,0219897993,2016-12-22,23.4,12.9,7.6,13.5,38.7,13.2,3.40,7.4,0.00,-3.29,7.3,16.5
84,USGS,0219897993,2016-12-23,19.0,12.7,7.9,13.4,51.1,13.2,3.82,7.6,0.00,-2.65,7.3,14.6
85,USGS,0219897993,2016-12-24,22.9,13.2,7.8,13.6,64.5,13.3,4.04,7.6,0.00,-3.69,7.4,15.1
86,USGS,0219897993,2016-12-25,16.9,13.2,7.9,13.8,36.5,13.5,3.40,7.6,0.00,-3.60,7.4,11.8
87,USGS,0219897993,2016-12-26,19.3,13.5,8.0,13.9,36.7,13.7,3.95,7.8,0.01,-3.97,7.6,11.3
88,USGS,0219897993,2016-12-27,18.0,13.6,7.9,14.2,40.8,13.9,3.89,7.7,0.02,-4.02,7.4,13.0
89,USGS,0219897993,2016-12-28,31.6,13.9,7.7,14.6,74.8,14.2,3.64,7.6,0.01,-4.92,7.5,15.7
90,USGS,0219897993,2016-12-29,38.6,14.2,7.7,14.9,94.1,14.5,3.80,7.5,0.23,-4.96,7.4,17.0
91,USGS,0219897993,2016-12-30,34.1,13.9,8.0,14.4,87.6,14.1,2.95,7.7,0.00,-5.42,7.4,20.3
92,USGS,0219897993,2016-12-31,36.6,13.4,7.9,14.0,95.5,13.8,3.73,7.6,0.00,-4.65,7.4,18.8
93,USGS,0219897993,2017-01-01,29.3,13.6,7.7,14.0,106,13.8,3.80,7.5,0.03,-4.47,7.2,17.7
94,USGS,0219897993,2017-01-02,26.9,13.9,7.7,14.6,57.2,14.1,3.35,7.5,0.00,-4.78,7.3,18.3
95,USGS,0219897993,2017-01-03,34.5,14.2,7.8,14.9,65.6,14.5,3.35,7.6,0.55,-5.05,7.3,24.1
96,USGS,0219897993,2017-01-04,34.3,14.5,7.7,14.8,86.5,14.6,3.26,7.5,0.00,-6.81,7.3,18.9
97,USGS,0219897993,2017-01-05,35.8,14.2,7.7,14.9,68.6,14.6,3.65,7.4,0.00,-5.14,7.0,23.2
98,USGS,0219897993,2017-01-06,37.0,14.4,7.6,14.8,56.3,14.6,3.82,7.3,0.02,-4.03,7.0,24.8
99,USGS,0219897993,2017-01-07,46.6,12.9,7.8,14.6,94.3,14.0,4.17,7.5,1.72,-4.43,7.0,26.4
100,USGS,0219897993,2017-01-08,40.8,11.8,8.0,13.8,98.3,13.1,3.85,7.8,0.00,-5.07,7.5,28.2
101,USGS,0219897993,2017-01-09,46.4,11.4,8.1,12.8,106,12.3,4.66,7.9,0.00,-4.06,7.6,24.8
102,USGS,0219897993,2017-01-10,45.8,11.1,8.3,11.9,143,11.6,5.05,8.0,0.00,-5.07,7.7,28.2
103,USGS,0219897993,2017-01-11,58.3,10.6,8.2,11.6,174,11.4,5.20,7.9,0.00,-5.73,7.7,36.0
104,USGS,0219897993,2017-01-12,63.2,10.9,8.1,11.7,135,11.4,4.76,7.9,0.00,-6.14,7.7,35.0
105,USGS,0219897993,2017-01-13,76.8,10.8,7.9,11.9,137,11.5,4.49,7.8,0.00,-6.11,7.6,31.6
106,USGS,0219897993,2017-01-14,63.1,11.1,8.1,12.2,110,11.7,4.16,7.8,0.03,-6.19,7.6,23.4
107,USGS,0219897993,2017-01-15,53.0,11.6,8.2,12.5,85.4,12.1,4.05,8.0,0.02,-5.61,7.6,28.6
108,USGS,0219897993,2017-01-16,43.7,12.1,8.1,13.1,75.7,12.5,3.75,7.9,0.02,-4.91,7.7,26.9
109,USGS,0219897993,2017-01-17,40.5,12.7,7.9,13.5,102,13.1,3.50,7.8,0.02,-5.06,7.6,27.4
110,USGS,0219897993,2017-01-18,37.2,13.3,7.9,14.3,83.7,13.6,2.71,7.7,0.00,-5.15,7.5,26.8
111,USGS,0219897993,2017-01-19,29.8,13.8,7.9,15.0,72.4,14.1,3.07,7.6,0.00,-3.65,7.2,21.0
112,USGS,0219897993,2017-01-20,26.8,14.1,7.7,15.1,81.4,14.4,3.28,7.4,0.01,-2.77,7.1,18.9
113,USGS,0219897993,2017-01-21,25.4,14.4,7.5,15.4,48.0,14.8,3.28,7.2,0.96,-2.90,6.9,16.5
114,USGS,0219897993,2017-01-22,27.9,14.8,7.7,15.6,48.0,15.2,3.26,7.3,4.88,-2.92,6.9,21.3
115,USGS,0219897993,2017-01-23,32.8,15.0,7.7,15.6,63.9,15.2,3.58,7.3,0.07,-4.49,7.0,22.7
116,USGS,0219897993,2017-01-24,34.1,14.8,7.6,15.4,49.1,15.1,3.41,7.3,0.00,-3.93,7.0,25.7
117,USGS,0219897993,2017-01-25,37.3,14.8,7.3,15.6,72.5,15.1,3.76,7.0,0.00,-4.19,6.6,27.4
118,USGS,0219897993,2017-01-26,45.4,14.9,7.2,15.5,94.4,15.2,3.58,6.9,0.01,-5.24,6.5,32.3
119,USGS,0219897993,2017-01-27,56.0,14.4,7.3,15.0,101,14.8,3.47,7.0,0.00,-5.42,6.6,37.3
120,USGS,0219897993,2017-01-28,59.9,13.9,7.5,14.6,90.1,14.2,3.33,7.2,0.00,-5.84,6.8,36.4
121,USGS,0219897993,2017-01-29,62.2,13.3,7.6,13.9,91.8,13.7,3.29,7.3,0.00,-6.00,6.9,39.6
122,USGS,0219897993,2017-01-30,60.0,12.6,8.0,13.4,114,13.0,3.50,7.6,0.00,-5.81,7.2,39.0
123,USGS,0219897993,2017-01-31,57.9,12.1,7.8,13.2,102,12.7,3.51,7.6,0.00,-5.85,7.3,31.7
124,USGS,0219897993,2017-02-01,61.2,12.2,7.8,13.2,86.0,12.7,3.05,7.5,0.07,-5.85,7.1,37.6
125,USGS,0219897993,2017-02-02,59.5,12.4,7.8,13.3,86.4,12.8,3.21,7.5,0.00,-5.33,7.3,39.2
126,USGS,0219897993,2017-02-03,53.5,12.6,7.8,13.5,86.5,13.1,3.34,7.5,0.00,-4.75,7.4,33.6
127,USGS,0219897993,2017-02-04,,12.6,8.2,13.6,,13.1,3.98,7.8,0.00,-3.09,7.5,
128,USGS,0219897993,2017-02-05,,12.8,7.9,13.4,,13.1,4.49,7.7,0.00,-4.52,7.5,
129,USGS,0219897993,2017-02-06,,12.9,7.9,13.6,,13.1,3.82,7.6,,-5.22,7.3,
130,USGS,0219897993,2017-02-07,30.4,13.1,7.8,14.1,97.0,13.5,4.26,7.5,,-5.29,7.1,17.3
131,USGS,0219897993,2017-02-08,29.2,13.7,7.8,14.3,88.9,14.0,3.86,7.4,0.15,-5.29,6.9,17.8
132,USGS,0219897993,2017-02-09,46.8,14.1,8.0,14.6,131,14.4,3.84,7.5,0.00,-6.67,7.0,26.2
133,USGS,0219897993,2017-02-10,47.0,14.0,8.0,14.5,166,14.3,4.26,7.7,0.00,-6.64,7.3,29.5
134,USGS,0219897993,2017-02-11,53.2,14.0,7.8,14.6,125,14.3,4.09,7.5,0.00,-5.62,7.0,27.6
135,USGS,0219897993,2017-02-12,53.8,14.3,7.7,15.1,215,14.6,3.60,7.4,0.00,-6.33,7.1,34.1
136,USGS,0219897993,2017-02-13,46.5,14.8,7.7,15.4,100,15.0,3.91,7.4,0.00,-6.02,7.1,25.0
137,USGS,0219897993,2017-02-14,36.3,14.9,7.7,15.8,64.0,15.2,3.70,7.4,0.00,-4.88,7.1,23.6
138,USGS,0219897993,2017-02-15,28.5,15.3,7.9,16.0,50.6,15.5,3.45,7.6,0.01,-5.36,7.2,17.6
139,USGS,0219897993,2017-02-16,25.0,15.0,8.0,15.7,58.9,15.4,2.95,7.8,0.00,-3.88,7.5,15.1
140,USGS,0219897993,2017-02-17,18.8,14.9,7.9,16.0,42.5,15.4,3.02,7.6,0.00,-3.82,7.4,12.5
141,USGS,0219897993,2017-02-18,14.3,15.1,7.8,15.6,35.3,15.4,2.68,7.5,0.00,-3.51,7.2,10.5
142,USGS,0219897993,2017-02-19,13.6,15.1,7.9,16.2,47.2,15.5,2.71,7.5,0.00,-2.95,7.2,8.3
143,USGS,0219897993,2017-02-20,10.9,15.3,8.1,16.5,29.1,15.7,2.90,7.5,0.00,-2.94,7.2,6.8
144,USGS,0219897993,2017-02-21,11.1,15.5,8.0,16.3,36.7,15.8,3.14,7.6,0.00,-3.06,7.3,8.0
145,USGS,0219897993,2017-02-22,10.8,15.8,8.0,16.1,29.9,15.9,3.55,7.7,0.44,-3.09,7.4,7.5
146,USGS,0219897993,2017-02-23,17.7,15.9,7.9,16.6,29.9,16.2,4.09,7.7,0.00,-3.07,7.4,10.4
147,USGS,0219897993,2017-02-24,22.9,16.2,7.7,17.1,56.1,16.6,4.18,7.5,0.00,-3.64,7.2,13.3
148,USGS,0219897993,2017-02-25,27.7,16.6,7.5,17.6,58.7,17.0,4.11,7.3,0.01,-4.53,7.0,15.4
