,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max,Precipitation
0,USGS,02130840,2016-09-30,4.83,4.50,4.99,0.00
1,USGS,02130840,2016-10-01,4.29,4.18,4.53,0.00
2,USGS,02130840,2016-10-02,4.12,4.04,4.18,0.00
3,USGS,02130840,2016-10-03,4.01,3.97,4.04,0.00
4,USGS,02130840,2016-10-04,3.93,3.88,3.97,0.00
5,USGS,02130840,2016-10-05,3.87,3.86,3.88,0.00
6,USGS,02130840,2016-10-06,3.90,3.88,3.92,0.00
7,USGS,02130840,2016-10-07,4.12,3.92,4.80,0.70
8,USGS,02130840,2016-10-08,7.21,4.80,9.28,5.23
9,USGS,02130840,2016-10-09,9.00,8.32,9.34,0.00
10,USGS,02130840,2016-10-10,7.74,7.08,8.32,0.00
11,USGS,02130840,2016-10-11,6.35,5.81,7.08,0.00
12,USGS,02130840,2016-10-12,5.57,5.40,5.81,0.00
13,USGS,02130840,2016-10-13,5.26,5.10,5.40,0.00
14,USGS,02130840,2016-10-14,5.07,5.03,5.11,0.00
15,USGS,02130840,2016-10-15,5.04,5.02,5.07,0.00
16,USGS,02130840,2016-10-16,5.08,5.02,5.14,0.00
17,USGS,02130840,2016-10-17,4.96,4.89,5.03,0.00
18,USGS,02130840,2016-10-18,4.86,4.80,4.89,0.00
19,USGS,02130840,2016-10-19,4.72,4.65,4.80,0.00
20,USGS,02130840,2016-10-20,4.62,4.58,4.65,0.00
21,USGS,02130840,2016-10-21,4.57,4.52,4.58,0.00
22,USGS,02130840,2016-10-22,4.50,4.46,4.52,0.00
23,USGS,02130840,2016-10-23,4.43,4.41,4.46,0.00
24,USGS,02130840,2016-10-24,4.42,4.41,4.43,0.00
25,USGS,02130840,2016-10-25,4.41,4.38,4.42,0.00
26,USGS,02130840,2016-10-26,4.38,4.37,4.39,0.00
27,USGS,02130840,2016-10-27,4.39,4.37,4.40,0.00
28,USGS,02130840,2016-10-28,4.40,4.38,4.41,0.00
29,USGS,02130840,2016-10-29,4.38,4.37,4.40,0.00
30,USGS,02130840,2016-10-30,4.38,4.37,4.39,0.00
31,USGS,02130840,2016-10-31,4.37,4.36,4.38,0.00
32,USGS,02130840,2016-11-01,4.35,4.34,4.36,0.00
33,USGS,02130840,2016-11-02,4.36,4.34,4.38,0.00
34,USGS,02130840,2016-11-03,4.39,4.38,4.39,0.00
35,USGS,02130840,2016-11-04,4.38,4.35,4.40,0.00
36,USGS,02130840,2016-11-05,4.35,4.34,4.36,0.00
37,USGS,02130840,2016-11-06,4.36,4.36,4.37,0.00
38,USGS,02130840,2016-11-07,4.36,4.34,4.37,0.00
39,USGS,02130840,2016-11-08,4.41,4.33,4.66,0.00
40,USGS,02130840,2016-11-09,4.46,4.38,4.66,0.00
41,USGS,02130840,2016-11-10,4.36,4.34,4.38,0.00
42,USGS,02130840,2016-11-11,4.34,4.33,4.34,0.00
43,USGS,02130840,2016-11-12,4.32,4.31,4.33,0.00
44,USGS,02130840,2016-11-13,4.34,4.30,4.52,0.46
45,USGS,02130840,2016-11-14,4.75,4.52,4.80,0.00
46,USGS,02130840,2016-11-15,4.75,4.65,4.80,0.00
47,USGS,02130840,2016-11-16,4.57,4.51,4.65,0.00
48,USGS,02130840,2016-11-17,4.47,4.43,4.51,0.00
49,USGS,02130840,2016-11-18,4.41,4.38,4.43,0.00
50,USGS,02130840,2016-11-19,4.38,4.37,4.39,0.00
51,USGS,02130840,2016-11-20,4.35,4.34,4.37,0.00
52,USGS,02130840,2016-11-21,4.36,4.34,4.37,0.00
53,USGS,02130840,2016-11-22,4.34,4.33,4.35,0.00
54,USGS,02130840,2016-11-23,4.36,4.33,4.37,0.00
55,USGS,02130840,2016-11-24,4.37,4.36,4.37,0.00
56,USGS,02130840,2016-11-25,4.38,4.37,4.39,0.00
