,agency_cd,site_no,datetime,Gage height_Min,Precipitation,Gage height_Max,Gage height_Mean
0,USGS,02197500,2016-09-30,4.96,0.00,7.14,5.68
1,USGS,02197500,2016-10-01,7.14,0.00,7.96,7.71
2,USGS,02197500,2016-10-02,5.71,0.00,7.33,6.44
3,USGS,02197500,2016-10-03,4.69,0.00,5.71,5.22
4,USGS,02197500,2016-10-04,4.43,,4.69,4.52
5,USGS,02197500,2016-10-05,4.43,0.00,4.52,4.48
6,USGS,02197500,2016-10-06,4.52,0.00,4.82,4.70
7,USGS,02197500,2016-10-07,4.78,2.47,4.93,4.87
8,USGS,02197500,2016-10-08,4.81,2.81,6.18,5.30
9,USGS,02197500,2016-10-09,6.18,0.00,7.25,6.96
10,USGS,02197500,2016-10-10,6.50,0.00,7.24,6.96
11,USGS,02197500,2016-10-11,5.62,0.00,6.50,6.04
12,USGS,02197500,2016-10-12,5.27,0.00,5.62,5.43
13,USGS,02197500,2016-10-13,5.07,0.00,5.27,5.17
14,USGS,02197500,2016-10-14,4.89,0.00,5.07,5.02
15,USGS,02197500,2016-10-15,4.86,0.00,4.89,4.87
16,USGS,02197500,2016-10-16,4.86,0.00,5.06,4.95
17,USGS,02197500,2016-10-17,4.79,0.00,5.07,4.98
18,USGS,02197500,2016-10-18,4.69,0.00,4.79,4.71
19,USGS,02197500,2016-10-19,4.40,0.00,4.70,4.58
20,USGS,02197500,2016-10-20,4.28,0.00,4.40,4.33
21,USGS,02197500,2016-10-21,4.25,0.00,4.28,4.27
22,USGS,02197500,2016-10-22,4.24,0.00,4.33,4.29
23,USGS,02197500,2016-10-23,4.24,0.00,4.44,4.34
24,USGS,02197500,2016-10-24,4.24,0.00,4.44,4.35
25,USGS,02197500,2016-10-25,4.20,0.00,4.25,4.23
26,USGS,02197500,2016-10-26,4.19,0.00,4.27,4.22
27,USGS,02197500,2016-10-27,4.27,0.00,4.52,4.42
28,USGS,02197500,2016-10-28,4.46,0.00,4.52,4.48
29,USGS,02197500,2016-10-29,4.52,0.00,4.60,4.55
30,USGS,02197500,2016-10-30,4.60,0.00,4.76,4.71
31,USGS,02197500,2016-10-31,4.47,0.00,4.70,4.63
32,USGS,02197500,2016-11-01,4.31,0.00,4.47,4.43
33,USGS,02197500,2016-11-02,4.26,0.00,4.34,4.29
34,USGS,02197500,2016-11-03,4.34,0.00,4.47,4.42
35,USGS,02197500,2016-11-04,4.24,0.00,4.35,4.29
36,USGS,02197500,2016-11-05,4.04,0.00,4.24,4.11
37,USGS,02197500,2016-11-06,4.11,0.00,4.80,4.54
38,USGS,02197500,2016-11-07,4.16,0.00,4.80,4.52
39,USGS,02197500,2016-11-08,3.90,0.00,4.16,4.00
40,USGS,02197500,2016-11-09,3.81,0.00,3.90,3.84
41,USGS,02197500,2016-11-10,3.84,0.00,4.09,3.96
42,USGS,02197500,2016-11-11,4.09,0.00,4.21,4.16
43,USGS,02197500,2016-11-12,4.21,0.00,4.40,4.32
44,USGS,02197500,2016-11-13,4.20,0.01,4.40,4.34
45,USGS,02197500,2016-11-14,4.12,0.01,4.65,4.26
46,USGS,02197500,2016-11-15,4.47,0.00,4.83,4.72
47,USGS,02197500,2016-11-16,4.41,0.00,4.59,4.50
48,USGS,02197500,2016-11-17,4.08,0.00,4.50,4.21
49,USGS,02197500,2016-11-18,4.18,0.00,4.32,4.28
50,USGS,02197500,2016-11-19,4.18,0.00,4.31,4.26
51,USGS,02197500,2016-11-20,4.03,0.00,4.18,4.11
52,USGS,02197500,2016-11-21,3.86,0.00,4.03,3.92
53,USGS,02197500,2016-11-22,3.86,0.00,4.16,3.96
54,USGS,02197500,2016-11-23,4.16,0.00,4.37,4.32
55,USGS,02197500,2016-11-24,4.17,0.00,4.35,4.23
56,USGS,02197500,2016-11-25,4.14,0.00,4.18,4.16
57,USGS,02197500,2016-11-26,4.08,0.00,4.14,4.10
58,USGS,02197500,2016-11-27,4.09,0.00,4.12,4.11
59,USGS,02197500,2016-11-28,4.00,0.00,4.09,4.03
60,USGS,02197500,2016-11-29,4.04,0.00,4.21,4.14
61,USGS,02197500,2016-11-30,4.15,0.32,4.22,4.20
62,USGS,02197500,2016-12-01,4.12,0.02,4.15,4.13
63,USGS,02197500,2016-12-02,4.15,0.00,4.51,4.30
64,USGS,02197500,2016-12-03,4.51,0.00,4.83,4.68
65,USGS,02197500,2016-12-04,4.83,0.03,5.09,5.00
66,USGS,02197500,2016-12-05,4.85,1.97,5.09,4.96
67,USGS,02197500,2016-12-06,4.92,,5.65,5.33
68,USGS,02197500,2016-12-07,,,,
69,USGS,02197500,2016-12-08,,,,
70,USGS,02197500,2016-12-09,5.58,0.00,6.01,5.82
71,USGS,02197500,2016-12-10,5.00,0.00,5.58,5.33
72,USGS,02197500,2016-12-11,4.82,0.00,5.15,4.92
73,USGS,02197500,2016-12-12,5.13,0.12,5.27,5.21
