,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Gage height_Max
0,USGS,02131000,2016-09-30,9.02,10.70,11.89
1,USGS,02131000,2016-10-01,11.47,12.05,12.29
2,USGS,02131000,2016-10-02,8.32,9.91,11.47
3,USGS,02131000,2016-10-03,6.80,7.35,8.32
4,USGS,02131000,2016-10-04,5.95,6.43,6.80
5,USGS,02131000,2016-10-05,5.09,5.46,5.95
6,USGS,02131000,2016-10-06,4.63,4.82,5.09
7,USGS,02131000,2016-10-07,4.60,4.65,4.75
8,USGS,02131000,2016-10-08,4.73,9.50,16.70
9,USGS,02131000,2016-10-09,16.70,19.62,20.71
10,USGS,02131000,2016-10-10,20.71,21.27,21.83
11,USGS,02131000,2016-10-11,21.83,22.28,22.67
12,USGS,02131000,2016-10-12,22.67,22.94,23.10
13,USGS,02131000,2016-10-13,22.93,23.09,23.14
14,USGS,02131000,2016-10-14,22.02,22.54,22.93
15,USGS,02131000,2016-10-15,20.55,21.33,22.02
16,USGS,02131000,2016-10-16,18.77,19.68,20.55
17,USGS,02131000,2016-10-17,16.82,17.81,18.77
18,USGS,02131000,2016-10-18,14.61,15.74,16.82
19,USGS,02131000,2016-10-19,12.36,13.49,14.61
20,USGS,02131000,2016-10-20,10.70,11.47,12.36
21,USGS,02131000,2016-10-21,9.36,10.02,10.70
22,USGS,02131000,2016-10-22,7.99,8.68,9.36
23,USGS,02131000,2016-10-23,6.83,7.39,7.99
24,USGS,02131000,2016-10-24,6.27,6.49,6.83
25,USGS,02131000,2016-10-25,5.91,6.10,6.27
26,USGS,02131000,2016-10-26,5.63,5.75,5.91
27,USGS,02131000,2016-10-27,5.48,5.55,5.63
28,USGS,02131000,2016-10-28,5.47,5.53,5.57
29,USGS,02131000,2016-10-29,5.19,5.32,5.47
30,USGS,02131000,2016-10-30,5.02,5.10,5.19
31,USGS,02131000,2016-10-31,4.86,4.94,5.02
32,USGS,02131000,2016-11-01,4.80,4.86,4.90
33,USGS,02131000,2016-11-02,4.90,5.01,5.19
34,USGS,02131000,2016-11-03,5.19,5.30,5.39
35,USGS,02131000,2016-11-04,5.22,5.33,5.40
36,USGS,02131000,2016-11-05,5.08,5.17,5.22
37,USGS,02131000,2016-11-06,4.72,4.95,5.18
38,USGS,02131000,2016-11-07,4.45,4.55,4.72
39,USGS,02131000,2016-11-08,4.44,4.45,4.46
40,USGS,02131000,2016-11-09,4.42,4.45,4.47
41,USGS,02131000,2016-11-10,4.30,4.37,4.42
42,USGS,02131000,2016-11-11,4.30,4.35,4.36
43,USGS,02131000,2016-11-12,4.31,4.40,4.46
44,USGS,02131000,2016-11-13,4.46,4.55,4.72
45,USGS,02131000,2016-11-14,4.71,4.72,4.76
46,USGS,02131000,2016-11-15,4.76,4.88,4.99
47,USGS,02131000,2016-11-16,4.99,5.13,5.44
48,USGS,02131000,2016-11-17,5.44,5.95,6.19
49,USGS,02131000,2016-11-18,5.81,6.05,6.19
50,USGS,02131000,2016-11-19,5.24,5.50,5.81
51,USGS,02131000,2016-11-20,4.78,5.00,5.24
52,USGS,02131000,2016-11-21,4.53,4.63,4.78
53,USGS,02131000,2016-11-22,4.46,4.50,4.53
54,USGS,02131000,2016-11-23,4.51,4.82,5.09
55,USGS,02131000,2016-11-24,5.09,5.16,5.21
56,USGS,02131000,2016-11-25,4.71,4.91,5.11
57,USGS,02131000,2016-11-26,4.43,4.53,4.71
58,USGS,02131000,2016-11-27,4.37,4.40,4.43
59,USGS,02131000,2016-11-28,4.26,4.32,4.38
60,USGS,02131000,2016-11-29,4.05,4.18,4.27
61,USGS,02131000,2016-11-30,3.99,4.13,4.53
62,USGS,02131000,2016-12-01,4.53,4.91,5.15
63,USGS,02131000,2016-12-02,5.15,5.24,5.29
64,USGS,02131000,2016-12-03,4.99,5.11,5.24
65,USGS,02131000,2016-12-04,4.77,4.87,4.99
66,USGS,02131000,2016-12-05,4.77,4.93,5.09
67,USGS,02131000,2016-12-06,5.09,5.48,5.84
