,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02155500,2016-09-30,6.11,6.15,6.04
1,USGS,02155500,2016-10-01,6.08,6.12,6.02
2,USGS,02155500,2016-10-02,6.04,6.07,5.98
3,USGS,02155500,2016-10-03,6.01,6.04,5.98
4,USGS,02155500,2016-10-04,5.98,6.00,5.95
5,USGS,02155500,2016-10-05,5.94,5.97,5.89
6,USGS,02155500,2016-10-06,5.90,5.93,5.86
7,USGS,02155500,2016-10-07,5.96,6.16,5.79
8,USGS,02155500,2016-10-08,6.23,6.33,6.15
9,USGS,02155500,2016-10-09,6.29,6.33,6.22
10,USGS,02155500,2016-10-10,6.29,6.31,6.27
11,USGS,02155500,2016-10-11,6.28,6.29,6.22
12,USGS,02155500,2016-10-12,6.28,6.29,6.21
13,USGS,02155500,2016-10-13,6.28,6.31,6.26
14,USGS,02155500,2016-10-14,6.29,6.30,6.27
15,USGS,02155500,2016-10-15,6.29,6.31,6.23
16,USGS,02155500,2016-10-16,6.30,6.32,6.25
17,USGS,02155500,2016-10-17,6.31,6.32,6.26
18,USGS,02155500,2016-10-18,6.31,6.33,6.26
19,USGS,02155500,2016-10-19,6.31,6.33,6.30
20,USGS,02155500,2016-10-20,6.31,6.33,6.28
21,USGS,02155500,2016-10-21,6.28,6.34,6.18
22,USGS,02155500,2016-10-22,6.26,6.31,6.17
23,USGS,02155500,2016-10-23,6.24,6.27,6.18
24,USGS,02155500,2016-10-24,6.21,6.24,6.18
25,USGS,02155500,2016-10-25,6.20,6.22,6.15
26,USGS,02155500,2016-10-26,6.18,6.20,6.15
27,USGS,02155500,2016-10-27,6.17,6.19,6.11
28,USGS,02155500,2016-10-28,6.16,6.18,6.12
29,USGS,02155500,2016-10-29,6.15,6.18,6.10
30,USGS,02155500,2016-10-30,6.14,6.16,6.09
31,USGS,02155500,2016-10-31,6.14,6.17,6.11
32,USGS,02155500,2016-11-01,6.13,6.15,6.08
