,agency_cd,site_no,datetime,Gage height_Min,Temperature_Max,Temperature_Mean,Gage height_Mean,Temperature_Min,Gage height_Max
347,USGS,021720508,2017-09-12,7.09,24.6,24.1,9.45,23.8,11.56
348,USGS,021720508,2017-09-13,6.15,24.4,24.1,8.52,23.8,10.50
349,USGS,021720508,2017-09-14,5.88,24.6,24.3,8.32,24.1,10.33
350,USGS,021720508,2017-09-15,5.44,24.9,24.6,8.21,24.3,10.37
351,USGS,021720508,2017-09-16,5.35,25.2,24.9,8.23,24.6,10.45
352,USGS,021720508,2017-09-17,5.80,25.5,25.2,8.53,25.0,10.80
353,USGS,021720508,2017-09-18,5.87,25.7,25.4,8.59,25.2,10.80
354,USGS,021720508,2017-09-19,5.87,26.0,25.7,8.52,25.5,10.65
355,USGS,021720508,2017-09-20,5.88,26.4,26.0,8.43,25.7,10.53
356,USGS,021720508,2017-09-21,5.97,26.8,26.4,8.39,26.1,10.34
357,USGS,021720508,2017-09-22,6.18,26.9,26.6,8.34,26.3,10.17
358,USGS,021720508,2017-09-23,6.10,26.9,26.7,8.31,26.4,10.08
359,USGS,021720508,2017-09-24,6.53,26.9,26.6,8.59,26.3,10.25
360,USGS,021720508,2017-09-25,6.89,26.7,26.4,8.77,26.1,10.43
361,USGS,021720508,2017-09-26,6.89,26.8,26.3,8.71,25.9,10.31
362,USGS,021720508,2017-09-27,6.69,26.7,26.4,8.67,26.1,10.28
363,USGS,021720508,2017-09-28,6.81,26.9,26.6,8.59,26.4,10.25
364,USGS,021720508,2017-09-29,6.39,27.3,26.9,8.40,26.7,10.03
365,USGS,021720508,2017-09-30,6.53,27.0,26.8,8.55,26.6,10.20
