,agency_cd,site_no,datetime,Precipitation
0,USGS,02162285,2017-02-15,0.24
1,USGS,02162285,2017-02-16,0.00
2,USGS,02162285,2017-02-17,0.00
3,USGS,02162285,2017-02-18,0.00
4,USGS,02162285,2017-02-19,0.00
5,USGS,02162285,2017-02-20,0.00
6,USGS,02162285,2017-02-21,0.00
7,USGS,02162285,2017-02-22,0.42
8,USGS,02162285,2017-02-23,0.00
9,USGS,02162285,2017-02-24,0.00
10,USGS,02162285,2017-02-25,0.00
11,USGS,02162285,2017-02-26,0.00
12,USGS,02162285,2017-02-27,0.00
13,USGS,02162285,2017-02-28,0.63
14,USGS,02162285,2017-03-01,0.22
15,USGS,02162285,2017-03-02,0.00
16,USGS,02162285,2017-03-03,0.00
17,USGS,02162285,2017-03-04,0.00
18,USGS,02162285,2017-03-05,0.00
19,USGS,02162285,2017-03-06,0.02
20,USGS,02162285,2017-03-07,0.11
21,USGS,02162285,2017-03-08,0.00
22,USGS,02162285,2017-03-09,0.00
23,USGS,02162285,2017-03-10,0.34
24,USGS,02162285,2017-03-11,0.06
25,USGS,02162285,2017-03-12,0.26
26,USGS,02162285,2017-03-13,0.09
27,USGS,02162285,2017-03-14,0.03
28,USGS,02162285,2017-03-15,0.00
29,USGS,02162285,2017-03-16,0.00
30,USGS,02162285,2017-03-17,0.00
31,USGS,02162285,2017-03-18,0.02
32,USGS,02162285,2017-03-19,0.00
33,USGS,02162285,2017-03-20,0.00
34,USGS,02162285,2017-03-21,0.35
35,USGS,02162285,2017-03-22,0.00
36,USGS,02162285,2017-03-23,0.00
37,USGS,02162285,2017-03-24,0.00
38,USGS,02162285,2017-03-25,0.00
39,USGS,02162285,2017-03-26,0.43
40,USGS,02162285,2017-03-27,0.27
41,USGS,02162285,2017-03-28,0.30
42,USGS,02162285,2017-03-29,0.00
43,USGS,02162285,2017-03-30,1.83
44,USGS,02162285,2017-03-31,1.11
45,USGS,02162285,2017-04-01,0.00
46,USGS,02162285,2017-04-02,0.00
47,USGS,02162285,2017-04-03,2.30
48,USGS,02162285,2017-04-04,0.00
49,USGS,02162285,2017-04-05,1.39
50,USGS,02162285,2017-04-06,0.00
51,USGS,02162285,2017-04-07,0.00
52,USGS,02162285,2017-04-08,0.00
53,USGS,02162285,2017-04-09,0.00
54,USGS,02162285,2017-04-10,0.00
55,USGS,02162285,2017-04-11,0.00
56,USGS,02162285,2017-04-12,0.00
57,USGS,02162285,2017-04-13,0.04
58,USGS,02162285,2017-04-14,0.12
59,USGS,02162285,2017-04-15,0.00
60,USGS,02162285,2017-04-16,0.00
61,USGS,02162285,2017-04-17,0.23
62,USGS,02162285,2017-04-18,0.12
63,USGS,02162285,2017-04-19,0.97
64,USGS,02162285,2017-04-20,0.03
65,USGS,02162285,2017-04-21,0.17
66,USGS,02162285,2017-04-22,0.16
67,USGS,02162285,2017-04-23,3.15
68,USGS,02162285,2017-04-24,0.75
69,USGS,02162285,2017-04-25,0.00
70,USGS,02162285,2017-04-26,0.00
71,USGS,02162285,2017-04-27,0.58
72,USGS,02162285,2017-04-28,0.00
73,USGS,02162285,2017-04-29,0.00
74,USGS,02162285,2017-04-30,0.00
75,USGS,02162285,2017-05-01,0.58
76,USGS,02162285,2017-05-02,0.00
77,USGS,02162285,2017-05-03,0.00
78,USGS,02162285,2017-05-04,2.69
79,USGS,02162285,2017-05-05,0.09
80,USGS,02162285,2017-05-06,0.09
81,USGS,02162285,2017-05-07,0.00
82,USGS,02162285,2017-05-08,0.00
83,USGS,02162285,2017-05-09,0.00
84,USGS,02162285,2017-05-10,0.00
85,USGS,02162285,2017-05-11,0.00
86,USGS,02162285,2017-05-12,0.25
87,USGS,02162285,2017-05-13,0.29
88,USGS,02162285,2017-05-14,0.00
89,USGS,02162285,2017-05-15,0.00
90,USGS,02162285,2017-05-16,0.00
91,USGS,02162285,2017-05-17,0.00
92,USGS,02162285,2017-05-18,0.00
93,USGS,02162285,2017-05-19,0.00
94,USGS,02162285,2017-05-20,0.03
95,USGS,02162285,2017-05-21,2.28
96,USGS,02162285,2017-05-22,0.23
97,USGS,02162285,2017-05-23,1.31
98,USGS,02162285,2017-05-24,1.97
99,USGS,02162285,2017-05-25,0.01
100,USGS,02162285,2017-05-26,0.00
101,USGS,02162285,2017-05-27,0.03
102,USGS,02162285,2017-05-28,0.02
103,USGS,02162285,2017-05-29,0.05
