,agency_cd,site_no,datetime,Gage height_Min,Gage height_Max,Gage height_Mean
0,USGS,02197300,2017-08-04,5.43,5.60,5.51
1,USGS,02197300,2017-08-05,5.59,5.74,5.67
2,USGS,02197300,2017-08-06,5.53,5.62,5.58
3,USGS,02197300,2017-08-07,5.54,5.61,5.58
4,USGS,02197300,2017-08-08,5.54,5.74,5.61
5,USGS,02197300,2017-08-09,5.74,6.42,6.15
6,USGS,02197300,2017-08-10,5.74,6.21,5.91
7,USGS,02197300,2017-08-11,5.64,5.94,5.73
8,USGS,02197300,2017-08-12,5.77,6.01,5.93
9,USGS,02197300,2017-08-13,5.60,5.77,5.69
10,USGS,02197300,2017-08-14,5.60,5.63,5.61
11,USGS,02197300,2017-08-15,5.54,5.65,5.61
12,USGS,02197300,2017-08-16,5.47,5.58,5.53
13,USGS,02197300,2017-08-17,5.44,5.54,5.49
14,USGS,02197300,2017-08-18,5.42,5.51,5.47
15,USGS,02197300,2017-08-19,5.41,5.52,5.47
16,USGS,02197300,2017-08-20,5.39,5.48,5.44
17,USGS,02197300,2017-08-21,5.39,5.47,5.44
18,USGS,02197300,2017-08-22,5.41,5.50,5.46
19,USGS,02197300,2017-08-23,5.40,5.50,5.46
20,USGS,02197300,2017-08-24,5.38,5.46,5.42
21,USGS,02197300,2017-08-25,5.38,5.46,5.43
22,USGS,02197300,2017-08-26,5.36,5.47,5.43
23,USGS,02197300,2017-08-27,5.34,5.43,5.39
24,USGS,02197300,2017-08-28,5.34,5.40,5.37
25,USGS,02197300,2017-08-29,5.35,5.44,5.41
26,USGS,02197300,2017-08-30,5.42,5.47,5.45
27,USGS,02197300,2017-08-31,5.46,5.91,5.55
28,USGS,02197300,2017-09-01,5.56,5.97,5.74
29,USGS,02197300,2017-09-02,5.45,5.56,5.53
30,USGS,02197300,2017-09-03,5.39,5.48,5.45
31,USGS,02197300,2017-09-04,5.36,5.45,5.41
32,USGS,02197300,2017-09-05,5.37,5.44,5.40
33,USGS,02197300,2017-09-06,5.37,5.45,5.42
34,USGS,02197300,2017-09-07,5.42,5.60,5.51
35,USGS,02197300,2017-09-08,5.37,5.45,5.42
36,USGS,02197300,2017-09-09,5.36,5.45,5.40
37,USGS,02197300,2017-09-10,5.36,5.42,5.40
38,USGS,02197300,2017-09-11,5.39,8.00,6.40
39,USGS,02197300,2017-09-12,6.56,8.02,7.57
40,USGS,02197300,2017-09-13,5.94,6.56,6.14
41,USGS,02197300,2017-09-14,5.76,5.94,5.86
42,USGS,02197300,2017-09-15,5.67,5.76,5.73
43,USGS,02197300,2017-09-16,5.62,5.68,5.66
44,USGS,02197300,2017-09-17,5.57,5.64,5.62
45,USGS,02197300,2017-09-18,5.56,5.61,5.59
46,USGS,02197300,2017-09-19,5.50,5.59,5.55
47,USGS,02197300,2017-09-20,5.48,5.53,5.51
48,USGS,02197300,2017-09-21,5.46,5.52,5.49
49,USGS,02197300,2017-09-22,5.46,5.60,5.51
50,USGS,02197300,2017-09-23,5.54,5.64,5.60
51,USGS,02197300,2017-09-24,5.50,5.56,5.53
52,USGS,02197300,2017-09-25,5.48,5.55,5.52
53,USGS,02197300,2017-09-26,5.47,5.52,5.49
54,USGS,02197300,2017-09-27,5.45,5.51,5.48
55,USGS,02197300,2017-09-28,5.44,5.50,5.47
56,USGS,02197300,2017-09-29,5.44,5.50,5.47
57,USGS,02197300,2017-09-30,5.43,5.48,5.46
