,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Gage height_Min
0,USGS,02130900,2016-09-30,5.64,5.46,5.41
1,USGS,02130900,2016-10-01,5.76,5.67,5.48
2,USGS,02130900,2016-10-02,5.55,5.27,5.09
3,USGS,02130900,2016-10-03,5.09,4.99,4.90
4,USGS,02130900,2016-10-04,4.90,4.84,4.79
5,USGS,02130900,2016-10-05,4.79,4.75,4.72
6,USGS,02130900,2016-10-06,4.72,4.70,4.67
7,USGS,02130900,2016-10-07,5.11,4.81,4.67
8,USGS,02130900,2016-10-08,,,
9,USGS,02130900,2016-10-09,,,
10,USGS,02130900,2016-10-10,10.33,10.14,9.67
11,USGS,02130900,2016-10-11,9.92,9.36,8.90
12,USGS,02130900,2016-10-12,8.90,8.56,8.25
13,USGS,02130900,2016-10-13,8.25,7.95,7.66
14,USGS,02130900,2016-10-14,7.66,7.30,6.95
15,USGS,02130900,2016-10-15,6.95,6.72,6.57
16,USGS,02130900,2016-10-16,6.57,6.50,6.45
17,USGS,02130900,2016-10-17,6.45,6.43,6.42
18,USGS,02130900,2016-10-18,6.43,6.36,6.29
19,USGS,02130900,2016-10-19,6.29,6.23,6.18
20,USGS,02130900,2016-10-20,6.18,6.11,6.02
21,USGS,02130900,2016-10-21,6.02,5.98,5.92
22,USGS,02130900,2016-10-22,5.92,5.87,5.81
23,USGS,02130900,2016-10-23,5.81,5.76,5.73
24,USGS,02130900,2016-10-24,5.73,5.70,5.66
25,USGS,02130900,2016-10-25,5.66,5.66,5.64
26,USGS,02130900,2016-10-26,5.64,5.63,5.62
27,USGS,02130900,2016-10-27,5.62,5.62,5.61
28,USGS,02130900,2016-10-28,5.61,5.61,5.59
29,USGS,02130900,2016-10-29,5.60,5.59,5.58
30,USGS,02130900,2016-10-30,5.58,5.58,5.56
31,USGS,02130900,2016-10-31,5.57,5.56,5.55
32,USGS,02130900,2016-11-01,5.55,5.55,5.54
33,USGS,02130900,2016-11-02,5.72,5.56,5.53
34,USGS,02130900,2016-11-03,5.83,5.79,5.71
35,USGS,02130900,2016-11-04,5.71,5.56,5.50
36,USGS,02130900,2016-11-05,5.50,5.49,5.48
37,USGS,02130900,2016-11-06,5.48,5.47,5.46
38,USGS,02130900,2016-11-07,5.50,5.49,5.48
39,USGS,02130900,2016-11-08,5.50,5.50,5.49
40,USGS,02130900,2016-11-09,5.77,5.55,5.50
41,USGS,02130900,2016-11-10,5.85,5.76,5.56
42,USGS,02130900,2016-11-11,5.56,5.43,5.40
43,USGS,02130900,2016-11-12,5.45,5.43,5.42
44,USGS,02130900,2016-11-13,5.87,5.51,5.43
45,USGS,02130900,2016-11-14,6.18,6.11,5.87
46,USGS,02130900,2016-11-15,6.30,6.25,6.17
47,USGS,02130900,2016-11-16,6.29,6.23,6.11
48,USGS,02130900,2016-11-17,6.11,5.98,5.87
49,USGS,02130900,2016-11-18,5.87,5.80,5.74
50,USGS,02130900,2016-11-19,5.74,5.70,5.65
51,USGS,02130900,2016-11-20,5.65,5.62,5.60
52,USGS,02130900,2016-11-21,5.60,5.57,5.56
53,USGS,02130900,2016-11-22,5.58,5.57,5.56
54,USGS,02130900,2016-11-23,5.57,5.56,5.56
55,USGS,02130900,2016-11-24,5.59,5.58,5.56
56,USGS,02130900,2016-11-25,5.62,5.61,5.59
57,USGS,02130900,2016-11-26,5.64,5.63,5.62
58,USGS,02130900,2016-11-27,5.62,5.61,5.59
59,USGS,02130900,2016-11-28,5.59,5.59,5.58
60,USGS,02130900,2016-11-29,6.37,5.74,5.59
61,USGS,02130900,2016-11-30,6.89,6.73,6.37
62,USGS,02130900,2016-12-01,7.01,6.94,6.89
63,USGS,02130900,2016-12-02,7.01,6.93,6.80
64,USGS,02130900,2016-12-03,6.80,6.58,6.35
65,USGS,02130900,2016-12-04,6.35,6.19,6.09
66,USGS,02130900,2016-12-05,6.72,6.47,6.10
67,USGS,02130900,2016-12-06,7.17,6.99,6.72
68,USGS,02130900,2016-12-07,7.28,7.24,7.17
69,USGS,02130900,2016-12-08,7.31,7.29,7.24
70,USGS,02130900,2016-12-09,7.24,6.98,6.64
71,USGS,02130900,2016-12-10,6.64,6.39,6.19
72,USGS,02130900,2016-12-11,6.19,6.08,6.01
73,USGS,02130900,2016-12-12,6.01,6.00,5.99
74,USGS,02130900,2016-12-13,6.50,6.20,5.99
75,USGS,02130900,2016-12-14,6.55,6.53,6.50
76,USGS,02130900,2016-12-15,6.51,6.44,6.34
77,USGS,02130900,2016-12-16,6.34,6.22,6.11
78,USGS,02130900,2016-12-17,6.11,6.02,5.97
79,USGS,02130900,2016-12-18,6.10,5.97,5.95
80,USGS,02130900,2016-12-19,7.02,6.68,6.10
81,USGS,02130900,2016-12-20,7.09,7.08,7.02
82,USGS,02130900,2016-12-21,7.09,7.07,7.06
83,USGS,02130900,2016-12-22,7.08,6.95,6.69
84,USGS,02130900,2016-12-23,6.69,6.45,6.27
85,USGS,02130900,2016-12-24,6.27,6.17,6.09
86,USGS,02130900,2016-12-25,6.09,6.04,6.00
87,USGS,02130900,2016-12-26,6.00,5.97,5.95
88,USGS,02130900,2016-12-27,6.11,6.06,5.97
89,USGS,02130900,2016-12-28,6.11,6.09,6.05
90,USGS,02130900,2016-12-29,6.65,6.34,6.05
91,USGS,02130900,2016-12-30,6.84,6.75,6.65
92,USGS,02130900,2016-12-31,6.94,6.91,6.84
93,USGS,02130900,2017-01-01,6.92,6.70,6.45
94,USGS,02130900,2017-01-02,7.33,6.93,6.43
95,USGS,02130900,2017-01-03,7.85,7.66,7.33
96,USGS,02130900,2017-01-04,7.99,7.92,7.85
97,USGS,02130900,2017-01-05,8.12,8.07,7.99
98,USGS,02130900,2017-01-06,8.12,8.05,8.00
99,USGS,02130900,2017-01-07,8.12,8.02,7.84
100,USGS,02130900,2017-01-08,7.84,7.75,7.73
101,USGS,02130900,2017-01-09,7.93,7.81,7.74
102,USGS,02130900,2017-01-10,8.04,8.01,7.93
103,USGS,02130900,2017-01-11,7.97,7.75,7.42
104,USGS,02130900,2017-01-12,7.42,7.17,7.02
105,USGS,02130900,2017-01-13,7.02,6.97,6.90
106,USGS,02130900,2017-01-14,6.90,6.82,6.76
107,USGS,02130900,2017-01-15,6.76,6.68,6.61
108,USGS,02130900,2017-01-16,6.61,6.56,6.53
109,USGS,02130900,2017-01-17,6.53,6.51,6.49
110,USGS,02130900,2017-01-18,6.50,6.49,6.49
111,USGS,02130900,2017-01-19,6.49,6.46,6.41
112,USGS,02130900,2017-01-20,6.41,6.37,6.33
113,USGS,02130900,2017-01-21,6.69,6.40,6.32
114,USGS,02130900,2017-01-22,7.23,6.95,6.69
115,USGS,02130900,2017-01-23,7.53,7.42,7.23
116,USGS,02130900,2017-01-24,7.60,7.56,7.53
117,USGS,02130900,2017-01-25,7.61,7.61,7.59
118,USGS,02130900,2017-01-26,7.61,7.54,7.35
119,USGS,02130900,2017-01-27,7.35,6.96,6.66
120,USGS,02130900,2017-01-28,6.66,6.50,6.37
121,USGS,02130900,2017-01-29,6.37,6.31,6.26
122,USGS,02130900,2017-01-30,6.26,6.23,6.22
123,USGS,02130900,2017-01-31,6.23,6.20,6.17
124,USGS,02130900,2017-02-01,6.17,6.15,6.13
125,USGS,02130900,2017-02-02,6.13,6.12,6.09
126,USGS,02130900,2017-02-03,6.21,6.16,6.09
127,USGS,02130900,2017-02-04,6.21,6.20,6.17
128,USGS,02130900,2017-02-05,6.17,6.10,6.06
129,USGS,02130900,2017-02-06,6.11,6.09,6.06
130,USGS,02130900,2017-02-07,6.06,6.06,6.05
131,USGS,02130900,2017-02-08,6.21,6.15,6.06
132,USGS,02130900,2017-02-09,6.70,6.46,6.21
133,USGS,02130900,2017-02-10,6.85,6.78,6.70
134,USGS,02130900,2017-02-11,6.91,6.89,6.85
135,USGS,02130900,2017-02-12,6.87,6.59,6.38
136,USGS,02130900,2017-02-13,6.38,6.28,6.18
137,USGS,02130900,2017-02-14,6.18,6.12,6.04
138,USGS,02130900,2017-02-15,6.68,6.23,5.94
139,USGS,02130900,2017-02-16,6.93,6.82,6.68
140,USGS,02130900,2017-02-17,7.16,7.07,6.93
141,USGS,02130900,2017-02-18,7.17,7.06,6.79
142,USGS,02130900,2017-02-19,6.79,6.41,6.21
143,USGS,02130900,2017-02-20,6.21,6.18,6.13
144,USGS,02130900,2017-02-21,6.13,6.07,6.00
145,USGS,02130900,2017-02-22,6.00,5.91,5.87
146,USGS,02130900,2017-02-23,5.91,5.85,5.82
147,USGS,02130900,2017-02-24,5.85,5.83,5.80
148,USGS,02130900,2017-02-25,5.86,5.85,5.83
149,USGS,02130900,2017-02-26,5.83,5.80,5.76
150,USGS,02130900,2017-02-27,5.76,5.72,5.70
151,USGS,02130900,2017-02-28,5.70,5.69,5.68
152,USGS,02130900,2017-03-01,5.79,5.63,5.59
153,USGS,02130900,2017-03-02,6.32,6.20,5.79
154,USGS,02130900,2017-03-03,6.62,6.49,6.32
155,USGS,02130900,2017-03-04,6.62,6.43,6.19
156,USGS,02130900,2017-03-05,6.19,5.95,5.86
157,USGS,02130900,2017-03-06,5.86,5.82,5.78
158,USGS,02130900,2017-03-07,5.78,5.76,5.74
159,USGS,02130900,2017-03-08,5.74,5.68,5.61
160,USGS,02130900,2017-03-09,5.61,5.55,5.53
161,USGS,02130900,2017-03-10,5.64,5.56,5.53
162,USGS,02130900,2017-03-11,5.65,5.63,5.61
163,USGS,02130900,2017-03-12,6.12,5.81,5.63
164,USGS,02130900,2017-03-13,6.57,6.31,6.12
165,USGS,02130900,2017-03-14,6.96,6.82,6.57
166,USGS,02130900,2017-03-15,7.05,7.00,6.96
167,USGS,02130900,2017-03-16,7.09,7.06,6.98
168,USGS,02130900,2017-03-17,6.98,6.58,6.24
169,USGS,02130900,2017-03-18,6.24,6.13,6.07
170,USGS,02130900,2017-03-19,6.32,6.18,6.09
171,USGS,02130900,2017-03-20,6.44,6.40,6.32
