,agency_cd,site_no,datetime,Gage height_Min,Gage height_Max,Gage height_Mean
0,USGS,02167000,2016-09-30,1.85,2.08,1.94
1,USGS,02167000,2016-10-01,1.78,1.86,1.82
2,USGS,02167000,2016-10-02,1.75,1.81,1.79
3,USGS,02167000,2016-10-03,1.75,1.78,1.77
4,USGS,02167000,2016-10-04,1.71,1.77,1.76
5,USGS,02167000,2016-10-05,1.69,1.77,1.75
6,USGS,02167000,2016-10-06,1.70,1.77,1.75
7,USGS,02167000,2016-10-07,1.71,1.79,1.76
8,USGS,02167000,2016-10-08,1.73,1.97,1.83
9,USGS,02167000,2016-10-09,1.90,2.00,1.95
10,USGS,02167000,2016-10-10,1.82,1.90,1.86
11,USGS,02167000,2016-10-11,1.77,1.84,1.81
12,USGS,02167000,2016-10-12,1.75,1.81,1.79
13,USGS,02167000,2016-10-13,1.77,1.80,1.78
14,USGS,02167000,2016-10-14,1.74,1.79,1.77
15,USGS,02167000,2016-10-15,1.74,1.76,1.75
16,USGS,02167000,2016-10-16,1.66,1.74,1.68
17,USGS,02167000,2016-10-17,1.65,1.68,1.67
18,USGS,02167000,2016-10-18,1.64,1.68,1.67
19,USGS,02167000,2016-10-19,1.65,1.68,1.66
20,USGS,02167000,2016-10-20,1.65,1.68,1.66
21,USGS,02167000,2016-10-21,1.62,1.68,1.67
22,USGS,02167000,2016-10-22,1.64,1.69,1.68
23,USGS,02167000,2016-10-23,1.65,1.69,1.68
24,USGS,02167000,2016-10-24,1.67,1.70,1.68
25,USGS,02167000,2016-10-25,1.68,1.73,1.70
26,USGS,02167000,2016-10-26,1.69,1.72,1.70
27,USGS,02167000,2016-10-27,1.63,1.71,1.69
28,USGS,02167000,2016-10-28,1.69,1.71,1.69
29,USGS,02167000,2016-10-29,1.68,1.71,1.70
30,USGS,02167000,2016-10-30,1.67,1.71,1.69
31,USGS,02167000,2016-10-31,1.67,1.71,1.69
32,USGS,02167000,2016-11-01,1.69,1.71,1.70
33,USGS,02167000,2016-11-02,1.69,1.71,1.70
34,USGS,02167000,2016-11-03,1.68,1.72,1.70
35,USGS,02167000,2016-11-04,1.64,1.71,1.69
36,USGS,02167000,2016-11-05,1.66,1.70,1.69
37,USGS,02167000,2016-11-06,1.67,1.71,1.68
38,USGS,02167000,2016-11-07,1.67,1.70,1.69
39,USGS,02167000,2016-11-08,1.66,1.71,1.70
40,USGS,02167000,2016-11-09,1.68,1.71,1.69
41,USGS,02167000,2016-11-10,1.65,1.71,1.70
42,USGS,02167000,2016-11-11,1.69,1.72,1.70
43,USGS,02167000,2016-11-12,1.64,1.71,1.69
44,USGS,02167000,2016-11-13,1.68,1.76,1.72
45,USGS,02167000,2016-11-14,1.70,1.76,1.72
46,USGS,02167000,2016-11-15,1.72,1.76,1.74
47,USGS,02167000,2016-11-16,1.71,1.74,1.72
48,USGS,02167000,2016-11-17,1.69,1.73,1.71
49,USGS,02167000,2016-11-18,1.68,1.72,1.70
50,USGS,02167000,2016-11-19,1.65,1.72,1.70
51,USGS,02167000,2016-11-20,1.70,1.73,1.72
52,USGS,02167000,2016-11-21,1.68,1.73,1.72
53,USGS,02167000,2016-11-22,1.70,1.74,1.72
54,USGS,02167000,2016-11-23,1.70,1.74,1.72
55,USGS,02167000,2016-11-24,1.64,1.72,1.70
56,USGS,02167000,2016-11-25,1.67,1.72,1.70
57,USGS,02167000,2016-11-26,1.65,1.72,1.71
58,USGS,02167000,2016-11-27,1.70,1.73,1.72
59,USGS,02167000,2016-11-28,1.69,1.73,1.71
60,USGS,02167000,2016-11-29,1.69,1.88,1.76
61,USGS,02167000,2016-11-30,1.55,2.59,2.01
62,USGS,02167000,2016-12-01,2.20,2.66,2.46
63,USGS,02167000,2016-12-02,2.05,2.21,2.10
64,USGS,02167000,2016-12-03,2.00,2.07,2.03
65,USGS,02167000,2016-12-04,1.99,2.36,2.14
66,USGS,02167000,2016-12-05,2.35,3.06,2.54
67,USGS,02167000,2016-12-06,3.05,5.12,4.04
68,USGS,02167000,2016-12-07,3.93,5.12,4.80
69,USGS,02167000,2016-12-08,2.41,3.93,3.38
70,USGS,02167000,2016-12-09,2.30,2.92,2.54
71,USGS,02167000,2016-12-10,2.90,2.93,2.91
72,USGS,02167000,2016-12-11,2.89,2.93,2.91
73,USGS,02167000,2016-12-12,2.26,2.94,2.75
74,USGS,02167000,2016-12-13,2.23,2.88,2.52
75,USGS,02167000,2016-12-14,2.88,2.91,2.90
76,USGS,02167000,2016-12-15,2.85,2.92,2.90
77,USGS,02167000,2016-12-16,2.61,2.91,2.80
78,USGS,02167000,2016-12-17,2.15,2.61,2.42
79,USGS,02167000,2016-12-18,2.01,2.82,2.42
80,USGS,02167000,2016-12-19,2.78,3.68,3.21
81,USGS,02167000,2016-12-20,2.80,3.75,3.55
82,USGS,02167000,2016-12-21,2.69,2.80,2.73
83,USGS,02167000,2016-12-22,2.14,2.70,2.47
84,USGS,02167000,2016-12-23,2.16,2.84,2.40
85,USGS,02167000,2016-12-24,2.32,2.36,2.34
