,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean
0,USGS,02167450,2016-09-30,2.28,2.03,2.15
1,USGS,02167450,2016-10-01,2.03,1.94,1.98
2,USGS,02167450,2016-10-02,1.94,1.85,1.89
3,USGS,02167450,2016-10-03,1.85,1.82,1.83
4,USGS,02167450,2016-10-04,1.83,1.80,1.82
5,USGS,02167450,2016-10-05,1.84,1.77,1.82
6,USGS,02167450,2016-10-06,1.83,1.80,1.81
7,USGS,02167450,2016-10-07,1.88,1.80,1.82
8,USGS,02167450,2016-10-08,2.17,1.87,2.02
9,USGS,02167450,2016-10-09,2.25,2.17,2.21
10,USGS,02167450,2016-10-10,2.20,2.06,2.14
11,USGS,02167450,2016-10-11,2.06,1.97,2.01
12,USGS,02167450,2016-10-12,1.97,1.91,1.93
13,USGS,02167450,2016-10-13,1.93,1.89,1.91
14,USGS,02167450,2016-10-14,1.94,1.92,1.93
15,USGS,02167450,2016-10-15,1.93,1.89,1.91
16,USGS,02167450,2016-10-16,1.92,1.89,1.91
17,USGS,02167450,2016-10-17,1.92,1.89,1.90
18,USGS,02167450,2016-10-18,1.90,1.88,1.90
19,USGS,02167450,2016-10-19,1.91,1.86,1.88
20,USGS,02167450,2016-10-20,1.89,1.85,1.87
21,USGS,02167450,2016-10-21,1.89,1.84,1.87
22,USGS,02167450,2016-10-22,1.86,1.82,1.83
23,USGS,02167450,2016-10-23,1.85,1.80,1.83
24,USGS,02167450,2016-10-24,1.82,1.78,1.80
25,USGS,02167450,2016-10-25,1.82,1.78,1.80
26,USGS,02167450,2016-10-26,1.86,1.81,1.83
27,USGS,02167450,2016-10-27,1.82,1.80,1.81
28,USGS,02167450,2016-10-28,1.83,1.80,1.81
29,USGS,02167450,2016-10-29,1.82,1.81,1.82
30,USGS,02167450,2016-10-30,1.84,1.80,1.82
31,USGS,02167450,2016-10-31,1.83,1.80,1.81
32,USGS,02167450,2016-11-01,1.82,1.80,1.81
33,USGS,02167450,2016-11-02,1.84,1.80,1.81
34,USGS,02167450,2016-11-03,1.84,1.77,1.83
35,USGS,02167450,2016-11-04,1.90,1.84,1.87
36,USGS,02167450,2016-11-05,1.89,1.84,1.86
37,USGS,02167450,2016-11-06,1.90,1.84,1.86
38,USGS,02167450,2016-11-07,1.89,1.86,1.87
39,USGS,02167450,2016-11-08,1.90,1.87,1.89
40,USGS,02167450,2016-11-09,1.91,1.87,1.89
41,USGS,02167450,2016-11-10,1.96,1.90,1.93
42,USGS,02167450,2016-11-11,1.95,1.91,1.93
43,USGS,02167450,2016-11-12,1.94,1.92,1.93
44,USGS,02167450,2016-11-13,2.05,1.92,1.98
45,USGS,02167450,2016-11-14,2.09,2.05,2.07
46,USGS,02167450,2016-11-15,2.21,2.08,2.14
47,USGS,02167450,2016-11-16,2.21,2.11,2.15
