,agency_cd,site_no,datetime,Temperature_Max,Dissolved oxygen_Mean,Temperature_Mean,Dissolved oxygen_Min,Temperature_Min,Gage height_Mean,Gage height_Max,Dissolved oxygen_Max,Gage height_Min
320,USGS,02169000,2017-08-16,21.9,8.6,21.3,7.6,20.6,2.23,2.24,9.8,2.23
321,USGS,02169000,2017-08-17,21.4,8.6,21.0,7.5,20.7,2.23,2.24,9.6,2.22
322,USGS,02169000,2017-08-18,21.4,8.7,20.5,7.6,19.7,2.50,2.76,9.8,2.22
323,USGS,02169000,2017-08-19,19.7,8.7,18.8,7.4,17.9,2.74,2.75,10.2,2.72
324,USGS,02169000,2017-08-20,19.2,8.8,18.6,7.4,17.8,2.73,2.75,10.4,2.72
325,USGS,02169000,2017-08-21,18.8,8.8,18.3,7.4,17.6,2.73,2.77,10.2,2.71
326,USGS,02169000,2017-08-22,18.8,8.8,18.2,7.5,17.4,2.73,2.74,10.2,2.72
327,USGS,02169000,2017-08-23,18.9,8.8,18.4,7.4,17.6,2.73,2.74,10.3,2.72
328,USGS,02169000,2017-08-24,18.8,8.7,18.2,7.4,17.7,2.74,2.76,10.0,2.72
329,USGS,02169000,2017-08-25,18.2,8.6,17.7,7.4,17.1,2.74,2.77,10.0,2.73
330,USGS,02169000,2017-08-26,18.6,8.9,18.0,7.6,17.1,2.74,2.76,10.4,2.73
331,USGS,02169000,2017-08-27,18.7,8.9,18.2,7.5,17.5,2.74,2.76,10.4,2.73
332,USGS,02169000,2017-08-28,18.5,8.7,17.8,7.5,16.9,2.79,2.88,10.3,2.73
333,USGS,02169000,2017-08-29,18.0,8.2,17.4,7.0,16.8,2.82,2.88,9.4,2.77
334,USGS,02169000,2017-08-30,17.7,8.7,17.3,7.5,16.7,2.78,2.80,10.1,2.76
335,USGS,02169000,2017-08-31,18.0,8.5,17.4,7.4,16.7,2.80,2.85,9.8,2.77
336,USGS,02169000,2017-09-01,18.6,8.4,18.1,7.2,17.4,2.80,2.83,9.8,2.78
337,USGS,02169000,2017-09-02,18.6,8.5,18.2,7.2,17.6,2.79,2.81,10.0,2.77
338,USGS,02169000,2017-09-03,18.4,8.7,17.9,7.4,17.0,2.78,2.80,10.2,2.77
339,USGS,02169000,2017-09-04,18.4,8.7,17.8,7.4,16.8,2.79,2.82,10.2,2.77
340,USGS,02169000,2017-09-05,18.6,8.6,18.0,7.3,17.2,2.79,2.80,10.0,2.77
341,USGS,02169000,2017-09-06,18.6,6.0,17.5,3.9,16.6,4.56,6.30,8.7,2.77
342,USGS,02169000,2017-09-07,17.5,3.9,17.2,3.7,16.9,6.28,6.31,4.0,6.26
343,USGS,02169000,2017-09-08,17.6,3.7,17.2,3.6,16.9,6.28,6.31,3.8,6.24
344,USGS,02169000,2017-09-09,17.6,3.6,17.2,3.2,17.0,6.28,6.30,3.7,6.24
345,USGS,02169000,2017-09-10,17.9,4.7,17.4,3.5,17.0,4.11,6.28,7.0,2.72
346,USGS,02169000,2017-09-11,17.6,7.7,16.8,7.0,16.4,2.91,3.41,7.9,2.72
347,USGS,02169000,2017-09-12,18.8,7.5,18.3,7.4,17.6,3.28,3.57,7.8,2.99
348,USGS,02169000,2017-09-13,18.8,7.7,18.2,7.4,17.7,2.90,2.99,8.1,2.80
349,USGS,02169000,2017-09-14,19.5,7.8,18.7,7.6,18.0,2.88,3.01,8.0,2.79
350,USGS,02169000,2017-09-15,19.1,7.9,18.7,7.6,17.9,2.79,2.80,8.3,2.76
351,USGS,02169000,2017-09-16,18.9,7.9,18.4,7.6,17.7,2.76,2.78,8.3,2.74
352,USGS,02169000,2017-09-17,18.8,7.9,18.4,7.6,17.6,2.74,2.76,8.4,2.72
353,USGS,02169000,2017-09-18,18.7,8.0,18.3,7.5,17.7,2.73,2.75,8.6,2.72
354,USGS,02169000,2017-09-19,18.7,8.1,18.3,7.5,17.7,2.73,2.74,8.8,2.72
355,USGS,02169000,2017-09-20,18.9,8.2,18.4,7.4,17.7,2.73,2.74,9.3,2.71
356,USGS,02169000,2017-09-21,19.1,8.4,18.6,7.4,17.8,2.52,2.73,9.7,2.26
357,USGS,02169000,2017-09-22,20.7,8.5,19.8,7.4,19.1,2.27,2.33,9.8,2.26
358,USGS,02169000,2017-09-23,20.4,8.8,19.8,7.7,19.3,2.26,2.26,10.4,2.25
359,USGS,02169000,2017-09-24,19.4,9.1,19.0,7.8,18.7,2.26,2.27,10.8,2.25
360,USGS,02169000,2017-09-25,19.3,9.3,18.9,7.9,18.6,2.26,2.27,11.0,2.26
361,USGS,02169000,2017-09-26,19.8,9.5,19.1,8.2,18.6,2.26,2.26,10.8,2.25
362,USGS,02169000,2017-09-27,19.9,9.4,19.3,8.1,19.0,2.26,2.26,10.7,2.25
363,USGS,02169000,2017-09-28,19.8,9.3,19.4,8.2,19.1,2.25,2.26,10.6,2.25
364,USGS,02169000,2017-09-29,19.6,9.3,19.2,8.2,18.9,2.25,2.26,10.6,2.25
365,USGS,02169000,2017-09-30,19.3,9.2,18.9,8.2,18.6,2.25,2.26,10.3,2.25
