,agency_cd,site_no,datetime,Gage height_Min,Gage height_Mean,Temperature_Min,Temperature_Mean,Gage height_Max,Temperature_Max
350,USGS,021720710,2017-09-15,15.43,18.65,25.0,25.3,21.66,26.2
351,USGS,021720710,2017-09-16,15.37,18.84,25.3,25.6,21.99,26.2
352,USGS,021720710,2017-09-17,15.81,19.24,25.5,25.9,22.48,26.7
353,USGS,021720710,2017-09-18,15.72,19.24,25.8,26.2,22.45,26.7
354,USGS,021720710,2017-09-19,15.60,19.13,26.1,26.5,22.18,27.0
355,USGS,021720710,2017-09-20,15.59,19.00,26.3,26.7,22.05,27.5
356,USGS,021720710,2017-09-21,15.72,18.97,26.6,27.0,21.85,27.5
357,USGS,021720710,2017-09-22,15.99,18.96,26.7,27.1,21.73,27.6
358,USGS,021720710,2017-09-23,16.22,19.01,26.8,27.2,21.59,27.6
359,USGS,021720710,2017-09-24,16.77,19.37,26.8,27.1,21.81,27.3
360,USGS,021720710,2017-09-25,17.27,19.53,26.4,27.0,21.91,27.3
361,USGS,021720710,2017-09-26,17.36,19.48,26.5,27.0,21.78,27.4
362,USGS,021720710,2017-09-27,17.11,19.42,26.6,27.2,21.61,27.5
363,USGS,021720710,2017-09-28,17.32,19.31,26.8,27.4,21.48,28.0
364,USGS,021720710,2017-09-29,16.96,19.13,27.3,27.6,21.19,28.5
365,USGS,021720710,2017-09-30,17.06,19.37,26.6,27.3,21.48,27.6
