,agency_cd,site_no,datetime,Temperature_Max,Dissolved oxygen_Min,Gage height_Max,Dissolved oxygen_Mean,Gage height_Mean,Gage height_Min,Dissolved oxygen_Max,Temperature_Mean,Temperature_Min
0,USGS,02172002,2016-09-30,27.1,5.1,7.97,6.3,6.53,4.46,7.2,26.7,26.4
1,USGS,02172002,2016-10-01,27.0,5.6,8.41,6.6,6.95,4.80,7.0,26.8,26.4
2,USGS,02172002,2016-10-02,26.9,5.6,8.28,6.8,7.03,5.43,7.4,26.7,26.4
3,USGS,02172002,2016-10-03,26.9,5.5,8.34,6.7,7.06,5.03,7.3,26.6,26.3
4,USGS,02172002,2016-10-04,26.5,5.4,8.57,6.6,7.18,5.12,7.2,26.4,26.2
5,USGS,02172002,2016-10-05,26.2,5.8,8.56,7.2,7.39,6.29,7.8,25.8,25.4
6,USGS,02172002,2016-10-06,25.4,5.2,8.73,7.1,7.50,6.25,7.7,25.0,24.7
7,USGS,02172002,2016-10-07,24.7,4.3,9.04,7.0,7.86,6.68,7.7,24.5,24.2
8,USGS,02172002,2016-10-08,24.3,6.7,11.55,7.4,10.43,7.76,7.7,24.0,23.6
9,USGS,02172002,2016-10-09,23.6,5.4,10.01,7.4,8.95,7.53,7.9,23.1,22.8
10,USGS,02172002,2016-10-10,22.8,5.8,9.37,7.7,8.27,7.31,8.4,22.4,22.0
11,USGS,02172002,2016-10-11,22.2,7.0,9.13,8.1,8.18,7.12,8.6,22.0,21.7
12,USGS,02172002,2016-10-12,22.2,7.4,9.21,8.3,8.03,6.61,8.8,21.9,21.7
13,USGS,02172002,2016-10-13,22.1,7.2,8.89,8.2,7.78,6.41,8.6,21.9,21.6
14,USGS,02172002,2016-10-14,22.0,7.2,8.78,7.9,7.37,5.69,8.3,21.8,21.6
15,USGS,02172002,2016-10-15,21.6,6.9,8.90,7.6,7.57,5.55,8.0,21.5,21.4
16,USGS,02172002,2016-10-16,21.8,6.7,9.07,7.9,7.56,5.46,8.4,21.5,21.3
17,USGS,02172002,2016-10-17,22.0,7.4,8.98,8.1,7.59,5.39,8.6,21.7,21.4
18,USGS,02172002,2016-10-18,22.2,6.6,9.67,8.0,7.63,5.61,8.6,21.9,21.5
19,USGS,02172002,2016-10-19,22.6,6.8,9.18,7.9,7.35,5.70,8.8,21.9,21.6
20,USGS,02172002,2016-10-20,22.4,6.2,8.78,7.8,7.12,5.52,8.4,22.0,21.7
21,USGS,02172002,2016-10-21,23.1,6.2,8.89,7.7,7.38,5.48,8.9,22.3,21.8
22,USGS,02172002,2016-10-22,23.0,7.3,8.40,8.4,6.81,4.85,8.7,22.3,21.7
23,USGS,02172002,2016-10-23,21.7,6.8,8.47,8.1,7.12,5.45,8.6,21.4,21.0
24,USGS,02172002,2016-10-24,21.4,6.4,8.40,8.1,7.21,5.66,8.7,21.0,20.7
25,USGS,02172002,2016-10-25,21.1,6.3,8.48,7.9,6.92,5.01,8.5,20.8,20.5
26,USGS,02172002,2016-10-26,20.8,6.6,8.34,8.0,7.18,5.56,8.2,20.7,20.5
27,USGS,02172002,2016-10-27,20.7,6.4,8.27,7.9,7.04,5.12,8.2,20.5,20.4
28,USGS,02172002,2016-10-28,20.8,6.4,8.31,7.8,6.91,4.85,8.3,20.6,20.4
29,USGS,02172002,2016-10-29,20.8,5.7,8.16,7.6,6.87,4.51,8.3,20.6,20.3
30,USGS,02172002,2016-10-30,21.0,5.9,8.25,7.6,6.94,4.89,8.3,20.6,20.3
31,USGS,02172002,2016-10-31,21.1,6.6,8.39,7.9,6.68,4.48,8.4,20.8,20.6
32,USGS,02172002,2016-11-01,20.8,5.4,8.66,7.4,7.20,5.38,8.0,20.6,20.5
33,USGS,02172002,2016-11-02,21.0,5.0,8.64,7.6,7.07,5.72,8.3,20.7,20.4
34,USGS,02172002,2016-11-03,21.3,5.7,8.10,8.0,6.72,5.31,8.6,20.9,20.6
35,USGS,02172002,2016-11-04,21.3,5.6,7.92,7.8,6.52,4.72,8.6,21.0,20.8
36,USGS,02172002,2016-11-05,21.0,5.8,8.77,7.8,6.96,5.30,8.4,20.7,20.4
37,USGS,02172002,2016-11-06,20.6,5.5,8.44,7.9,6.94,5.34,8.5,20.4,20.1
38,USGS,02172002,2016-11-07,20.2,6.1,8.49,7.9,6.83,5.12,8.7,20.0,19.8
39,USGS,02172002,2016-11-08,19.9,7.4,8.40,8.5,7.18,5.30,8.8,19.7,19.5
40,USGS,02172002,2016-11-09,19.6,7.4,8.38,8.5,7.26,5.70,8.8,19.4,19.2
41,USGS,02172002,2016-11-10,19.2,7.9,8.64,8.9,7.25,5.32,9.3,18.7,18.4
42,USGS,02172002,2016-11-11,18.6,8.4,8.86,9.1,7.17,5.42,9.4,18.3,18.1
43,USGS,02172002,2016-11-12,18.1,8.0,8.87,8.8,7.38,5.19,9.2,17.9,17.8
44,USGS,02172002,2016-11-13,17.8,8.0,9.52,9.0,7.67,5.64,9.3,17.5,17.2
45,USGS,02172002,2016-11-14,17.2,8.6,8.78,9.1,7.46,6.02,9.3,16.9,16.5
46,USGS,02172002,2016-11-15,16.6,8.4,8.82,9.1,7.16,4.75,9.6,16.5,16.3
47,USGS,02172002,2016-11-16,16.4,7.7,8.87,9.1,7.41,5.83,9.3,16.3,16.2
48,USGS,02172002,2016-11-17,16.5,7.9,8.83,8.9,7.25,5.36,9.4,16.2,15.8
49,USGS,02172002,2016-11-18,16.6,7.6,8.25,8.8,7.12,4.99,9.3,16.1,15.8
50,USGS,02172002,2016-11-19,16.7,7.8,8.36,9.1,7.19,5.09,9.7,16.2,15.6
51,USGS,02172002,2016-11-20,16.3,8.8,8.06,9.4,6.73,4.76,9.8,15.7,15.4
52,USGS,02172002,2016-11-21,15.5,8.3,8.85,9.5,6.91,5.08,9.9,15.3,14.9
53,USGS,02172002,2016-11-22,15.4,8.3,8.39,9.6,6.77,4.90,10.0,15.0,14.8
54,USGS,02172002,2016-11-23,15.3,8.8,8.47,9.5,6.70,4.97,9.9,14.9,14.7
55,USGS,02172002,2016-11-24,15.2,8.1,8.47,9.3,6.53,4.29,9.6,14.9,14.7
56,USGS,02172002,2016-11-25,15.9,8.3,8.50,9.2,6.24,3.84,9.7,15.1,14.8
57,USGS,02172002,2016-11-26,15.3,7.9,8.42,9.2,6.14,3.93,10.0,15.1,14.9
58,USGS,02172002,2016-11-27,15.4,8.7,8.91,9.7,6.91,4.77,10.0,15.1,14.8
59,USGS,02172002,2016-11-28,15.1,9.0,8.91,9.7,7.01,5.01,10.0,14.8,14.6
60,USGS,02172002,2016-11-29,15.1,8.5,8.60,9.5,7.02,5.02,9.8,15.0,14.8
61,USGS,02172002,2016-11-30,15.5,7.9,8.15,9.5,6.58,4.19,9.9,15.2,15.1
62,USGS,02172002,2016-12-01,15.7,8.2,7.81,9.6,6.26,4.22,9.9,15.6,15.4
63,USGS,02172002,2016-12-02,15.6,8.7,7.74,9.6,5.95,3.46,10.1,15.4,15.2
64,USGS,02172002,2016-12-03,15.4,8.5,7.79,9.5,6.09,4.28,9.9,15.2,15.0
65,USGS,02172002,2016-12-04,15.0,7.8,8.12,9.4,6.53,4.67,9.8,14.9,14.8
66,USGS,02172002,2016-12-05,14.9,8.2,7.88,9.6,6.77,5.53,9.9,14.8,14.7
67,USGS,02172002,2016-12-06,14.9,7.8,8.71,9.5,7.33,5.75,9.8,14.8,14.6
68,USGS,02172002,2016-12-07,14.9,8.3,8.47,9.5,6.86,5.12,10.0,14.7,14.7
69,USGS,02172002,2016-12-08,15.0,8.4,8.90,9.5,6.98,5.18,10.2,14.8,14.7
70,USGS,02172002,2016-12-09,14.8,8.8,8.99,10.0,7.46,5.54,10.3,14.2,13.9
71,USGS,02172002,2016-12-10,14.0,9.8,9.05,10.2,7.52,5.15,10.3,13.6,13.3
72,USGS,02172002,2016-12-11,13.9,9.5,9.19,10.2,7.37,5.11,10.5,13.3,13.2
73,USGS,02172002,2016-12-12,13.4,8.8,8.49,9.9,6.65,4.48,11.0,13.2,13.1
74,USGS,02172002,2016-12-13,13.5,8.4,8.86,9.5,6.44,3.78,10.1,13.2,13.0
75,USGS,02172002,2016-12-14,13.3,8.5,8.51,9.6,6.83,4.60,10.1,13.1,13.1
76,USGS,02172002,2016-12-15,13.2,9.1,8.43,9.7,6.80,4.81,10.5,13.1,12.9
77,USGS,02172002,2016-12-16,12.9,9.5,8.94,10.3,6.81,4.80,10.6,12.5,12.2
78,USGS,02172002,2016-12-17,12.9,9.2,8.31,10.3,7.12,4.96,10.6,12.4,12.2
79,USGS,02172002,2016-12-18,13.2,8.6,8.04,10.1,6.56,4.64,10.4,12.6,12.2
80,USGS,02172002,2016-12-19,12.8,8.9,8.58,10.0,6.28,3.44,10.6,12.7,11.9
81,USGS,02172002,2016-12-20,12.4,9.0,8.76,10.3,6.95,5.00,10.7,11.9,11.7
82,USGS,02172002,2016-12-21,12.0,9.4,8.48,10.5,6.97,4.81,10.7,11.7,11.5
83,USGS,02172002,2016-12-22,12.2,9.5,8.36,10.4,6.62,4.71,10.7,11.5,11.3
84,USGS,02172002,2016-12-23,11.8,9.7,8.35,10.4,6.78,4.01,10.7,11.5,11.3
85,USGS,02172002,2016-12-24,12.2,9.7,8.79,10.4,6.61,5.08,10.7,11.6,11.3
86,USGS,02172002,2016-12-25,12.0,9.7,8.29,10.4,6.17,3.73,10.7,11.6,11.4
87,USGS,02172002,2016-12-26,11.5,9.4,8.53,10.3,6.45,3.84,10.5,11.5,11.3
88,USGS,02172002,2016-12-27,12.4,9.7,8.62,10.5,6.30,4.29,11.0,11.9,11.5
89,USGS,02172002,2016-12-28,,9.6,8.19,10.5,5.84,3.12,10.8,,
90,USGS,02172002,2016-12-29,12.8,9.7,8.66,10.3,6.00,3.50,10.7,12.3,11.8
91,USGS,02172002,2016-12-30,,,7.91,,5.38,1.82,,,
92,USGS,02172002,2016-12-31,11.9,9.1,7.98,10.4,6.60,4.12,10.7,11.9,11.8
93,USGS,02172002,2017-01-01,11.9,9.1,8.38,10.1,6.04,3.53,10.6,11.8,11.3
94,USGS,02172002,2017-01-02,12.4,9.2,8.55,10.0,5.99,3.50,10.6,12.0,11.8
95,USGS,02172002,2017-01-03,12.6,9.0,8.35,10.1,5.96,3.29,10.7,12.2,12.0
96,USGS,02172002,2017-01-04,12.5,9.4,8.34,10.2,5.98,3.27,10.7,12.3,12.2
97,USGS,02172002,2017-01-05,12.6,8.3,8.78,10.2,6.88,4.88,10.6,12.3,12.1
