,agency_cd,site_no,datetime,Temperature_Max,Gage height_Max,Temperature_Mean,Temperature_Min,Dissolved oxygen_Max,Gage height_Min,Dissolved oxygen_Mean,Gage height_Mean,Dissolved oxygen_Min
300,USGS,02110802,2017-07-27,29.8,17.63,29.4,29.0,4.6,15.12,4.2,16.65,3.9
301,USGS,02110802,2017-07-28,29.7,17.46,29.4,29.1,4.5,14.94,4.1,16.44,3.8
302,USGS,02110802,2017-07-29,29.5,17.35,29.3,29.1,4.3,14.61,4.0,16.21,3.8
303,USGS,02110802,2017-07-30,29.1,17.49,28.8,28.5,5.0,14.72,4.4,16.41,3.9
304,USGS,02110802,2017-07-31,28.5,17.69,28.2,27.9,5.1,15.59,4.7,16.91,4.3
305,USGS,02110802,2017-08-01,28.1,17.62,27.8,27.5,5.1,15.46,4.7,16.89,4.5
306,USGS,02110802,2017-08-02,28.0,17.44,27.6,27.2,5.0,14.87,4.6,16.52,4.4
307,USGS,02110802,2017-08-03,27.9,17.41,27.6,27.3,5.0,14.75,4.6,16.30,4.4
308,USGS,02110802,2017-08-04,28.0,17.36,27.5,27.2,5.0,14.41,4.6,16.12,4.4
309,USGS,02110802,2017-08-05,28.2,17.20,27.7,27.4,5.0,14.19,4.6,15.91,4.4
310,USGS,02110802,2017-08-06,28.6,17.32,28.1,27.7,5.0,14.29,4.7,15.87,4.5
311,USGS,02110802,2017-08-07,28.7,17.31,28.4,28.1,5.2,14.45,4.9,16.04,4.5
312,USGS,02110802,2017-08-08,,17.30,,,,14.25,,15.90,
313,USGS,02110802,2017-08-09,,17.24,,,,14.56,,16.10,
314,USGS,02110802,2017-08-10,27.7,17.46,27.3,27.1,5.1,15.07,4.7,16.55,4.4
315,USGS,02110802,2017-08-11,27.8,17.52,27.4,26.9,4.7,15.04,4.4,16.51,4.2
316,USGS,02110802,2017-08-12,28.3,17.44,27.8,27.4,4.5,14.83,4.2,16.39,4.0
317,USGS,02110802,2017-08-13,28.5,17.27,28.2,28.0,4.2,14.47,4.0,16.12,3.8
318,USGS,02110802,2017-08-14,28.6,17.38,28.4,28.2,4.2,14.51,3.9,16.24,3.7
319,USGS,02110802,2017-08-15,29.1,17.52,28.7,28.3,4.0,14.82,3.7,16.52,3.5
320,USGS,02110802,2017-08-16,29.7,17.55,29.2,28.8,3.8,14.70,3.5,16.46,3.4
321,USGS,02110802,2017-08-17,29.8,17.65,29.5,29.2,3.6,14.98,3.4,16.61,3.2
322,USGS,02110802,2017-08-18,30.0,17.66,29.6,29.2,3.6,14.99,3.4,16.66,3.2
323,USGS,02110802,2017-08-19,30.0,17.63,29.7,29.4,3.6,14.79,3.4,16.53,3.1
324,USGS,02110802,2017-08-20,30.0,17.70,29.6,29.1,3.7,14.93,3.4,16.58,3.0
325,USGS,02110802,2017-08-21,30.1,17.69,29.3,29.0,3.9,15.16,3.5,16.72,3.2
326,USGS,02110802,2017-08-22,29.4,17.70,28.7,28.2,3.7,15.28,3.4,16.74,3.1
327,USGS,02110802,2017-08-23,28.8,17.69,28.3,27.6,3.4,15.16,3.2,16.69,2.9
328,USGS,02110802,2017-08-24,28.4,17.76,27.8,27.5,3.8,15.80,3.5,17.02,3.1
329,USGS,02110802,2017-08-25,27.8,17.83,27.5,27.1,3.3,15.91,3.1,17.17,2.7
330,USGS,02110802,2017-08-26,27.3,17.93,27.0,26.7,3.3,16.31,3.0,17.37,2.7
331,USGS,02110802,2017-08-27,26.7,18.10,26.5,26.2,3.4,16.73,3.1,17.59,2.8
332,USGS,02110802,2017-08-28,26.2,18.26,25.7,25.2,3.8,16.90,3.3,17.70,2.9
333,USGS,02110802,2017-08-29,25.2,18.13,24.8,24.3,3.7,16.74,3.3,17.59,2.9
334,USGS,02110802,2017-08-30,24.5,18.00,24.3,24.1,3.1,16.41,2.9,17.37,2.5
335,USGS,02110802,2017-08-31,25.1,17.94,24.6,24.2,2.9,16.21,2.7,17.31,2.5
336,USGS,02110802,2017-09-01,,17.93,,,3.3,15.97,2.9,17.16,2.6
337,USGS,02110802,2017-09-02,25.5,17.97,25.3,25.2,3.2,16.05,3.1,17.15,2.8
338,USGS,02110802,2017-09-03,25.4,17.89,25.1,24.7,3.2,15.88,3.0,17.15,2.8
339,USGS,02110802,2017-09-04,25.5,17.98,25.1,24.6,3.1,15.83,2.9,17.08,2.7
340,USGS,02110802,2017-09-05,25.8,17.94,25.3,24.8,2.9,15.93,2.7,17.19,2.4
341,USGS,02110802,2017-09-06,25.5,17.93,25.2,24.9,2.9,15.92,2.6,17.12,2.2
342,USGS,02110802,2017-09-07,25.1,17.82,24.5,24.2,2.9,15.78,2.7,17.02,2.5
343,USGS,02110802,2017-09-08,24.5,17.88,24.0,23.4,2.9,15.95,2.7,17.18,2.4
344,USGS,02110802,2017-09-09,23.8,18.07,23.4,22.9,3.2,16.43,2.8,17.46,2.6
345,USGS,02110802,2017-09-10,23.0,18.23,22.6,22.1,3.3,17.00,3.1,17.73,2.9
346,USGS,02110802,2017-09-11,22.2,,21.9,21.6,5.1,,3.9,,3.0
347,USGS,02110802,2017-09-12,22.7,,22.2,21.8,5.0,,4.1,,2.8
348,USGS,02110802,2017-09-13,23.0,18.40,22.6,22.2,2.9,17.29,2.5,17.97,2.1
349,USGS,02110802,2017-09-14,23.7,18.29,23.3,22.9,2.6,16.90,2.3,17.73,2.0
350,USGS,02110802,2017-09-15,24.1,18.18,23.8,23.4,2.5,16.52,2.1,17.55,1.8
351,USGS,02110802,2017-09-16,24.6,18.29,24.2,23.9,2.4,16.44,2.1,17.51,1.8
352,USGS,02110802,2017-09-17,24.8,18.31,24.5,24.1,2.2,16.83,2.0,17.67,1.8
353,USGS,02110802,2017-09-18,25.0,18.34,24.6,24.2,2.1,17.01,1.9,17.76,1.6
354,USGS,02110802,2017-09-19,25.0,18.32,24.7,24.2,1.8,17.07,1.7,17.80,1.5
355,USGS,02110802,2017-09-20,25.2,18.32,24.7,24.3,1.7,17.07,1.6,17.78,1.3
356,USGS,02110802,2017-09-21,25.6,18.27,24.9,24.6,1.6,17.01,1.5,17.72,1.2
357,USGS,02110802,2017-09-22,25.4,18.18,24.9,24.5,1.6,16.81,1.5,17.62,1.2
358,USGS,02110802,2017-09-23,25.5,18.10,24.9,24.4,1.6,16.61,1.4,17.53,1.2
359,USGS,02110802,2017-09-24,25.5,18.20,25.0,24.7,1.8,16.81,1.6,17.67,1.4
360,USGS,02110802,2017-09-25,24.9,18.22,24.6,24.3,1.8,17.14,1.6,17.76,1.4
361,USGS,02110802,2017-09-26,25.1,18.15,24.4,24.1,1.8,16.95,1.5,17.67,1.2
362,USGS,02110802,2017-09-27,25.3,18.10,24.7,24.4,1.4,16.65,1.3,17.57,1.0
363,USGS,02110802,2017-09-28,25.6,18.04,25.2,24.8,1.3,16.58,1.2,17.49,0.8
364,USGS,02110802,2017-09-29,25.8,17.91,25.5,25.3,1.4,16.13,1.2,17.28,0.9
365,USGS,02110802,2017-09-30,25.6,17.90,25.3,25.0,1.8,16.03,1.5,17.21,1.2
