,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02171800,2016-09-30,5.10,6.85,3.02
1,USGS,02171800,2016-10-01,5.41,7.12,3.32
2,USGS,02171800,2016-10-02,5.39,7.04,3.39
3,USGS,02171800,2016-10-03,5.44,6.99,3.52
4,USGS,02171800,2016-10-04,5.81,7.29,3.93
5,USGS,02171800,2016-10-05,5.96,7.26,4.36
6,USGS,02171800,2016-10-06,6.21,7.53,4.62
7,USGS,02171800,2016-10-07,6.73,7.97,4.96
8,USGS,02171800,2016-10-08,8.44,9.60,6.82
9,USGS,02171800,2016-10-09,6.79,7.49,6.06
10,USGS,02171800,2016-10-10,7.42,8.30,6.68
11,USGS,02171800,2016-10-11,7.60,8.23,6.91
12,USGS,02171800,2016-10-12,7.53,8.33,6.70
13,USGS,02171800,2016-10-13,7.13,8.03,5.94
14,USGS,02171800,2016-10-14,6.69,7.94,5.00
15,USGS,02171800,2016-10-15,6.52,7.92,4.63
16,USGS,02171800,2016-10-16,6.29,7.87,4.34
17,USGS,02171800,2016-10-17,6.18,7.83,4.09
18,USGS,02171800,2016-10-18,6.06,7.77,4.01
19,USGS,02171800,2016-10-19,5.75,7.60,3.61
20,USGS,02171800,2016-10-20,5.81,7.58,3.63
21,USGS,02171800,2016-10-21,5.84,7.59,3.93
22,USGS,02171800,2016-10-22,5.34,7.20,3.19
23,USGS,02171800,2016-10-23,5.87,7.48,3.94
24,USGS,02171800,2016-10-24,5.44,6.98,3.39
25,USGS,02171800,2016-10-25,5.80,7.38,3.46
26,USGS,02171800,2016-10-26,5.63,7.08,3.66
27,USGS,02171800,2016-10-27,5.34,6.95,3.41
28,USGS,02171800,2016-10-28,5.13,6.84,3.17
29,USGS,02171800,2016-10-29,5.35,7.08,3.13
30,USGS,02171800,2016-10-30,5.18,6.99,3.25
31,USGS,02171800,2016-10-31,5.11,7.02,2.91
32,USGS,02171800,2016-11-01,5.83,7.48,4.10
33,USGS,02171800,2016-11-02,5.33,7.08,3.58
