,agency_cd,site_no,datetime,Gage height_Max,Gage height_Mean,Gage height_Min
0,USGS,02187910,2016-09-30,2.63,2.57,2.51
1,USGS,02187910,2016-10-01,2.53,2.50,2.47
2,USGS,02187910,2016-10-02,2.52,2.49,2.45
3,USGS,02187910,2016-10-03,2.50,2.48,2.44
4,USGS,02187910,2016-10-04,2.49,2.47,2.43
5,USGS,02187910,2016-10-05,2.49,2.46,2.42
6,USGS,02187910,2016-10-06,2.47,2.44,2.41
7,USGS,02187910,2016-10-07,2.48,2.44,2.42
8,USGS,02187910,2016-10-08,3.18,2.74,2.48
9,USGS,02187910,2016-10-09,2.58,2.52,2.47
10,USGS,02187910,2016-10-10,2.51,2.48,2.44
11,USGS,02187910,2016-10-11,2.49,2.46,2.42
12,USGS,02187910,2016-10-12,2.47,2.44,2.41
13,USGS,02187910,2016-10-13,2.47,2.44,2.40
14,USGS,02187910,2016-10-14,2.46,2.44,2.40
15,USGS,02187910,2016-10-15,2.46,2.44,2.41
16,USGS,02187910,2016-10-16,2.46,2.45,2.42
17,USGS,02187910,2016-10-17,2.48,2.46,2.43
18,USGS,02187910,2016-10-18,2.48,2.46,2.41
19,USGS,02187910,2016-10-19,2.49,2.45,2.41
20,USGS,02187910,2016-10-20,2.47,2.44,2.39
21,USGS,02187910,2016-10-21,2.45,2.43,2.39
22,USGS,02187910,2016-10-22,2.43,2.40,2.37
23,USGS,02187910,2016-10-23,2.40,2.39,2.36
24,USGS,02187910,2016-10-24,2.42,2.39,2.36
25,USGS,02187910,2016-10-25,2.42,2.40,2.36
26,USGS,02187910,2016-10-26,2.42,2.41,2.37
27,USGS,02187910,2016-10-27,2.44,2.42,2.39
28,USGS,02187910,2016-10-28,2.45,2.43,2.40
29,USGS,02187910,2016-10-29,2.45,2.43,2.39
30,USGS,02187910,2016-10-30,2.46,2.43,2.39
31,USGS,02187910,2016-10-31,2.46,2.44,2.40
32,USGS,02187910,2016-11-01,2.47,2.44,2.40
33,USGS,02187910,2016-11-02,2.48,2.46,2.41
34,USGS,02187910,2016-11-03,2.48,2.46,2.42
35,USGS,02187910,2016-11-04,2.48,2.46,2.41
36,USGS,02187910,2016-11-05,2.64,2.53,2.41
37,USGS,02187910,2016-11-06,2.64,2.54,2.46
38,USGS,02187910,2016-11-07,2.51,2.47,2.43
39,USGS,02187910,2016-11-08,2.50,2.47,2.43
40,USGS,02187910,2016-11-09,2.55,2.51,2.47
41,USGS,02187910,2016-11-10,2.55,2.51,2.45
42,USGS,02187910,2016-11-11,2.53,2.51,2.46
43,USGS,02187910,2016-11-12,2.56,2.52,2.47
44,USGS,02187910,2016-11-13,2.60,2.54,2.47
45,USGS,02187910,2016-11-14,2.80,2.70,2.60
46,USGS,02187910,2016-11-15,2.67,2.64,2.62
47,USGS,02187910,2016-11-16,2.67,2.64,2.60
48,USGS,02187910,2016-11-17,2.72,2.68,2.65
49,USGS,02187910,2016-11-18,2.72,2.66,2.60
50,USGS,02187910,2016-11-19,2.67,2.62,2.59
51,USGS,02187910,2016-11-20,2.66,2.62,2.57
52,USGS,02187910,2016-11-21,2.62,2.60,2.57
53,USGS,02187910,2016-11-22,2.65,2.63,2.61
54,USGS,02187910,2016-11-23,2.67,2.65,2.61
55,USGS,02187910,2016-11-24,2.74,2.72,2.67
56,USGS,02187910,2016-11-25,2.75,2.71,2.67
57,USGS,02187910,2016-11-26,2.73,2.71,2.68
58,USGS,02187910,2016-11-27,2.75,2.71,2.67
59,USGS,02187910,2016-11-28,2.72,2.70,2.67
60,USGS,02187910,2016-11-29,3.72,2.99,2.70
61,USGS,02187910,2016-11-30,3.65,3.31,3.17
62,USGS,02187910,2016-12-01,4.20,3.74,3.45
63,USGS,02187910,2016-12-02,3.57,3.36,3.18
64,USGS,02187910,2016-12-03,3.18,3.07,3.01
65,USGS,02187910,2016-12-04,3.15,3.02,2.99
66,USGS,02187910,2016-12-05,3.64,3.45,3.15
67,USGS,02187910,2016-12-06,3.74,3.62,3.51
68,USGS,02187910,2016-12-07,3.73,3.52,3.40
69,USGS,02187910,2016-12-08,3.40,3.28,3.19
70,USGS,02187910,2016-12-09,3.19,3.10,3.04
71,USGS,02187910,2016-12-10,3.06,3.00,2.96
72,USGS,02187910,2016-12-11,2.99,2.95,2.92
73,USGS,02187910,2016-12-12,2.95,2.93,2.91
74,USGS,02187910,2016-12-13,2.95,2.93,2.90
75,USGS,02187910,2016-12-14,2.94,2.93,2.91
76,USGS,02187910,2016-12-15,2.94,2.91,2.88
77,USGS,02187910,2016-12-16,2.93,2.89,2.86
78,USGS,02187910,2016-12-17,2.94,2.89,2.86
79,USGS,02187910,2016-12-18,2.90,2.87,2.85
80,USGS,02187910,2016-12-19,2.95,2.92,2.89
81,USGS,02187910,2016-12-20,2.95,2.93,2.91
82,USGS,02187910,2016-12-21,2.95,2.91,2.87
83,USGS,02187910,2016-12-22,2.93,2.89,2.86
84,USGS,02187910,2016-12-23,2.93,2.87,2.84
85,USGS,02187910,2016-12-24,2.88,2.85,2.83
86,USGS,02187910,2016-12-25,2.87,2.85,2.82
87,USGS,02187910,2016-12-26,2.87,2.85,2.84
88,USGS,02187910,2016-12-27,2.90,2.87,2.85
89,USGS,02187910,2016-12-28,2.91,2.88,2.84
90,USGS,02187910,2016-12-29,3.15,2.97,2.88
91,USGS,02187910,2016-12-30,3.13,3.10,3.04
92,USGS,02187910,2016-12-31,3.13,3.06,3.02
93,USGS,02187910,2017-01-01,3.09,3.02,2.99
94,USGS,02187910,2017-01-02,4.19,3.58,3.09
95,USGS,02187910,2017-01-03,5.28,4.78,3.94
96,USGS,02187910,2017-01-04,4.79,4.45,4.18
97,USGS,02187910,2017-01-05,4.18,3.89,3.69
98,USGS,02187910,2017-01-06,3.69,3.56,3.48
99,USGS,02187910,2017-01-07,4.17,3.85,3.51
100,USGS,02187910,2017-01-08,3.89,3.75,3.62
101,USGS,02187910,2017-01-09,3.63,3.52,3.46
102,USGS,02187910,2017-01-10,3.47,3.39,3.30
103,USGS,02187910,2017-01-11,3.30,3.27,3.24
104,USGS,02187910,2017-01-12,3.27,3.24,3.21
105,USGS,02187910,2017-01-13,3.24,3.22,3.19
106,USGS,02187910,2017-01-14,3.22,3.19,3.16
107,USGS,02187910,2017-01-15,3.21,3.19,3.17
108,USGS,02187910,2017-01-16,3.20,3.16,3.13
109,USGS,02187910,2017-01-17,3.18,3.15,3.12
110,USGS,02187910,2017-01-18,3.18,3.15,3.12
111,USGS,02187910,2017-01-19,3.14,3.12,3.09
112,USGS,02187910,2017-01-20,3.29,3.20,3.12
113,USGS,02187910,2017-01-21,5.17,3.60,3.20
114,USGS,02187910,2017-01-22,5.26,4.80,4.66
115,USGS,02187910,2017-01-23,5.12,4.83,4.61
116,USGS,02187910,2017-01-24,4.64,4.37,4.13
117,USGS,02187910,2017-01-25,4.13,3.98,3.85
118,USGS,02187910,2017-01-26,3.86,3.77,3.70
119,USGS,02187910,2017-01-27,3.70,3.63,3.57
120,USGS,02187910,2017-01-28,3.57,3.50,3.45
121,USGS,02187910,2017-01-29,3.46,3.41,3.37
122,USGS,02187910,2017-01-30,3.38,3.35,3.32
123,USGS,02187910,2017-01-31,3.34,3.31,3.29
124,USGS,02187910,2017-02-01,3.33,3.31,3.29
125,USGS,02187910,2017-02-02,3.33,3.30,3.27
126,USGS,02187910,2017-02-03,3.31,3.28,3.25
127,USGS,02187910,2017-02-04,3.28,3.24,3.21
128,USGS,02187910,2017-02-05,3.24,3.20,3.17
129,USGS,02187910,2017-02-06,3.21,3.19,3.16
130,USGS,02187910,2017-02-07,3.34,3.20,3.16
131,USGS,02187910,2017-02-08,4.27,3.84,3.34
132,USGS,02187910,2017-02-09,4.73,4.20,3.76
133,USGS,02187910,2017-02-10,4.10,3.88,3.74
134,USGS,02187910,2017-02-11,3.75,3.66,3.61
135,USGS,02187910,2017-02-12,3.62,3.55,3.51
136,USGS,02187910,2017-02-13,3.52,3.48,3.44
137,USGS,02187910,2017-02-14,3.45,3.41,3.38
138,USGS,02187910,2017-02-15,4.05,3.57,3.37
139,USGS,02187910,2017-02-16,3.86,3.73,3.63
140,USGS,02187910,2017-02-17,3.64,3.53,3.47
141,USGS,02187910,2017-02-18,3.47,3.42,3.39
142,USGS,02187910,2017-02-19,3.41,3.38,3.36
143,USGS,02187910,2017-02-20,3.38,3.37,3.36
144,USGS,02187910,2017-02-21,3.36,3.33,3.30
145,USGS,02187910,2017-02-22,3.49,3.38,3.31
146,USGS,02187910,2017-02-23,3.45,3.41,3.39
147,USGS,02187910,2017-02-24,3.41,3.36,3.32
148,USGS,02187910,2017-02-25,3.35,3.31,3.29
149,USGS,02187910,2017-02-26,3.30,3.26,3.22
150,USGS,02187910,2017-02-27,3.25,3.22,3.19
151,USGS,02187910,2017-02-28,3.23,3.21,3.19
152,USGS,02187910,2017-03-01,3.62,3.26,3.19
153,USGS,02187910,2017-03-02,4.21,3.82,3.61
154,USGS,02187910,2017-03-03,3.66,3.54,3.46
155,USGS,02187910,2017-03-04,3.47,3.39,3.34
156,USGS,02187910,2017-03-05,3.37,3.32,3.29
157,USGS,02187910,2017-03-06,3.33,3.31,3.29
158,USGS,02187910,2017-03-07,3.32,3.30,3.27
159,USGS,02187910,2017-03-08,3.37,3.33,3.31
160,USGS,02187910,2017-03-09,3.33,3.30,3.27
161,USGS,02187910,2017-03-10,3.61,3.39,3.27
162,USGS,02187910,2017-03-11,3.45,3.36,3.33
163,USGS,02187910,2017-03-12,3.74,3.50,3.33
164,USGS,02187910,2017-03-13,3.62,3.54,3.50
165,USGS,02187910,2017-03-14,3.60,3.54,3.49
166,USGS,02187910,2017-03-15,3.54,3.47,3.43
167,USGS,02187910,2017-03-16,3.43,3.37,3.34
168,USGS,02187910,2017-03-17,3.34,3.32,3.30
169,USGS,02187910,2017-03-18,3.32,3.30,3.27
170,USGS,02187910,2017-03-19,3.30,3.28,3.25
171,USGS,02187910,2017-03-20,3.28,3.25,3.23
172,USGS,02187910,2017-03-21,3.29,3.24,3.21
173,USGS,02187910,2017-03-22,3.58,3.41,3.29
174,USGS,02187910,2017-03-23,3.42,3.37,3.32
175,USGS,02187910,2017-03-24,3.32,3.28,3.24
176,USGS,02187910,2017-03-25,3.26,3.24,3.21
177,USGS,02187910,2017-03-26,3.43,3.25,3.23
178,USGS,02187910,2017-03-27,3.75,3.49,3.37
179,USGS,02187910,2017-03-28,3.57,3.47,3.41
180,USGS,02187910,2017-03-29,3.46,3.41,3.38
181,USGS,02187910,2017-03-30,3.42,3.36,3.33
182,USGS,02187910,2017-03-31,3.98,3.68,3.42
183,USGS,02187910,2017-04-01,3.98,3.85,3.68
184,USGS,02187910,2017-04-02,3.68,3.57,3.50
185,USGS,02187910,2017-04-03,4.20,3.56,3.44
186,USGS,02187910,2017-04-04,4.30,4.05,3.93
187,USGS,02187910,2017-04-05,5.75,4.34,3.79
188,USGS,02187910,2017-04-06,6.29,6.11,5.67
189,USGS,02187910,2017-04-07,6.12,5.57,4.99
190,USGS,02187910,2017-04-08,5.02,4.60,4.31
191,USGS,02187910,2017-04-09,4.32,4.13,3.99
192,USGS,02187910,2017-04-10,3.99,3.88,3.81
193,USGS,02187910,2017-04-11,3.81,3.73,3.69
194,USGS,02187910,2017-04-12,3.69,3.64,3.61
195,USGS,02187910,2017-04-13,3.94,3.68,3.56
196,USGS,02187910,2017-04-14,3.56,3.50,3.47
197,USGS,02187910,2017-04-15,3.50,3.45,3.41
198,USGS,02187910,2017-04-16,3.50,3.46,3.42
199,USGS,02187910,2017-04-17,3.42,3.38,3.35
200,USGS,02187910,2017-04-18,3.82,3.47,3.35
201,USGS,02187910,2017-04-19,4.60,4.14,3.80
202,USGS,02187910,2017-04-20,4.29,4.14,3.93
203,USGS,02187910,2017-04-21,3.93,3.80,3.68
204,USGS,02187910,2017-04-22,3.68,3.61,3.50
205,USGS,02187910,2017-04-23,5.46,4.18,3.48
206,USGS,02187910,2017-04-24,7.73,6.89,5.42
207,USGS,02187910,2017-04-25,7.76,7.52,6.88
208,USGS,02187910,2017-04-26,6.88,5.82,5.11
209,USGS,02187910,2017-04-27,5.11,4.76,4.49
210,USGS,02187910,2017-04-28,4.50,4.35,4.24
211,USGS,02187910,2017-04-29,4.24,4.10,4.01
212,USGS,02187910,2017-04-30,4.01,3.93,3.86
213,USGS,02187910,2017-05-01,3.87,3.83,3.79
214,USGS,02187910,2017-05-02,3.79,3.72,3.67
215,USGS,02187910,2017-05-03,3.67,3.62,3.57
216,USGS,02187910,2017-05-04,3.63,3.57,3.54
217,USGS,02187910,2017-05-05,4.76,4.55,3.63
218,USGS,02187910,2017-05-06,4.50,4.18,3.98
219,USGS,02187910,2017-05-07,4.18,4.01,3.87
220,USGS,02187910,2017-05-08,3.87,3.75,3.69
221,USGS,02187910,2017-05-09,3.72,3.62,3.56
222,USGS,02187910,2017-05-10,3.56,3.50,3.46
223,USGS,02187910,2017-05-11,3.46,3.42,3.39
224,USGS,02187910,2017-05-12,3.50,3.41,3.38
225,USGS,02187910,2017-05-13,4.37,3.87,3.49
226,USGS,02187910,2017-05-14,3.69,3.59,3.52
227,USGS,02187910,2017-05-15,3.52,3.49,3.42
228,USGS,02187910,2017-05-16,3.42,3.37,3.34
229,USGS,02187910,2017-05-17,3.35,3.31,3.29
230,USGS,02187910,2017-05-18,3.30,3.26,3.23
231,USGS,02187910,2017-05-19,3.25,3.23,3.21
232,USGS,02187910,2017-05-20,3.23,3.20,3.17
233,USGS,02187910,2017-05-21,7.88,5.95,3.23
234,USGS,02187910,2017-05-22,8.90,8.61,7.88
235,USGS,02187910,2017-05-23,8.31,7.02,6.26
236,USGS,02187910,2017-05-24,6.26,5.94,5.75
237,USGS,02187910,2017-05-25,6.11,5.76,5.29
238,USGS,02187910,2017-05-26,5.29,4.88,4.61
239,USGS,02187910,2017-05-27,4.61,4.42,4.13
240,USGS,02187910,2017-05-28,4.13,4.01,3.96
241,USGS,02187910,2017-05-29,4.22,4.02,3.93
242,USGS,02187910,2017-05-30,3.95,3.73,3.46
243,USGS,02187910,2017-05-31,3.46,3.40,3.36
244,USGS,02187910,2017-06-01,3.36,3.32,3.30
245,USGS,02187910,2017-06-02,3.30,3.26,3.23
246,USGS,02187910,2017-06-03,3.25,3.22,3.19
247,USGS,02187910,2017-06-04,3.19,3.16,3.14
248,USGS,02187910,2017-06-05,3.53,3.33,3.15
249,USGS,02187910,2017-06-06,4.37,4.02,3.44
250,USGS,02187910,2017-06-07,5.40,4.41,3.62
251,USGS,02187910,2017-06-08,4.14,3.67,3.42
252,USGS,02187910,2017-06-09,3.42,3.34,3.27
253,USGS,02187910,2017-06-10,3.27,3.21,3.18
254,USGS,02187910,2017-06-11,3.18,3.14,3.11
