,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Max,Gage height_Min
0,USGS,02162093,2016-09-30,0.44,0.45,0.44
1,USGS,02162093,2016-10-01,0.44,0.45,0.44
2,USGS,02162093,2016-10-02,0.44,0.45,0.44
3,USGS,02162093,2016-10-03,0.44,0.45,0.44
4,USGS,02162093,2016-10-04,0.45,0.45,0.44
5,USGS,02162093,2016-10-05,0.45,0.45,0.45
6,USGS,02162093,2016-10-06,0.45,0.48,0.45
7,USGS,02162093,2016-10-07,0.59,1.78,0.45
8,USGS,02162093,2016-10-08,2.49,6.44,0.82
9,USGS,02162093,2016-10-09,0.69,0.82,0.60
10,USGS,02162093,2016-10-10,0.57,0.60,0.55
11,USGS,02162093,2016-10-11,0.54,0.56,0.52
12,USGS,02162093,2016-10-12,0.52,0.53,0.50
13,USGS,02162093,2016-10-13,0.50,0.51,0.48
14,USGS,02162093,2016-10-14,0.49,0.49,0.48
15,USGS,02162093,2016-10-15,0.48,0.49,0.48
16,USGS,02162093,2016-10-16,0.48,0.49,0.48
17,USGS,02162093,2016-10-17,0.48,0.49,0.48
18,USGS,02162093,2016-10-18,0.48,0.48,0.47
19,USGS,02162093,2016-10-19,0.48,0.48,0.47
20,USGS,02162093,2016-10-20,0.48,0.49,0.48
21,USGS,02162093,2016-10-21,0.48,0.49,0.47
22,USGS,02162093,2016-10-22,0.49,0.49,0.48
23,USGS,02162093,2016-10-23,0.49,0.49,0.48
24,USGS,02162093,2016-10-24,0.49,0.50,0.49
25,USGS,02162093,2016-10-25,0.49,0.50,0.49
26,USGS,02162093,2016-10-26,0.49,0.51,0.48
27,USGS,02162093,2016-10-27,0.51,0.57,0.49
28,USGS,02162093,2016-10-28,0.52,0.57,0.48
29,USGS,02162093,2016-10-29,0.48,0.49,0.48
30,USGS,02162093,2016-10-30,0.48,0.49,0.48
31,USGS,02162093,2016-10-31,0.49,0.49,0.49
32,USGS,02162093,2016-11-01,0.50,0.51,0.49
33,USGS,02162093,2016-11-02,0.50,0.52,0.49
34,USGS,02162093,2016-11-03,0.51,0.53,0.50
35,USGS,02162093,2016-11-04,0.51,0.52,0.51
36,USGS,02162093,2016-11-05,0.52,0.52,0.51
37,USGS,02162093,2016-11-06,0.52,0.52,0.51
38,USGS,02162093,2016-11-07,0.52,0.52,0.51
39,USGS,02162093,2016-11-08,0.52,0.53,0.52
40,USGS,02162093,2016-11-09,0.53,0.54,0.52
41,USGS,02162093,2016-11-10,0.53,0.56,0.52
