,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max,Precipitation
95,USGS,02196999,2017-01-03,114.94,114.40,115.32,1.04
96,USGS,02196999,2017-01-04,114.39,114.08,114.68,0.00
97,USGS,02196999,2017-01-05,114.39,113.98,114.62,0.00
98,USGS,02196999,2017-01-06,114.60,114.22,114.69,0.93
99,USGS,02196999,2017-01-07,114.63,114.47,114.82,0.35
100,USGS,02196999,2017-01-08,114.69,114.34,115.28,0.00
101,USGS,02196999,2017-01-09,114.55,114.32,114.92,0.00
102,USGS,02196999,2017-01-10,114.55,114.32,114.89,0.00
103,USGS,02196999,2017-01-11,114.59,114.37,114.90,0.00
104,USGS,02196999,2017-01-12,114.87,114.72,115.04,0.00
105,USGS,02196999,2017-01-13,114.80,114.73,114.87,0.00
106,USGS,02196999,2017-01-14,114.64,114.48,114.76,0.00
107,USGS,02196999,2017-01-15,114.79,114.70,114.89,0.00
108,USGS,02196999,2017-01-16,114.52,114.47,114.70,0.00
109,USGS,02196999,2017-01-17,114.73,114.48,114.83,0.00
110,USGS,02196999,2017-01-18,114.65,114.47,114.88,0.00
111,USGS,02196999,2017-01-19,114.51,114.33,114.80,0.00
112,USGS,02196999,2017-01-20,114.52,114.23,114.78,0.00
113,USGS,02196999,2017-01-21,114.73,114.49,114.94,0.76
114,USGS,02196999,2017-01-22,114.86,114.53,115.07,2.45
115,USGS,02196999,2017-01-23,114.96,114.45,115.51,0.02
116,USGS,02196999,2017-01-24,114.59,114.11,114.94,0.00
117,USGS,02196999,2017-01-25,114.54,114.24,115.00,0.00
118,USGS,02196999,2017-01-26,114.51,114.26,114.61,0.25
119,USGS,02196999,2017-01-27,114.66,114.54,114.78,0.00
120,USGS,02196999,2017-01-28,114.70,114.39,115.12,0.00
121,USGS,02196999,2017-01-29,114.69,114.39,114.92,0.00
122,USGS,02196999,2017-01-30,114.58,114.46,114.87,0.00
123,USGS,02196999,2017-01-31,114.75,114.47,115.06,0.00
124,USGS,02196999,2017-02-01,114.69,114.31,115.07,0.00
125,USGS,02196999,2017-02-02,114.73,114.35,114.99,0.00
126,USGS,02196999,2017-02-03,114.81,114.64,115.05,0.03
127,USGS,02196999,2017-02-04,114.58,114.38,114.73,0.00
128,USGS,02196999,2017-02-05,114.88,114.67,115.20,0.00
129,USGS,02196999,2017-02-06,114.69,114.51,114.91,0.00
130,USGS,02196999,2017-02-07,114.53,114.33,114.78,0.59
131,USGS,02196999,2017-02-08,114.65,114.32,115.00,0.01
132,USGS,02196999,2017-02-09,114.61,114.35,114.85,0.21
133,USGS,02196999,2017-02-10,114.72,114.43,114.88,0.00
134,USGS,02196999,2017-02-11,114.83,114.69,115.02,0.00
135,USGS,02196999,2017-02-12,114.74,114.51,114.93,0.00
136,USGS,02196999,2017-02-13,114.59,114.51,114.71,0.00
137,USGS,02196999,2017-02-14,114.80,114.68,114.91,0.00
138,USGS,02196999,2017-02-15,114.67,114.50,114.82,1.01
139,USGS,02196999,2017-02-16,114.62,114.42,115.04,0.00
140,USGS,02196999,2017-02-17,114.64,114.44,114.79,0.00
141,USGS,02196999,2017-02-18,115.02,114.69,115.32,0.01
142,USGS,02196999,2017-02-19,114.91,114.62,115.05,0.01
143,USGS,02196999,2017-02-20,114.88,114.62,115.07,0.00
144,USGS,02196999,2017-02-21,114.97,114.53,115.25,0.00
145,USGS,02196999,2017-02-22,114.70,114.51,114.97,0.11
146,USGS,02196999,2017-02-23,114.68,114.48,115.00,0.00
147,USGS,02196999,2017-02-24,114.76,114.63,114.84,0.00
148,USGS,02196999,2017-02-25,114.74,114.69,114.81,0.00
149,USGS,02196999,2017-02-26,114.83,114.69,114.99,0.00
150,USGS,02196999,2017-02-27,114.90,114.68,114.96,0.06
151,USGS,02196999,2017-02-28,114.83,114.57,114.90,0.00
152,USGS,02196999,2017-03-01,114.80,114.59,114.94,0.10
153,USGS,02196999,2017-03-02,114.64,114.14,115.04,0.01
154,USGS,02196999,2017-03-03,114.88,114.54,115.06,0.00
155,USGS,02196999,2017-03-04,114.64,114.43,114.82,0.00
156,USGS,02196999,2017-03-05,114.74,114.54,114.89,0.00
157,USGS,02196999,2017-03-06,114.64,114.25,115.06,0.02
158,USGS,02196999,2017-03-07,114.54,114.33,114.89,0.00
159,USGS,02196999,2017-03-08,114.82,114.50,114.96,0.00
160,USGS,02196999,2017-03-09,114.66,114.53,114.80,0.00
161,USGS,02196999,2017-03-10,114.51,114.40,114.56,0.00
162,USGS,02196999,2017-03-11,114.56,114.39,114.80,0.00
163,USGS,02196999,2017-03-12,114.90,114.67,115.08,0.31
164,USGS,02196999,2017-03-13,114.65,114.37,114.90,0.50
165,USGS,02196999,2017-03-14,114.56,114.31,114.86,0.16
166,USGS,02196999,2017-03-15,114.62,114.34,114.92,0.00
167,USGS,02196999,2017-03-16,114.63,114.45,114.79,0.00
168,USGS,02196999,2017-03-17,114.90,114.51,115.35,0.00
169,USGS,02196999,2017-03-18,115.10,114.84,115.33,0.00
170,USGS,02196999,2017-03-19,115.04,114.88,115.17,0.00
171,USGS,02196999,2017-03-20,115.03,114.88,115.21,0.00
172,USGS,02196999,2017-03-21,114.69,114.50,115.03,0.60
173,USGS,02196999,2017-03-22,114.61,114.51,114.69,0.01
174,USGS,02196999,2017-03-23,114.81,114.66,114.97,0.00
175,USGS,02196999,2017-03-24,114.80,114.60,115.00,0.00
176,USGS,02196999,2017-03-25,114.82,114.63,114.91,0.00
177,USGS,02196999,2017-03-26,114.40,114.24,114.63,0.00
178,USGS,02196999,2017-03-27,114.74,114.26,114.97,0.00
179,USGS,02196999,2017-03-28,114.89,114.67,115.04,0.00
180,USGS,02196999,2017-03-29,114.80,114.65,114.93,0.00
181,USGS,02196999,2017-03-30,114.74,114.57,114.90,0.03
182,USGS,02196999,2017-03-31,114.76,114.58,115.00,0.16
183,USGS,02196999,2017-04-01,114.77,114.61,114.88,0.00
184,USGS,02196999,2017-04-02,114.61,114.41,114.87,0.00
185,USGS,02196999,2017-04-03,114.83,114.44,114.99,0.46
186,USGS,02196999,2017-04-04,114.85,114.73,115.06,0.00
187,USGS,02196999,2017-04-05,114.83,114.66,114.99,0.68
188,USGS,02196999,2017-04-06,114.39,113.55,115.24,0.00
189,USGS,02196999,2017-04-07,114.47,113.69,115.24,0.00
190,USGS,02196999,2017-04-08,115.04,114.27,115.53,0.00
191,USGS,02196999,2017-04-09,114.92,114.51,115.22,0.00
192,USGS,02196999,2017-04-10,114.30,114.18,114.51,0.00
193,USGS,02196999,2017-04-11,114.42,114.04,115.35,0.00
194,USGS,02196999,2017-04-12,114.88,114.39,115.35,0.00
195,USGS,02196999,2017-04-13,114.92,114.64,115.12,0.00
196,USGS,02196999,2017-04-14,114.92,114.75,115.06,0.00
197,USGS,02196999,2017-04-15,114.92,114.83,114.99,0.00
198,USGS,02196999,2017-04-16,114.93,114.76,115.11,0.00
199,USGS,02196999,2017-04-17,114.73,114.51,114.84,0.00
200,USGS,02196999,2017-04-18,114.92,114.81,115.08,0.00
