,agency_cd,site_no,datetime,Gage height_Max,Gage height_Min,Gage height_Mean
0,USGS,02171850,2016-09-30,11.25,6.85,9.24
1,USGS,02171850,2016-10-01,11.49,7.08,9.52
2,USGS,02171850,2016-10-02,11.39,7.20,9.50
3,USGS,02171850,2016-10-03,11.36,7.40,9.55
4,USGS,02171850,2016-10-04,11.57,7.77,9.90
5,USGS,02171850,2016-10-05,11.59,8.15,10.00
6,USGS,02171850,2016-10-06,11.70,8.32,10.16
7,USGS,02171850,2016-10-07,12.37,8.69,10.75
8,USGS,02171850,2016-10-08,13.99,10.01,12.29
9,USGS,02171850,2016-10-09,11.34,9.00,10.09
10,USGS,02171850,2016-10-10,12.26,9.70,10.93
11,USGS,02171850,2016-10-11,12.13,9.81,11.04
12,USGS,02171850,2016-10-12,12.28,9.58,11.01
13,USGS,02171850,2016-10-13,12.03,8.91,10.70
14,USGS,02171850,2016-10-14,12.05,8.37,10.48
15,USGS,02171850,2016-10-15,12.05,8.30,10.48
16,USGS,02171850,2016-10-16,12.07,8.02,10.32
17,USGS,02171850,2016-10-17,12.08,7.81,10.24
18,USGS,02171850,2016-10-18,12.04,7.74,10.12
19,USGS,02171850,2016-10-19,11.88,7.35,9.81
20,USGS,02171850,2016-10-20,11.82,7.29,9.80
21,USGS,02171850,2016-10-21,11.85,7.60,9.82
22,USGS,02171850,2016-10-22,11.47,6.87,9.34
23,USGS,02171850,2016-10-23,11.63,7.65,9.84
24,USGS,02171850,2016-10-24,11.16,7.23,9.47
25,USGS,02171850,2016-10-25,11.59,7.62,9.82
26,USGS,02171850,2016-10-26,11.31,7.47,9.70
27,USGS,02171850,2016-10-27,11.28,7.27,9.46
28,USGS,02171850,2016-10-28,11.16,7.08,9.25
29,USGS,02171850,2016-10-29,11.42,7.02,9.48
30,USGS,02171850,2016-10-30,11.32,7.12,9.30
31,USGS,02171850,2016-10-31,11.33,6.82,9.25
32,USGS,02171850,2016-11-01,11.77,7.91,9.94
33,USGS,02171850,2016-11-02,11.42,7.44,9.43
34,USGS,02171850,2016-11-03,11.07,7.09,9.03
35,USGS,02171850,2016-11-04,10.94,6.97,9.09
36,USGS,02171850,2016-11-05,11.41,7.89,9.70
37,USGS,02171850,2016-11-06,11.20,7.62,9.39
38,USGS,02171850,2016-11-07,11.15,7.53,9.38
39,USGS,02171850,2016-11-08,11.40,7.76,9.70
40,USGS,02171850,2016-11-09,11.28,7.24,9.60
41,USGS,02171850,2016-11-10,11.44,7.30,9.67
42,USGS,02171850,2016-11-11,11.58,7.30,9.80
43,USGS,02171850,2016-11-12,11.93,7.22,10.20
44,USGS,02171850,2016-11-13,12.08,7.71,10.21
45,USGS,02171850,2016-11-14,12.05,7.41,9.97
46,USGS,02171850,2016-11-15,11.94,6.91,9.71
47,USGS,02171850,2016-11-16,11.90,6.95,9.64
48,USGS,02171850,2016-11-17,11.65,6.84,9.39
49,USGS,02171850,2016-11-18,11.59,6.85,9.32
50,USGS,02171850,2016-11-19,11.42,6.93,9.10
51,USGS,02171850,2016-11-20,11.10,6.45,8.77
52,USGS,02171850,2016-11-21,11.03,7.01,9.05
53,USGS,02171850,2016-11-22,10.82,6.91,8.98
54,USGS,02171850,2016-11-23,10.68,6.83,8.86
55,USGS,02171850,2016-11-24,10.77,6.63,8.79
56,USGS,02171850,2016-11-25,10.73,6.56,8.77
57,USGS,02171850,2016-11-26,10.93,6.72,8.95
58,USGS,02171850,2016-11-27,11.43,7.07,9.53
59,USGS,02171850,2016-11-28,11.46,7.20,9.48
60,USGS,02171850,2016-11-29,11.49,7.31,9.42
61,USGS,02171850,2016-11-30,11.21,6.85,9.03
62,USGS,02171850,2016-12-01,10.82,6.51,8.47
63,USGS,02171850,2016-12-02,10.97,6.34,8.61
64,USGS,02171850,2016-12-03,11.11,6.51,8.81
65,USGS,02171850,2016-12-04,11.20,6.99,9.18
66,USGS,02171850,2016-12-05,10.90,7.07,9.06
67,USGS,02171850,2016-12-06,11.58,7.54,9.75
68,USGS,02171850,2016-12-07,11.15,7.09,9.22
69,USGS,02171850,2016-12-08,11.16,6.92,9.36
70,USGS,02171850,2016-12-09,11.22,6.71,9.27
71,USGS,02171850,2016-12-10,11.30,6.67,9.22
72,USGS,02171850,2016-12-11,11.48,6.48,9.27
73,USGS,02171850,2016-12-12,11.64,6.53,9.14
74,USGS,02171850,2016-12-13,11.75,6.15,9.39
75,USGS,02171850,2016-12-14,11.87,6.71,9.57
76,USGS,02171850,2016-12-15,11.77,6.90,9.43
77,USGS,02171850,2016-12-16,11.82,6.62,9.52
78,USGS,02171850,2016-12-17,11.59,7.09,9.37
79,USGS,02171850,2016-12-18,11.19,6.62,8.79
80,USGS,02171850,2016-12-19,11.12,6.65,8.79
81,USGS,02171850,2016-12-20,11.01,7.07,9.08
82,USGS,02171850,2016-12-21,10.78,7.02,9.02
83,USGS,02171850,2016-12-22,10.80,6.68,8.89
84,USGS,02171850,2016-12-23,10.82,7.29,9.18
85,USGS,02171850,2016-12-24,11.14,6.71,9.00
86,USGS,02171850,2016-12-25,10.66,6.63,8.66
87,USGS,02171850,2016-12-26,11.11,6.73,9.15
88,USGS,02171850,2016-12-27,10.93,6.48,8.54
89,USGS,02171850,2016-12-28,10.60,6.02,8.25
90,USGS,02171850,2016-12-29,11.16,6.29,8.34
91,USGS,02171850,2016-12-30,10.52,5.82,7.93
92,USGS,02171850,2016-12-31,11.11,6.31,8.67
93,USGS,02171850,2017-01-01,11.10,6.49,8.64
94,USGS,02171850,2017-01-02,10.80,6.36,8.42
95,USGS,02171850,2017-01-03,10.89,6.50,8.44
96,USGS,02171850,2017-01-04,10.67,6.41,8.40
97,USGS,02171850,2017-01-05,11.02,6.98,9.05
98,USGS,02171850,2017-01-06,11.09,6.69,8.94
99,USGS,02171850,2017-01-07,11.35,6.25,8.97
100,USGS,02171850,2017-01-08,11.19,6.56,8.93
101,USGS,02171850,2017-01-09,11.50,6.52,9.32
102,USGS,02171850,2017-01-10,11.73,6.79,9.55
103,USGS,02171850,2017-01-11,11.77,6.88,9.33
104,USGS,02171850,2017-01-12,11.44,6.36,8.81
105,USGS,02171850,2017-01-13,11.24,6.04,8.48
106,USGS,02171850,2017-01-14,11.16,5.92,8.45
107,USGS,02171850,2017-01-15,11.09,6.16,8.45
108,USGS,02171850,2017-01-16,10.95,6.40,8.59
109,USGS,02171850,2017-01-17,10.70,6.42,8.42
110,USGS,02171850,2017-01-18,9.99,5.86,7.74
111,USGS,02171850,2017-01-19,10.52,6.81,8.71
112,USGS,02171850,2017-01-20,10.91,7.12,9.12
113,USGS,02171850,2017-01-21,10.79,7.24,9.05
114,USGS,02171850,2017-01-22,10.96,7.50,9.18
115,USGS,02171850,2017-01-23,11.06,6.89,9.18
116,USGS,02171850,2017-01-24,10.94,6.77,8.82
117,USGS,02171850,2017-01-25,11.15,6.78,9.07
118,USGS,02171850,2017-01-26,10.98,6.27,8.54
119,USGS,02171850,2017-01-27,10.97,6.05,8.53
120,USGS,02171850,2017-01-28,10.93,5.99,8.41
121,USGS,02171850,2017-01-29,10.61,5.96,8.06
122,USGS,02171850,2017-01-30,10.32,5.73,7.87
123,USGS,02171850,2017-01-31,10.79,6.15,8.26
124,USGS,02171850,2017-02-01,10.69,6.14,8.26
125,USGS,02171850,2017-02-02,10.47,6.17,8.22
126,USGS,02171850,2017-02-03,10.78,6.61,8.72
127,USGS,02171850,2017-02-04,10.92,7.01,9.08
128,USGS,02171850,2017-02-05,11.35,6.29,8.95
129,USGS,02171850,2017-02-06,10.84,6.24,8.59
130,USGS,02171850,2017-02-07,11.15,6.24,8.75
131,USGS,02171850,2017-02-08,11.31,6.38,8.75
132,USGS,02171850,2017-02-09,11.05,5.57,8.18
133,USGS,02171850,2017-02-10,11.17,5.78,8.74
134,USGS,02171850,2017-02-11,11.00,6.24,8.49
135,USGS,02171850,2017-02-12,10.75,5.97,8.11
