,agency_cd,site_no,datetime,Gage height_Mean,Dissolved oxygen_Max,Gage height_Max,Temperature_Max,Dissolved oxygen_Mean,Dissolved oxygen_Min,Temperature_Mean,Gage height_Min,Temperature_Min
300,USGS,02110777,2017-07-27,13.10,7.0,15.36,31.2,6.4,5.1,30.4,10.86,29.8
301,USGS,02110777,2017-07-28,13.03,6.8,15.36,31.1,6.3,5.7,30.6,10.90,30.3
302,USGS,02110777,2017-07-29,12.82,6.5,14.95,30.7,6.1,5.2,30.3,10.80,30.0
303,USGS,02110777,2017-07-30,13.21,6.5,15.28,30.0,6.0,5.2,29.4,11.15,29.0
304,USGS,02110777,2017-07-31,13.67,6.7,15.74,29.3,6.1,5.1,28.8,11.64,28.4
305,USGS,02110777,2017-08-01,13.52,7.2,15.61,29.2,6.4,5.4,28.8,11.51,28.2
306,USGS,02110777,2017-08-02,13.21,7.1,15.24,29.5,6.5,5.6,29.0,11.23,28.5
307,USGS,02110777,2017-08-03,13.16,6.8,15.27,29.5,6.4,5.6,29.1,11.30,28.7
308,USGS,02110777,2017-08-04,13.09,6.5,15.36,29.6,6.1,5.3,29.1,10.90,28.9
309,USGS,02110777,2017-08-05,12.82,6.6,15.06,29.7,6.1,5.2,29.1,10.69,28.6
310,USGS,02110777,2017-08-06,12.94,6.6,15.50,30.3,6.0,5.2,29.6,10.84,29.0
311,USGS,02110777,2017-08-07,12.95,6.6,15.35,30.2,5.9,5.0,29.9,10.76,29.6
312,USGS,02110777,2017-08-08,12.74,6.6,15.33,29.8,6.0,4.9,29.2,10.52,28.7
313,USGS,02110777,2017-08-09,12.99,6.3,15.61,28.7,5.7,4.5,28.4,10.74,28.0
314,USGS,02110777,2017-08-10,13.17,6.3,15.52,28.2,5.6,4.8,27.9,10.82,27.6
315,USGS,02110777,2017-08-11,13.08,6.5,15.38,29.1,5.9,4.9,28.3,10.81,27.7
316,USGS,02110777,2017-08-12,13.00,6.7,15.15,29.7,6.1,5.2,29.0,10.82,28.4
317,USGS,02110777,2017-08-13,12.79,6.5,14.99,30.3,6.1,5.0,29.6,10.53,29.0
318,USGS,02110777,2017-08-14,12.96,6.3,15.33,30.4,5.9,5.0,30.0,10.66,29.5
319,USGS,02110777,2017-08-15,13.21,6.3,15.75,31.2,5.7,4.9,30.5,10.94,29.9
320,USGS,02110777,2017-08-16,13.18,6.3,15.78,31.7,5.7,4.9,31.1,10.77,30.5
321,USGS,02110777,2017-08-17,13.39,6.2,16.14,31.6,5.6,4.6,31.2,10.89,30.7
322,USGS,02110777,2017-08-18,13.41,6.0,16.15,32.0,5.5,4.6,31.1,10.71,30.5
323,USGS,02110777,2017-08-19,13.24,6.1,16.08,31.7,5.6,4.8,31.2,10.41,30.8
324,USGS,02110777,2017-08-20,13.30,5.9,16.34,31.8,5.5,4.7,31.0,10.48,30.4
325,USGS,02110777,2017-08-21,13.24,5.7,16.13,31.4,5.2,4.2,31.0,10.45,30.8
326,USGS,02110777,2017-08-22,13.29,5.8,16.15,31.5,5.3,4.4,30.9,10.58,30.2
327,USGS,02110777,2017-08-23,13.23,6.1,15.94,31.5,5.5,4.7,30.9,10.66,30.3
328,USGS,02110777,2017-08-24,13.51,6.2,16.06,30.8,5.9,5.0,29.6,11.07,29.2
329,USGS,02110777,2017-08-25,13.59,5.9,15.94,29.4,5.6,4.8,29.1,11.16,28.8
330,USGS,02110777,2017-08-26,13.64,6.0,15.90,29.1,5.6,5.2,28.8,11.35,28.4
331,USGS,02110777,2017-08-27,13.85,6.2,16.08,28.9,5.7,5.0,28.2,11.63,27.8
332,USGS,02110777,2017-08-28,14.00,6.2,16.18,28.4,5.7,4.7,27.2,12.00,26.7
333,USGS,02110777,2017-08-29,13.75,6.2,15.91,27.3,5.8,4.7,26.5,11.95,26.3
334,USGS,02110777,2017-08-30,13.81,5.8,15.76,26.7,5.5,4.5,26.2,12.02,25.7
335,USGS,02110777,2017-08-31,13.71,5.6,15.69,27.2,5.0,4.1,26.5,11.95,26.0
336,USGS,02110777,2017-09-01,13.55,5.5,15.64,27.3,5.2,4.6,26.7,11.68,26.0
337,USGS,02110777,2017-09-02,13.64,5.3,15.85,27.6,5.1,4.4,27.2,11.78,26.9
338,USGS,02110777,2017-09-03,13.40,5.4,15.58,27.6,5.0,4.7,27.1,11.41,26.7
339,USGS,02110777,2017-09-04,13.52,5.5,16.10,28.1,5.2,4.5,27.2,11.31,26.7
340,USGS,02110777,2017-09-05,13.52,5.5,16.03,28.1,5.3,4.7,27.3,11.21,26.9
341,USGS,02110777,2017-09-06,13.38,5.7,15.95,27.4,5.6,5.3,26.9,11.04,26.4
342,USGS,02110777,2017-09-07,13.34,5.7,15.97,26.7,5.5,5.0,26.2,10.91,25.9
343,USGS,02110777,2017-09-08,13.48,5.4,15.88,26.3,5.2,5.0,25.8,11.00,25.4
344,USGS,02110777,2017-09-09,13.73,5.6,16.34,26.1,5.3,4.9,25.1,11.21,24.8
345,USGS,02110777,2017-09-10,13.85,6.1,16.36,25.0,5.7,5.3,24.0,11.43,23.5
346,USGS,02110777,2017-09-11,14.60,6.8,17.46,23.5,6.2,5.7,22.8,11.84,22.6
347,USGS,02110777,2017-09-12,14.41,7.2,17.40,23.8,7.0,6.5,23.1,11.99,22.6
348,USGS,02110777,2017-09-13,13.65,7.0,16.26,24.6,6.5,5.8,23.9,11.53,23.3
349,USGS,02110777,2017-09-14,13.64,5.9,16.31,25.4,5.4,4.9,24.8,11.49,24.2
350,USGS,02110777,2017-09-15,13.53,5.0,16.02,26.0,4.7,4.3,25.2,11.20,24.5
351,USGS,02110777,2017-09-16,13.67,4.8,16.34,26.3,4.3,4.0,25.4,11.15,25.0
352,USGS,02110777,2017-09-17,13.90,4.7,16.70,26.0,4.4,4.2,25.5,11.24,25.2
353,USGS,02110777,2017-09-18,13.99,4.7,16.76,26.1,4.5,4.2,25.5,11.22,25.1
354,USGS,02110777,2017-09-19,14.00,4.8,16.82,26.4,4.5,4.3,25.8,11.33,25.2
355,USGS,02110777,2017-09-20,13.99,4.7,16.62,26.9,4.4,4.2,26.2,11.37,25.6
356,USGS,02110777,2017-09-21,13.88,4.6,16.46,26.9,4.3,4.0,26.5,11.38,26.1
357,USGS,02110777,2017-09-22,13.72,4.4,16.32,26.9,4.1,3.8,26.4,11.38,25.8
358,USGS,02110777,2017-09-23,13.75,4.3,16.16,26.8,4.0,3.7,26.5,11.49,26.0
359,USGS,02110777,2017-09-24,14.08,4.6,16.43,26.8,4.2,3.8,26.4,11.84,26.0
360,USGS,02110777,2017-09-25,14.13,4.5,16.26,26.7,4.3,4.0,26.1,12.16,25.7
361,USGS,02110777,2017-09-26,14.13,4.6,16.16,26.3,4.3,4.0,25.8,12.16,25.2
362,USGS,02110777,2017-09-27,14.11,4.4,16.09,26.4,4.2,3.9,25.9,12.08,25.3
363,USGS,02110777,2017-09-28,14.02,4.2,15.95,26.7,4.0,3.7,26.2,12.39,25.7
364,USGS,02110777,2017-09-29,13.82,4.2,15.72,27.1,3.9,3.5,26.6,12.00,26.2
365,USGS,02110777,2017-09-30,13.77,4.7,15.70,26.8,4.2,3.6,26.4,11.77,25.7
