,agency_cd,site_no,datetime
0,USGS,02162287,2017-03-02
1,USGS,02162287,2017-03-03
2,USGS,02162287,2017-03-04
3,USGS,02162287,2017-03-05
4,USGS,02162287,2017-03-06
5,USGS,02162287,2017-03-07
6,USGS,02162287,2017-03-08
7,USGS,02162287,2017-03-09
8,USGS,02162287,2017-03-10
9,USGS,02162287,2017-03-11
10,USGS,02162287,2017-03-12
11,USGS,02162287,2017-03-13
12,USGS,02162287,2017-03-14
13,USGS,02162287,2017-03-15
14,USGS,02162287,2017-03-16
15,USGS,02162287,2017-03-17
16,USGS,02162287,2017-03-18
17,USGS,02162287,2017-03-19
18,USGS,02162287,2017-03-20
19,USGS,02162287,2017-03-21
20,USGS,02162287,2017-03-22
21,USGS,02162287,2017-03-23
22,USGS,02162287,2017-03-24
23,USGS,02162287,2017-03-25
24,USGS,02162287,2017-03-26
25,USGS,02162287,2017-03-27
26,USGS,02162287,2017-03-28
27,USGS,02162287,2017-03-29
28,USGS,02162287,2017-03-30
29,USGS,02162287,2017-03-31
30,USGS,02162287,2017-04-01
31,USGS,02162287,2017-04-02
32,USGS,02162287,2017-04-03
33,USGS,02162287,2017-04-04
34,USGS,02162287,2017-04-05
35,USGS,02162287,2017-04-06
36,USGS,02162287,2017-04-07
37,USGS,02162287,2017-04-08
38,USGS,02162287,2017-04-09
39,USGS,02162287,2017-04-10
40,USGS,02162287,2017-04-11
41,USGS,02162287,2017-04-12
42,USGS,02162287,2017-04-13
43,USGS,02162287,2017-04-14
44,USGS,02162287,2017-04-15
45,USGS,02162287,2017-04-16
46,USGS,02162287,2017-04-17
47,USGS,02162287,2017-04-18
48,USGS,02162287,2017-04-19
49,USGS,02162287,2017-04-20
50,USGS,02162287,2017-04-21
51,USGS,02162287,2017-04-22
52,USGS,02162287,2017-04-23
53,USGS,02162287,2017-04-24
54,USGS,02162287,2017-04-25
55,USGS,02162287,2017-04-26
56,USGS,02162287,2017-04-27
57,USGS,02162287,2017-04-28
58,USGS,02162287,2017-04-29
59,USGS,02162287,2017-04-30
60,USGS,02162287,2017-05-01
61,USGS,02162287,2017-05-02
62,USGS,02162287,2017-05-03
63,USGS,02162287,2017-05-04
64,USGS,02162287,2017-05-05
65,USGS,02162287,2017-05-06
66,USGS,02162287,2017-05-07
67,USGS,02162287,2017-05-08
68,USGS,02162287,2017-05-09
69,USGS,02162287,2017-05-10
70,USGS,02162287,2017-05-11
71,USGS,02162287,2017-05-12
72,USGS,02162287,2017-05-13
73,USGS,02162287,2017-05-14
74,USGS,02162287,2017-05-15
75,USGS,02162287,2017-05-16
76,USGS,02162287,2017-05-17
77,USGS,02162287,2017-05-18
78,USGS,02162287,2017-05-19
79,USGS,02162287,2017-05-20
80,USGS,02162287,2017-05-21
81,USGS,02162287,2017-05-22
82,USGS,02162287,2017-05-23
83,USGS,02162287,2017-05-24
84,USGS,02162287,2017-05-25
85,USGS,02162287,2017-05-26
86,USGS,02162287,2017-05-27
87,USGS,02162287,2017-05-28
88,USGS,02162287,2017-05-29
89,USGS,02162287,2017-05-30
90,USGS,02162287,2017-05-31
