,agency_cd,site_no,datetime,Gage height_Mean,Temperature_Mean,Temperature_Min,Temperature_Max,Gage height_Min,Gage height_Max
111,USGS,330428079214800,2017-01-19,,,,,,
112,USGS,330428079214800,2017-01-20,,,,,,
113,USGS,330428079214800,2017-01-21,,,,,,
114,USGS,330428079214800,2017-01-22,,,,,,
115,USGS,330428079214800,2017-01-23,,,,,,
116,USGS,330428079214800,2017-01-24,,,,,,
117,USGS,330428079214800,2017-01-25,,,,,,
118,USGS,330428079214800,2017-01-26,,,,,,
119,USGS,330428079214800,2017-01-27,,,,,,
120,USGS,330428079214800,2017-01-28,,,,,,
121,USGS,330428079214800,2017-01-29,,,,,,
122,USGS,330428079214800,2017-01-30,,,,,,
123,USGS,330428079214800,2017-01-31,,,,,,
124,USGS,330428079214800,2017-02-01,,,,,,
125,USGS,330428079214800,2017-02-02,,,,,,
126,USGS,330428079214800,2017-02-03,,,,,,
127,USGS,330428079214800,2017-02-04,,,,,,
128,USGS,330428079214800,2017-02-05,,,,,,
129,USGS,330428079214800,2017-02-06,,,,,,
130,USGS,330428079214800,2017-02-07,,,,,,
131,USGS,330428079214800,2017-02-08,,,,,,
132,USGS,330428079214800,2017-02-09,,,,,,
133,USGS,330428079214800,2017-02-10,,,,,,
134,USGS,330428079214800,2017-02-11,,,,,,
135,USGS,330428079214800,2017-02-12,,,,,,
136,USGS,330428079214800,2017-02-13,,,,,,
137,USGS,330428079214800,2017-02-14,,,,,,
138,USGS,330428079214800,2017-02-15,,,,,,
139,USGS,330428079214800,2017-02-16,,,,,,
140,USGS,330428079214800,2017-02-17,,,,,,
141,USGS,330428079214800,2017-02-18,,,,,,
142,USGS,330428079214800,2017-02-19,,,,,,
143,USGS,330428079214800,2017-02-20,,,,,,
144,USGS,330428079214800,2017-02-21,,,,,,
145,USGS,330428079214800,2017-02-22,,,,,,
146,USGS,330428079214800,2017-02-23,,,,,,
147,USGS,330428079214800,2017-02-24,,,,,,
148,USGS,330428079214800,2017-02-25,,,,,,
149,USGS,330428079214800,2017-02-26,,,,,,
150,USGS,330428079214800,2017-02-27,,,,,,
151,USGS,330428079214800,2017-02-28,,,,,,
152,USGS,330428079214800,2017-03-01,,,,,,
153,USGS,330428079214800,2017-03-02,,,,,,
154,USGS,330428079214800,2017-03-03,,,,,,
155,USGS,330428079214800,2017-03-04,,,,,,
156,USGS,330428079214800,2017-03-05,,,,,,
157,USGS,330428079214800,2017-03-06,,,,,,
158,USGS,330428079214800,2017-03-07,,,,,,
159,USGS,330428079214800,2017-03-08,,,,,,
160,USGS,330428079214800,2017-03-09,,,,,,
161,USGS,330428079214800,2017-03-10,,,,,,
162,USGS,330428079214800,2017-03-11,,,,,,
163,USGS,330428079214800,2017-03-12,,,,,,
164,USGS,330428079214800,2017-03-13,,,,,,
165,USGS,330428079214800,2017-03-14,,,,,,
166,USGS,330428079214800,2017-03-15,,,,,,
