,agency_cd,site_no,datetime,Dissolved oxygen_Mean,Temperature_Min,Temperature_Max,Temperature_Mean,Gage height_Max,Gage height_Min,Dissolved oxygen_Min,Dissolved oxygen_Max,Gage height_Mean
264,USGS,02171645,2017-06-21,7.0,27.9,28.5,28.2,19.29,8.33,5.1,8.5,12.49
265,USGS,02171645,2017-06-22,7.0,27.8,28.6,28.1,19.61,10.44,3.7,8.7,14.35
266,USGS,02171645,2017-06-23,7.6,28.2,29.3,28.6,20.84,11.42,4.3,9.1,15.86
267,USGS,02171645,2017-06-24,8.1,29.0,29.5,29.2,21.16,12.74,6.6,8.9,17.02
268,USGS,02171645,2017-06-25,7.8,28.7,29.4,29.1,21.34,13.33,5.9,8.5,17.52
269,USGS,02171645,2017-06-26,7.5,28.4,29.0,28.6,19.92,12.45,5.8,8.8,16.01
270,USGS,02171645,2017-06-27,7.7,28.1,29.0,28.5,19.65,10.97,5.7,9.0,14.69
271,USGS,02171645,2017-06-28,8.0,28.4,29.0,28.6,19.66,11.16,6.2,9.0,15.07
272,USGS,02171645,2017-06-29,7.8,28.1,28.8,28.5,18.22,11.06,5.6,8.9,13.98
273,USGS,02171645,2017-06-30,7.2,27.8,28.7,28.2,16.51,8.32,5.4,8.4,11.13
274,USGS,02171645,2017-07-01,7.2,27.5,28.5,28.0,15.54,8.30,5.4,9.3,11.22
275,USGS,02171645,2017-07-02,7.4,27.8,29.2,28.4,17.01,8.34,6.1,8.9,11.30
276,USGS,02171645,2017-07-03,7.5,28.5,30.1,29.3,16.66,8.38,6.8,8.7,11.25
277,USGS,02171645,2017-07-04,7.1,29.5,30.9,30.0,16.57,7.99,5.8,8.3,10.96
278,USGS,02171645,2017-07-05,7.0,29.7,31.2,30.4,16.70,8.20,5.9,8.5,11.16
279,USGS,02171645,2017-07-06,7.5,30.3,31.3,30.8,18.53,8.67,5.3,8.8,12.65
280,USGS,02171645,2017-07-07,7.6,30.7,31.6,31.0,18.94,9.82,6.3,8.6,13.97
281,USGS,02171645,2017-07-08,7.3,30.4,31.3,30.7,17.18,9.82,6.2,8.6,12.83
282,USGS,02171645,2017-07-09,6.9,30.1,31.6,30.6,16.68,8.36,5.8,8.4,11.44
283,USGS,02171645,2017-07-10,6.6,30.3,31.4,30.7,16.74,8.35,5.2,8.3,11.19
284,USGS,02171645,2017-07-11,7.0,30.5,31.4,30.8,17.16,8.82,5.6,8.4,11.52
285,USGS,02171645,2017-07-12,6.6,30.3,32.2,30.8,16.84,7.83,5.8,7.7,10.74
286,USGS,02171645,2017-07-13,6.6,30.6,32.2,31.3,16.65,8.47,5.5,7.6,11.46
287,USGS,02171645,2017-07-14,6.7,31.3,32.2,31.8,18.87,8.33,5.7,7.6,12.78
288,USGS,02171645,2017-07-15,6.5,31.4,32.6,31.8,17.29,9.09,5.6,7.5,12.13
289,USGS,02171645,2017-07-16,5.8,30.9,31.7,31.4,11.51,7.25,4.8,6.3,8.76
290,USGS,02171645,2017-07-17,5.5,30.3,31.1,30.6,16.34,6.80,4.5,6.6,9.30
291,USGS,02171645,2017-07-18,5.9,29.4,31.1,30.0,15.83,7.77,5.1,7.2,10.42
292,USGS,02171645,2017-07-19,6.5,29.0,30.5,29.5,17.11,7.79,5.9,7.5,11.04
293,USGS,02171645,2017-07-20,6.5,29.4,31.1,29.9,16.62,8.42,5.7,7.7,11.28
294,USGS,02171645,2017-07-21,6.7,29.8,31.6,30.5,17.12,8.56,6.0,7.8,11.70
295,USGS,02171645,2017-07-22,6.8,30.8,32.1,31.2,18.20,8.84,5.7,7.7,12.37
296,USGS,02171645,2017-07-23,7.0,30.8,31.6,31.2,20.13,10.63,6.1,7.6,15.44
297,USGS,02171645,2017-07-24,6.1,30.6,31.2,30.9,15.53,8.51,4.6,7.0,11.38
298,USGS,02171645,2017-07-25,5.3,30.2,31.6,30.8,8.51,6.84,3.5,5.9,7.38
299,USGS,02171645,2017-07-26,4.9,30.5,31.4,31.0,6.84,6.69,4.1,5.9,6.75
300,USGS,02171645,2017-07-27,4.7,30.1,31.6,30.6,6.69,6.66,3.2,5.8,6.68
301,USGS,02171645,2017-07-28,5.6,30.3,32.0,31.0,6.66,6.63,4.6,7.5,6.65
302,USGS,02171645,2017-07-29,5.2,30.2,31.2,30.7,6.64,6.59,4.6,6.0,6.63
303,USGS,02171645,2017-07-30,5.4,29.4,30.4,29.9,6.65,6.61,4.6,6.3,6.62
304,USGS,02171645,2017-07-31,5.8,28.9,30.4,29.6,6.62,6.58,4.9,7.3,6.60
305,USGS,02171645,2017-08-01,6.0,28.9,30.1,29.5,6.61,6.58,5.0,7.9,6.59
306,USGS,02171645,2017-08-02,6.1,28.8,30.0,29.5,6.59,6.57,5.0,7.8,6.58
307,USGS,02171645,2017-08-03,5.7,29.2,30.0,29.6,6.62,6.57,4.8,7.0,6.59
308,USGS,02171645,2017-08-04,5.3,29.1,30.1,29.5,6.59,6.56,4.5,6.7,6.58
309,USGS,02171645,2017-08-05,5.7,29.1,30.3,29.6,6.59,6.57,4.4,7.6,6.58
310,USGS,02171645,2017-08-06,5.8,29.1,30.5,29.5,12.82,6.56,4.6,7.8,7.52
311,USGS,02171645,2017-08-07,5.9,28.8,30.1,29.4,7.63,6.60,5.3,6.9,6.87
312,USGS,02171645,2017-08-08,5.5,28.5,29.5,29.1,6.74,6.57,4.2,6.6,6.64
313,USGS,02171645,2017-08-09,5.3,28.1,28.7,28.4,6.67,6.65,4.4,6.0,6.66
314,USGS,02171645,2017-08-10,5.4,28.0,29.0,28.4,6.78,6.67,4.6,6.1,6.71
315,USGS,02171645,2017-08-11,5.7,28.2,29.5,28.8,6.82,6.72,4.7,6.7,6.76
316,USGS,02171645,2017-08-12,5.7,28.7,30.5,29.3,6.78,6.71,4.1,7.3,6.74
317,USGS,02171645,2017-08-13,5.4,29.2,30.5,29.7,6.71,6.64,3.4,7.7,6.69
318,USGS,02171645,2017-08-14,4.7,29.0,30.4,29.5,6.75,6.69,3.5,6.4,6.71
319,USGS,02171645,2017-08-15,7.1,29.9,31.7,30.8,6.72,6.65,5.4,8.9,6.68
320,USGS,02171645,2017-08-16,5.2,30.1,31.8,30.8,6.66,6.62,2.4,6.8,6.64
321,USGS,02171645,2017-08-17,5.3,30.2,33.1,31.5,9.78,6.60,2.1,7.5,7.37
322,USGS,02171645,2017-08-18,6.5,31.7,33.0,32.3,9.76,6.67,5.4,7.8,7.53
323,USGS,02171645,2017-08-19,6.5,31.9,33.4,32.4,10.06,6.63,5.8,7.5,7.56
324,USGS,02171645,2017-08-20,6.1,31.7,33.0,32.3,7.88,6.60,4.4,7.0,6.92
325,USGS,02171645,2017-08-21,5.6,31.7,32.5,32.2,6.61,6.57,5.0,6.3,6.59
326,USGS,02171645,2017-08-22,5.4,31.4,32.8,31.9,6.61,6.56,4.7,6.7,6.58
327,USGS,02171645,2017-08-23,5.3,31.3,32.9,32.0,6.59,6.57,4.4,6.4,6.58
328,USGS,02171645,2017-08-24,4.9,31.2,32.3,31.7,6.61,6.56,4.0,6.1,6.57
329,USGS,02171645,2017-08-25,5.2,30.6,31.3,31.0,6.59,6.56,4.4,6.2,6.58
330,USGS,02171645,2017-08-26,5.3,30.2,31.2,30.7,6.62,6.56,4.4,6.6,6.58
331,USGS,02171645,2017-08-27,5.6,29.6,30.6,30.2,6.62,6.56,4.8,6.7,6.58
332,USGS,02171645,2017-08-28,5.9,27.8,29.6,28.6,11.40,6.56,5.1,6.4,7.09
333,USGS,02171645,2017-08-29,6.0,27.1,27.9,27.4,6.72,6.57,5.5,6.6,6.61
334,USGS,02171645,2017-08-30,6.0,26.8,27.7,27.2,6.59,6.57,5.3,7.0,6.58
335,USGS,02171645,2017-08-31,6.2,26.9,29.1,27.8,6.59,6.57,5.0,7.5,6.58
336,USGS,02171645,2017-09-01,5.7,27.2,28.9,28.1,8.10,6.57,4.3,7.0,6.73
337,USGS,02171645,2017-09-02,6.2,28.0,28.8,28.3,6.57,6.55,4.7,7.4,6.56
338,USGS,02171645,2017-09-03,6.0,27.6,28.8,28.2,6.55,6.52,5.1,7.3,6.54
339,USGS,02171645,2017-09-04,6.2,27.7,29.0,28.3,7.77,6.53,5.2,7.6,6.59
340,USGS,02171645,2017-09-05,5.5,27.8,29.2,28.4,6.65,6.52,4.1,7.1,6.56
341,USGS,02171645,2017-09-06,6.1,27.8,28.8,28.3,6.61,6.52,5.3,7.3,6.57
342,USGS,02171645,2017-09-07,6.7,27.1,28.3,27.6,17.63,6.57,5.3,8.1,11.35
343,USGS,02171645,2017-09-08,7.8,26.3,27.1,26.7,19.73,12.93,6.9,8.3,17.15
344,USGS,02171645,2017-09-09,8.0,25.2,26.7,25.7,20.83,19.73,7.6,8.4,20.43
345,USGS,02171645,2017-09-10,8.2,23.8,25.4,24.3,21.11,19.54,7.9,8.5,20.93
346,USGS,02171645,2017-09-11,7.8,22.9,23.8,23.3,19.58,11.76,7.3,8.2,14.71
347,USGS,02171645,2017-09-12,7.3,22.9,24.1,23.2,16.06,9.67,6.4,8.4,11.91
348,USGS,02171645,2017-09-13,8.1,23.0,25.2,23.9,19.10,10.37,7.1,9.0,14.57
349,USGS,02171645,2017-09-14,8.4,25.0,26.1,25.4,18.55,13.06,6.3,8.9,16.16
350,USGS,02171645,2017-09-15,8.3,25.8,27.2,26.4,18.09,11.52,7.2,8.9,14.78
351,USGS,02171645,2017-09-16,8.2,26.8,27.7,27.2,18.05,11.26,7.2,8.8,14.56
352,USGS,02171645,2017-09-17,7.8,26.7,27.9,27.3,15.87,10.38,6.2,8.6,13.11
353,USGS,02171645,2017-09-18,7.3,26.3,27.3,26.7,15.22,8.81,6.7,8.3,11.44
354,USGS,02171645,2017-09-19,6.9,26.1,27.3,26.4,15.17,8.20,6.3,8.0,10.94
355,USGS,02171645,2017-09-20,6.7,25.8,27.5,26.5,14.73,7.96,5.9,7.8,10.49
356,USGS,02171645,2017-09-21,7.0,26.8,28.2,27.4,15.19,8.34,6.2,7.9,11.11
357,USGS,02171645,2017-09-22,6.9,27.3,28.6,27.9,14.93,8.04,6.0,7.9,10.77
358,USGS,02171645,2017-09-23,6.6,27.7,29.0,28.3,10.53,6.90,5.9,7.0,8.17
359,USGS,02171645,2017-09-24,6.2,27.8,28.7,28.2,7.67,6.67,5.3,6.9,6.78
360,USGS,02171645,2017-09-25,5.6,27.4,28.3,27.9,6.67,6.61,4.7,6.3,6.64
361,USGS,02171645,2017-09-26,5.8,27.2,28.8,27.9,6.62,6.60,4.5,6.6,6.61
362,USGS,02171645,2017-09-27,6.0,27.4,29.1,28.3,6.61,6.57,5.0,7.0,6.59
363,USGS,02171645,2017-09-28,5.9,27.0,29.5,28.2,8.21,6.58,5.0,7.0,6.76
364,USGS,02171645,2017-09-29,5.2,26.5,27.6,27.0,9.76,6.63,4.7,5.8,6.84
365,USGS,02171645,2017-09-30,5.4,26.5,27.5,27.0,6.69,6.59,4.8,6.2,6.62
