,agency_cd,site_no,datetime,Gage height_Mean,Gage height_Min,Gage height_Max
0,USGS,02130810,2017-02-17,35.62,34.98,36.03
1,USGS,02130810,2017-02-18,36.44,36.02,37.24
2,USGS,02130810,2017-02-19,37.21,36.90,37.40
3,USGS,02130810,2017-02-20,,,
4,USGS,02130810,2017-02-21,35.28,35.00,35.64
5,USGS,02130810,2017-02-22,34.77,34.61,35.00
6,USGS,02130810,2017-02-23,,,
7,USGS,02130810,2017-02-24,,,
8,USGS,02130810,2017-02-25,36.19,35.42,36.72
9,USGS,02130810,2017-02-26,34.89,34.57,35.42
10,USGS,02130810,2017-02-27,34.47,34.36,34.58
11,USGS,02130810,2017-02-28,35.05,34.39,36.32
12,USGS,02130810,2017-03-01,36.68,36.28,36.91
13,USGS,02130810,2017-03-02,35.59,35.18,36.28
14,USGS,02130810,2017-03-03,35.61,35.09,35.89
15,USGS,02130810,2017-03-04,34.65,34.41,35.09
16,USGS,02130810,2017-03-05,34.33,34.24,34.42
17,USGS,02130810,2017-03-06,34.67,34.22,35.74
18,USGS,02130810,2017-03-07,36.32,35.74,36.53
19,USGS,02130810,2017-03-08,35.33,34.61,36.21
20,USGS,02130810,2017-03-09,34.33,34.18,34.61
21,USGS,02130810,2017-03-10,34.08,33.97,34.19
22,USGS,02130810,2017-03-11,33.91,33.84,34.00
23,USGS,02130810,2017-03-12,33.86,33.80,33.88
24,USGS,02130810,2017-03-13,33.91,33.85,33.98
25,USGS,02130810,2017-03-14,35.08,33.98,36.70
26,USGS,02130810,2017-03-15,36.49,35.82,36.90
27,USGS,02130810,2017-03-16,35.71,35.51,36.03
28,USGS,02130810,2017-03-17,36.27,36.02,36.43
29,USGS,02130810,2017-03-18,36.08,35.50,36.42
30,USGS,02130810,2017-03-19,34.99,34.76,35.50
31,USGS,02130810,2017-03-20,34.71,34.64,34.77
32,USGS,02130810,2017-03-21,34.63,34.57,34.75
33,USGS,02130810,2017-03-22,34.74,34.66,34.81
34,USGS,02130810,2017-03-23,34.60,34.50,34.68
35,USGS,02130810,2017-03-24,34.46,34.39,34.51
36,USGS,02130810,2017-03-25,34.46,34.40,34.59
37,USGS,02130810,2017-03-26,34.67,34.58,34.79
38,USGS,02130810,2017-03-27,34.79,34.72,34.82
39,USGS,02130810,2017-03-28,34.98,34.76,35.11
40,USGS,02130810,2017-03-29,34.79,34.62,34.98
41,USGS,02130810,2017-03-30,34.43,34.20,34.66
42,USGS,02130810,2017-03-31,34.16,34.09,34.22
43,USGS,02130810,2017-04-01,34.28,34.21,34.36
44,USGS,02130810,2017-04-02,34.36,34.30,34.38
45,USGS,02130810,2017-04-03,34.42,34.23,34.86
46,USGS,02130810,2017-04-04,35.82,34.86,36.54
47,USGS,02130810,2017-04-05,36.28,35.94,36.50
48,USGS,02130810,2017-04-06,36.30,35.73,38.34
49,USGS,02130810,2017-04-07,39.61,38.34,41.43
50,USGS,02130810,2017-04-08,42.79,41.43,43.44
51,USGS,02130810,2017-04-09,43.47,43.27,43.56
52,USGS,02130810,2017-04-10,42.69,42.03,43.28
53,USGS,02130810,2017-04-11,41.26,40.17,42.04
54,USGS,02130810,2017-04-12,39.47,39.24,40.17
55,USGS,02130810,2017-04-13,39.34,39.27,39.37
56,USGS,02130810,2017-04-14,38.28,36.86,39.29
57,USGS,02130810,2017-04-15,35.66,34.87,36.86
58,USGS,02130810,2017-04-16,34.63,34.50,34.87
59,USGS,02130810,2017-04-17,35.15,34.50,36.01
60,USGS,02130810,2017-04-18,35.91,35.81,36.02
61,USGS,02130810,2017-04-19,35.31,34.77,35.86
62,USGS,02130810,2017-04-20,34.95,34.73,35.11
63,USGS,02130810,2017-04-21,35.06,34.86,35.20
64,USGS,02130810,2017-04-22,34.42,34.13,34.86
65,USGS,02130810,2017-04-23,34.06,33.99,34.14
66,USGS,02130810,2017-04-24,34.17,33.99,34.56
67,USGS,02130810,2017-04-25,39.06,34.56,45.10
68,USGS,02130810,2017-04-26,47.39,45.10,48.66
69,USGS,02130810,2017-04-27,49.24,48.66,49.71
70,USGS,02130810,2017-04-28,50.08,49.67,50.47
71,USGS,02130810,2017-04-29,50.89,50.43,51.39
72,USGS,02130810,2017-04-30,51.75,51.35,52.01
73,USGS,02130810,2017-05-01,51.82,51.53,52.01
74,USGS,02130810,2017-05-02,51.07,50.54,51.53
75,USGS,02130810,2017-05-03,49.92,49.34,50.56
76,USGS,02130810,2017-05-04,48.73,48.17,49.34
77,USGS,02130810,2017-05-05,47.60,47.12,48.17
78,USGS,02130810,2017-05-06,46.95,46.81,47.16
79,USGS,02130810,2017-05-07,47.44,47.16,47.62
80,USGS,02130810,2017-05-08,47.32,46.98,47.61
81,USGS,02130810,2017-05-09,46.42,45.84,46.98
82,USGS,02130810,2017-05-10,45.21,44.75,45.84
83,USGS,02130810,2017-05-11,44.26,44.02,44.76
84,USGS,02130810,2017-05-12,43.32,42.47,44.03
85,USGS,02130810,2017-05-13,41.47,40.28,42.47
86,USGS,02130810,2017-05-14,39.19,37.91,40.28
87,USGS,02130810,2017-05-15,36.61,35.56,37.91
88,USGS,02130810,2017-05-16,35.83,35.41,36.57
89,USGS,02130810,2017-05-17,36.59,36.30,36.82
90,USGS,02130810,2017-05-18,36.88,36.34,37.18
91,USGS,02130810,2017-05-19,37.42,37.17,37.56
92,USGS,02130810,2017-05-20,37.29,36.55,37.53
93,USGS,02130810,2017-05-21,35.22,34.16,36.55
94,USGS,02130810,2017-05-22,34.70,34.07,36.20
95,USGS,02130810,2017-05-23,37.26,36.20,37.89
96,USGS,02130810,2017-05-24,39.19,37.88,41.50
97,USGS,02130810,2017-05-25,44.60,41.50,47.02
98,USGS,02130810,2017-05-26,48.09,47.02,48.83
99,USGS,02130810,2017-05-27,49.23,48.83,49.60
100,USGS,02130810,2017-05-28,49.80,49.54,50.01
101,USGS,02130810,2017-05-29,49.84,49.56,50.00
102,USGS,02130810,2017-05-30,48.98,48.33,49.58
