,agency_cd,site_no,datetime,Gage height_Mean
151,USGS,02177000,2017-02-28,1.16
152,USGS,02177000,2017-03-01,1.42
153,USGS,02177000,2017-03-02,1.48
154,USGS,02177000,2017-03-03,1.37
155,USGS,02177000,2017-03-04,1.29
156,USGS,02177000,2017-03-05,1.26
157,USGS,02177000,2017-03-06,1.24
158,USGS,02177000,2017-03-07,1.24
159,USGS,02177000,2017-03-08,1.31
160,USGS,02177000,2017-03-09,1.27
161,USGS,02177000,2017-03-10,1.27
162,USGS,02177000,2017-03-11,1.31
163,USGS,02177000,2017-03-12,1.33
164,USGS,02177000,2017-03-13,1.37
165,USGS,02177000,2017-03-14,1.37
166,USGS,02177000,2017-03-15,1.32
167,USGS,02177000,2017-03-16,1.28
168,USGS,02177000,2017-03-17,1.27
169,USGS,02177000,2017-03-18,1.29
170,USGS,02177000,2017-03-19,1.28
171,USGS,02177000,2017-03-20,1.23
172,USGS,02177000,2017-03-21,1.23
173,USGS,02177000,2017-03-22,1.34
174,USGS,02177000,2017-03-23,1.30
175,USGS,02177000,2017-03-24,1.25
176,USGS,02177000,2017-03-25,1.23
177,USGS,02177000,2017-03-26,1.28
178,USGS,02177000,2017-03-27,1.43
179,USGS,02177000,2017-03-28,1.48
180,USGS,02177000,2017-03-29,1.46
181,USGS,02177000,2017-03-30,1.39
182,USGS,02177000,2017-03-31,1.93
183,USGS,02177000,2017-04-01,1.89
184,USGS,02177000,2017-04-02,1.64
185,USGS,02177000,2017-04-03,1.77
186,USGS,02177000,2017-04-04,2.32
187,USGS,02177000,2017-04-05,2.03
188,USGS,02177000,2017-04-06,2.35
189,USGS,02177000,2017-04-07,2.06
190,USGS,02177000,2017-04-08,1.89
191,USGS,02177000,2017-04-09,1.79
192,USGS,02177000,2017-04-10,1.71
193,USGS,02177000,2017-04-11,1.65
194,USGS,02177000,2017-04-12,1.62
195,USGS,02177000,2017-04-13,1.59
196,USGS,02177000,2017-04-14,1.59
197,USGS,02177000,2017-04-15,1.56
198,USGS,02177000,2017-04-16,1.51
199,USGS,02177000,2017-04-17,1.49
200,USGS,02177000,2017-04-18,1.60
201,USGS,02177000,2017-04-19,1.67
202,USGS,02177000,2017-04-20,1.68
203,USGS,02177000,2017-04-21,1.63
204,USGS,02177000,2017-04-22,1.58
205,USGS,02177000,2017-04-23,1.88
206,USGS,02177000,2017-04-24,2.77
207,USGS,02177000,2017-04-25,2.21
208,USGS,02177000,2017-04-26,1.99
209,USGS,02177000,2017-04-27,1.89
210,USGS,02177000,2017-04-28,1.88
211,USGS,02177000,2017-04-29,1.80
212,USGS,02177000,2017-04-30,1.76
213,USGS,02177000,2017-05-01,1.90
214,USGS,02177000,2017-05-02,2.23
215,USGS,02177000,2017-05-03,1.92
216,USGS,02177000,2017-05-04,1.83
217,USGS,02177000,2017-05-05,2.26
218,USGS,02177000,2017-05-06,2.08
219,USGS,02177000,2017-05-07,1.96
220,USGS,02177000,2017-05-08,1.86
221,USGS,02177000,2017-05-09,1.79
222,USGS,02177000,2017-05-10,1.74
223,USGS,02177000,2017-05-11,1.70
224,USGS,02177000,2017-05-12,1.66
225,USGS,02177000,2017-05-13,1.71
226,USGS,02177000,2017-05-14,1.72
227,USGS,02177000,2017-05-15,1.63
228,USGS,02177000,2017-05-16,1.58
229,USGS,02177000,2017-05-17,1.55
230,USGS,02177000,2017-05-18,1.52
231,USGS,02177000,2017-05-19,1.52
232,USGS,02177000,2017-05-20,1.57
233,USGS,02177000,2017-05-21,2.03
234,USGS,02177000,2017-05-22,2.16
235,USGS,02177000,2017-05-23,2.14
236,USGS,02177000,2017-05-24,2.32
237,USGS,02177000,2017-05-25,2.41
238,USGS,02177000,2017-05-26,2.06
239,USGS,02177000,2017-05-27,1.90
240,USGS,02177000,2017-05-28,1.83
241,USGS,02177000,2017-05-29,1.77
242,USGS,02177000,2017-05-30,1.75
243,USGS,02177000,2017-05-31,1.68
244,USGS,02177000,2017-06-01,1.63
245,USGS,02177000,2017-06-02,1.60
246,USGS,02177000,2017-06-03,1.58
247,USGS,02177000,2017-06-04,1.61
248,USGS,02177000,2017-06-05,1.82
249,USGS,02177000,2017-06-06,1.71
250,USGS,02177000,2017-06-07,1.61
251,USGS,02177000,2017-06-08,1.56
252,USGS,02177000,2017-06-09,1.56
253,USGS,02177000,2017-06-10,1.51
254,USGS,02177000,2017-06-11,1.48
255,USGS,02177000,2017-06-12,1.46
256,USGS,02177000,2017-06-13,1.46
257,USGS,02177000,2017-06-14,1.50
258,USGS,02177000,2017-06-15,1.56
259,USGS,02177000,2017-06-16,1.58
260,USGS,02177000,2017-06-17,1.67
261,USGS,02177000,2017-06-18,1.54
262,USGS,02177000,2017-06-19,1.52
263,USGS,02177000,2017-06-20,1.48
264,USGS,02177000,2017-06-21,1.45
265,USGS,02177000,2017-06-22,1.50
266,USGS,02177000,2017-06-23,1.98
267,USGS,02177000,2017-06-24,1.74
268,USGS,02177000,2017-06-25,1.63
269,USGS,02177000,2017-06-26,1.55
270,USGS,02177000,2017-06-27,1.49
271,USGS,02177000,2017-06-28,1.45
272,USGS,02177000,2017-06-29,1.44
273,USGS,02177000,2017-06-30,1.89
274,USGS,02177000,2017-07-01,2.13
275,USGS,02177000,2017-07-02,1.94
276,USGS,02177000,2017-07-03,1.89
277,USGS,02177000,2017-07-04,1.76
278,USGS,02177000,2017-07-05,1.73
279,USGS,02177000,2017-07-06,1.68
280,USGS,02177000,2017-07-07,1.62
281,USGS,02177000,2017-07-08,1.57
282,USGS,02177000,2017-07-09,1.52
283,USGS,02177000,2017-07-10,1.49
284,USGS,02177000,2017-07-11,1.47
285,USGS,02177000,2017-07-12,1.49
286,USGS,02177000,2017-07-13,1.50
287,USGS,02177000,2017-07-14,1.45
288,USGS,02177000,2017-07-15,1.46
289,USGS,02177000,2017-07-16,1.47
290,USGS,02177000,2017-07-17,1.66
291,USGS,02177000,2017-07-18,1.61
292,USGS,02177000,2017-07-19,1.57
293,USGS,02177000,2017-07-20,1.51
294,USGS,02177000,2017-07-21,1.52
295,USGS,02177000,2017-07-22,1.61
296,USGS,02177000,2017-07-23,1.68
297,USGS,02177000,2017-07-24,1.59
298,USGS,02177000,2017-07-25,1.51
299,USGS,02177000,2017-07-26,1.64
300,USGS,02177000,2017-07-27,1.59
301,USGS,02177000,2017-07-28,1.58
302,USGS,02177000,2017-07-29,1.52
303,USGS,02177000,2017-07-30,1.45
304,USGS,02177000,2017-07-31,1.43
305,USGS,02177000,2017-08-01,1.42
306,USGS,02177000,2017-08-02,1.41
307,USGS,02177000,2017-08-03,1.41
308,USGS,02177000,2017-08-04,1.40
309,USGS,02177000,2017-08-05,1.39
310,USGS,02177000,2017-08-06,1.38
311,USGS,02177000,2017-08-07,1.77
312,USGS,02177000,2017-08-08,1.82
313,USGS,02177000,2017-08-09,1.68
314,USGS,02177000,2017-08-10,1.54
315,USGS,02177000,2017-08-11,1.55
316,USGS,02177000,2017-08-12,2.02
317,USGS,02177000,2017-08-13,1.77
318,USGS,02177000,2017-08-14,1.90
319,USGS,02177000,2017-08-15,2.16
320,USGS,02177000,2017-08-16,1.88
321,USGS,02177000,2017-08-17,1.73
322,USGS,02177000,2017-08-18,1.62
323,USGS,02177000,2017-08-19,1.56
324,USGS,02177000,2017-08-20,1.51
325,USGS,02177000,2017-08-21,1.49
326,USGS,02177000,2017-08-22,1.50
327,USGS,02177000,2017-08-23,1.46
328,USGS,02177000,2017-08-24,1.44
329,USGS,02177000,2017-08-25,1.43
330,USGS,02177000,2017-08-26,1.42
331,USGS,02177000,2017-08-27,1.50
