STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMAX,Measurement Flag,Quality Flag,Source Flag,Time of Observation,TMIN,Measurement Flag,Quality Flag,Source Flag,Time of Observation
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160218,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160220,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160221,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160222,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160223,0.25, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160224,0.33, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160225,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160226,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160227,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160228,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160229,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160301,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160302,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160306,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160307,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160309,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160310,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160311,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160313,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160314,0.07, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160315,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160316,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160319,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160320,0.15, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160321,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
GHCND:US1SCBK0044,BONNEAU 2.7 NW SC US,23.8,33.3325,-79.9939,20160322,0.00, , ,N,9999,-9999, , , ,9999,-9999, , , ,9999
